parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1217057,-122.201619121,37.3551381299,H,0.5,1945.37009674,Portola Valley,0.0,1.0,San Mateo,111815.746799,Residential,,1967.0,1.86666666667,58380NANANANA,,False,True,HS,94028,1265.0
1217069,-122.20639486,37.3579565395,H,0.5,0.0,Portola Valley,0.0,0.0,San Mateo,112895.929944,Vacant,,,1.86666666667,58380NANANANA,,False,True,,94028,1265.0
1215485,-122.204691555,37.3933294162,H,1.0,1945.37009674,Portola Valley,0.0,1.0,San Mateo,123690.133244,Residential,,1967.0,1.86666666667,58380NANANANA,,False,True,HS,94028,1265.0
1214402,-122.241686695,37.3801933305,H,0.5,0.0,Portola Valley,0.0,0.0,San Mateo,22709.4196495,Vacant,,,1.86666666667,58380NANANANA,,False,True,,94028,1265.0
1214870,-122.212574778,37.3981533215,H,1.0,3570.0,Portola Valley,0.0,1.0,San Mateo,138348.694695,Residential,,1966.0,1.86666666667,58380NANANANA,,False,True,HS,94028,1265.0
1215391,-122.207885744,37.3874929473,H,1.0,3460.0,Portola Valley,0.0,1.0,San Mateo,64955.538447,Residential,,1960.0,1.86666666667,58380NANANANA,,False,True,HS,94028,1265.0
1215626,-122.213234558,37.3833371921,H,1.0,5430.0,Portola Valley,0.0,1.0,San Mateo,47505.2976553,Residential,,1965.0,1.86666666667,58380NANANANA,,False,True,HS,94028,1265.0
1217409,-122.201929939,37.3675550831,H,,0.0,Portola Valley,0.0,0.0,San Mateo,4074.15647367,Vacant,,,,58380NANANANA,,False,False,,94028,1265.0
1216352,-122.19647188,37.3781083371,H,2.0,29180.5514511,Portola Valley,0.0,15.0,San Mateo,16457.3532836,Residential,,1988.0,,58380NANANANA,,False,False,HS,94028,1265.0
1216363,-122.215822993,37.3714996636,H,1.0,0.0,Portola Valley,0.0,0.0,San Mateo,6194.41338743,Vacant,,,1.86666666667,58380NANANANA,,False,True,,94028,1265.0
