parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1236459,-122.241748179,37.5473995608,MH,17.424,0.0,Redwood City,0.0,0.0,San Mateo,228100.23496,Vacant,,,1.86666666667,60102NANANANA,,False,True,,94065,804.0
1168192,-122.23331049,37.4831479517,S,29.04,0.0,Redwood City,0.0,0.0,San Mateo,47.2375120557,Vacant,,,3.0,60102NAcr2NANA,cr2,False,True,,94062,950.0
1235335,-122.248993553,37.5365951831,M,21.78,0.0,Redwood City,0.0,0.0,San Mateo,217284.676289,Vacant,,,2.33333333333,60102NANANANA,,False,True,,94065,804.0
1235449,-122.234412473,37.5357400122,MH,7.26,0.0,Redwood City,0.0,0.0,San Mateo,286940.873642,Vacant,,,1.86666666667,60102NANANANA,,False,True,,94065,804.0
1201856,-122.275325301,37.4574918582,M,2.178,0.0,Redwood City,0.0,0.0,San Mateo,9119.23769332,Vacant,,,1.86666666667,60102NANANANA,,False,True,,94062,950.0
1234666,-122.245576462,37.5318098081,M,7.26,4760.0,Redwood City,0.0,2.0,San Mateo,6400.12683091,Residential,,1975.0,1.86666666667,60102NANANANA,,False,True,HS,94065,804.0
1184321,-122.220805046,37.4661292785,S,17.424,5836.11029021,Redwood City,0.0,3.0,San Mateo,4656.05831391,Residential,,1964.0,1.86666666667,60102NANANANA,,False,True,HS,94061,897.0
1168225,-122.234298421,37.4824684585,S,29.04,5520.0,Redwood City,0.0,4.0,San Mateo,6596.00438005,Residential,,1924.0,3.0,60102NAcr2NANA,cr2,False,True,HM,94062,950.0
1171720,-122.220301648,37.4763915364,S,217.8,2844.0,Redwood City,0.0,2.0,San Mateo,6444.67855212,Residential,rwc3,1918.0,5.0,60102RWC3brt2NANA,brt2,True,False,HS,94063,725.0
1171804,-122.215561599,37.4860058903,S,217.8,0.0,Redwood City,0.0,0.0,San Mateo,30558.6852481,Retail,rwc2,1970.0,5.0,60102RWC2NANANA,,True,False,RS,94063,725.0
1173298,-122.204327176,37.5165075521,M,290.4,0.0,Redwood City,0.0,0.0,San Mateo,408574.642091,Vacant,,,6.66666666667,60102NANANANA,,False,False,,94063,725.0
1184314,-122.222193679,37.4666735278,S,17.424,5836.11029021,Redwood City,0.0,3.0,San Mateo,5059.17578992,Residential,,1964.0,1.86666666667,60102NANANANA,,False,True,HS,94061,897.0
