parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
621729,-122.346490766,37.9995154304,S,28.314,0.0,Richmond,0.0,0.0,Contra Costa,145561.640526,Vacant,,,0.65,60620NANANANA,,False,False,,94806,293.0
612460,-122.3483621,37.9954722353,S,28.0,0.0,Richmond,0.0,0.0,Contra Costa,29166.4762557,Vacant,,,,60620NANANANA,,False,True,,94806,293.0
607953,-122.347652226,37.994709101,S,28.0,0.0,Richmond,0.0,0.0,Contra Costa,4293.63068217,Vacant,,,,60620NANANANA,,False,True,,94806,293.0
401613,-122.381688326,37.9117829118,MH,,0.0,Richmond,0.0,0.0,Contra Costa,4578.39371129,Vacant,,,,60620NANANANA,,False,False,,94801,262.0
572589,-122.332961274,37.9805291691,S,87.12,68293.0,Richmond,0.0,31.0,Contra Costa,54858.2997355,Residential,,1975.0,2.0,60620NAbrt1NANA,brt1,True,True,HM,94806,293.0
412007,-122.348646011,37.9174639881,M,28.0,0.0,Richmond,0.0,0.0,Contra Costa,5977.45513722,Vacant,ric2,,,60620RIC2NANANA,,False,True,,94804,349.0
608036,-122.346666032,37.9947892963,S,28.0,0.0,Richmond,0.0,0.0,Contra Costa,2581.21322017,Vacant,,,,60620NANANANA,,False,True,,94806,293.0
607633,-122.34678916,37.9946145076,S,28.0,0.0,Richmond,0.0,0.0,Contra Costa,3864.59008064,Vacant,,,,60620NANANANA,,False,True,,94806,293.0
412011,-122.347587363,37.9174530208,M,28.0,0.0,Richmond,0.0,0.0,Contra Costa,15259.4768195,Vacant,ric2,,,60620RIC2NANANA,,False,True,,94804,349.0
605945,-122.347988887,37.9941243415,S,28.0,0.0,Richmond,0.0,0.0,Contra Costa,3845.41482564,Vacant,,,,60620NANANANA,,False,True,,94806,293.0
413484,-122.348642298,37.9182983776,M,21.78,0.0,Richmond,0.0,0.0,Contra Costa,2568.98605725,Vacant,ric2,,0.5,60620RIC2b3NANA,b3,False,False,,94804,349.0
600830,-122.34074306,37.9892426351,S,28.0,0.0,Richmond,0.0,0.0,Contra Costa,427568.434385,Vacant,,,,60620NAb3NANA,b3,False,True,,94806,293.0
607720,-122.345707256,37.9945984091,S,28.0,0.0,Richmond,0.0,0.0,Contra Costa,10994.801272,Vacant,,,,60620NANANANA,,False,True,,94806,293.0
