parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1858146,-121.71552043,38.1790251335,H,12.0,0.0,Rio Vista,0.0,0.0,Solano,102926.840718,Vacant,,,0.5,60984NANANANA,,False,True,,94571,198.0
1741056,-121.701082539,38.1515153173,H,,0.0,Rio Vista,0.0,0.0,Solano,182303.048427,Vacant,,,,60984NANANANA,,False,False,,94571,198.0
1857538,-121.718197012,38.185972486,H,12.0,0.0,Rio Vista,0.0,0.0,Solano,213612.164774,Vacant,,,0.5,60984NANANANA,,False,True,,94571,198.0
1860408,-121.715875984,38.1972476397,H,12.0,0.0,Rio Vista,0.0,0.0,Solano,6359.12972495,Vacant,,,0.5,60984NANANANA,,False,True,,94571,198.0
1857548,-121.717141471,38.1865989615,H,,0.0,Rio Vista,0.0,0.0,Solano,966.790880918,Vacant,,,,60984NANANANA,,False,False,,94571,198.0
1860582,-121.693561688,38.174865419,H,43.56,0.0,Rio Vista,0.0,0.0,Solano,217116.63669,Vacant,,,1.0,60984NANANANA,,True,False,,94571,198.0
1860578,-121.689359931,38.1739525954,H,43.56,0.0,Rio Vista,0.0,0.0,Solano,224113.394684,Vacant,,,1.0,60984NANANANA,,True,False,,94571,198.0
1860256,-121.718410676,38.1965566805,H,12.0,0.0,Rio Vista,0.0,0.0,Solano,8564.65343161,Vacant,,,0.5,60984NANANANA,,False,True,,94571,198.0
1740324,-121.69698004,38.159723365,H,,0.0,Rio Vista,0.0,0.0,Solano,6210.65544023,Residential,,1965.0,,60984NANANANA,,False,False,HS,94571,198.0
1860032,-121.716567467,38.1996355134,H,12.0,0.0,Rio Vista,0.0,0.0,Solano,4999.35708144,Vacant,,,0.5,60984NANANANA,,False,True,,94571,198.0
1859615,-121.70251463,38.1786678932,H,12.0,0.0,Rio Vista,0.0,0.0,Solano,5229.05249475,Vacant,,,0.5,60984NANANANA,,False,True,,94571,198.0
1859270,-121.708035319,38.189442402,H,12.0,0.0,Rio Vista,0.0,0.0,Solano,32557.9219741,Vacant,,,0.5,60984NANANANA,,False,True,,94571,198.0
1859701,-121.700824893,38.1795597541,H,12.0,0.0,Rio Vista,0.0,0.0,Solano,5149.86420531,Vacant,,,0.5,60984NANANANA,,False,True,,94571,198.0
1861008,-121.690168442,38.1628360311,H,12.0,0.0,Rio Vista,0.0,0.0,Solano,8340.37548868,Residential,,1953.0,0.5,60984NANANANA,,False,True,HS,94571,198.0
1861029,-121.689086118,38.1613495358,H,21.78,7271.0,Rio Vista,7271.0,0.0,Solano,33255.2888599,Industrial,,1948.0,0.5,60984NANANANA,,True,False,IL,94571,198.0
1861357,-121.698387458,38.1626664754,H,21.78,8219.0,Rio Vista,8219.0,0.0,Solano,97507.4088055,Retail,,1948.0,0.5,60984NANANANA,,True,False,RS,94571,198.0
1861386,-121.689999987,38.164715739,H,12.0,0.0,Rio Vista,0.0,0.0,Solano,6505.02281719,Residential,,1958.0,0.5,60984NANANANA,,False,True,HS,94571,198.0
1861450,-121.686042805,38.1619269622,H,43.56,0.0,Rio Vista,0.0,0.0,Solano,197600.917005,Vacant,,,1.0,60984NANANANA,,True,False,,94571,198.0
1861117,-121.690742601,38.1563352877,H,,3550.0,Rio Vista,3550.0,0.0,Solano,7438.63498818,Office,,1948.0,,60984NANANANA,,False,False,OF,94571,198.0
1861120,-121.6912056,38.1565703658,H,40.0,11570.0,Rio Vista,11570.0,0.0,Solano,11034.0060123,Retail,,1948.0,2.0,60984NANANANA,,True,True,RS,94571,198.0
1740385,-121.694358507,38.1572015412,H,40.0,2130.0,Rio Vista,2130.0,0.0,Solano,5599.91589123,Office,,1948.0,2.0,60984NANANANA,,True,True,OF,94571,198.0
