parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
2026801,-122.696111144,38.3634405597,MH,30.0,0.0,Rohnert Park,0.0,0.0,Sonoma,79908.6372978,Vacant,,,1.15,62546NANANANA,,False,True,,94928,298.0
1930555,-122.692430672,38.3224437653,MH,101.64,0.0,Rohnert Park,0.0,0.0,Sonoma,102988.220162,Vacant,,,2.33333333333,62546NANANANA,,False,False,,94928,298.0
2026029,-122.682672037,38.3491540962,H,30.0,800.0,Rohnert Park,800.0,0.0,Sonoma,538697.709622,Office,,1973.0,1.15,62546NANANANA,,False,True,OF,94928,298.0
2007563,-122.689069092,38.3560106013,M,101.64,0.0,Rohnert Park,0.0,0.0,Sonoma,497670.22237,Vacant,,,2.33333333333,62546NANANANA,,False,False,,94928,298.0
1934384,-122.684095327,38.3277927672,MH,30.0,312732.0,Rohnert Park,0.0,306.0,Sonoma,74888.2012131,Residential,,1988.0,1.15,62546NAcr4NANA,cr4,False,True,HM,94928,298.0
2009118,-122.691114144,38.3518355495,M,101.64,0.0,Rohnert Park,0.0,0.0,Sonoma,27414.3514793,Vacant,,,2.33333333333,62546NANANANA,,False,False,,94928,298.0
2007009,-122.703706641,38.3309504575,M,6.0,7140.0,Rohnert Park,0.0,3.0,Sonoma,5930.14159913,Residential,,1962.0,0.4,62546NANANANA,,False,True,HS,94928,298.0
2007660,-122.710751135,38.3426290249,M,30.0,0.0,Rohnert Park,0.0,0.0,Sonoma,702.182176515,Vacant,roh2,,1.15,62546ROH2b3NANA,b3,False,True,,94928,298.0
2008887,-122.70250734,38.3584676778,M,6.0,3382.0,Rohnert Park,0.0,2.0,Sonoma,10577.1217223,Residential,,1976.0,0.4,62546NANANANA,,False,True,HS,94928,298.0
2009770,-122.691242709,38.358291397,M,6.0,2816.0,Rohnert Park,0.0,2.0,Sonoma,6691.78446596,Residential,,1977.0,0.4,62546NANANANA,,False,True,HS,94928,298.0
2009913,-122.725621255,38.3530367855,M,43.56,0.0,Rohnert Park,0.0,0.0,Sonoma,21924.0022121,Vacant,,,1.0,62546NANANANA,,False,False,,94928,298.0
