parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
791852,-122.548737732,37.9702541043,M,1.0,2029.42425042,Ross,0.0,1.0,Marin,69196.2989078,Residential,,1950.0,,62980NANANANA,,False,True,HS,94957,1036.0
791855,-122.553193878,37.9668943703,M,1.0,2029.42425042,Ross,0.0,1.0,Marin,168254.280083,Residential,,1989.0,,62980NAb2NANA,b2,False,True,HS,94957,1036.0
792704,-122.555140827,37.9608132966,M,,0.0,Ross,0.0,0.0,Marin,2180.34049801,Vacant,,,,62980NAb2NANA,b2,False,False,,94960,621.0
792128,-122.555312403,37.9635440085,M,4.356,2919.0,Ross,2919.0,0.0,Marin,15069.7281774,Office,,1947.0,0.1,62980NAb2NANA,b2,False,True,OF,94904,766.0
791969,-122.555392328,37.9693274008,M,6.0,0.0,Ross,0.0,0.0,Marin,10294.4644876,Residential,,1914.0,,62980NAb2NANA,b2,False,True,HM,94960,621.0
791848,-122.548216573,37.9688705756,M,1.0,3103.0,Ross,0.0,1.0,Marin,92907.5414825,Residential,,1953.0,,62980NANANANA,,False,True,HS,94957,1036.0
791993,-122.554474419,37.9678500631,M,1.0,2029.42425042,Ross,0.0,1.0,Marin,66349.3933485,Residential,,1941.0,,62980NAb2NANA,b2,False,True,HM,94957,1036.0
792353,-122.574626022,37.9635314482,M,1.0,0.0,Ross,0.0,0.0,Marin,2927.8729903,Vacant,,,,62980NANANANA,,False,True,,94957,1036.0
792622,-122.560330958,37.95905371,M,1.0,2029.42425042,Ross,0.0,1.0,Marin,96405.1376483,Residential,,1965.0,,62980NAb2NANA,b2,False,True,HS,94957,1036.0
792742,-122.557372358,37.957480173,M,3.0,7391.0,Ross,0.0,1.0,Marin,98527.8720146,Residential,,1907.0,,62980NAb2NANA,b2,False,True,HS,94957,1036.0
