parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
747738,-122.561473012,37.9770080125,M,43.56,0.0,San Anselmo,0.0,0.0,Marin,3783.26534254,Vacant,,,1.0,64434NAb2NANA,b2,True,False,,94960,621.0
747737,-122.561361134,37.9769001266,M,43.56,1780.0,San Anselmo,1780.0,0.0,Marin,5188.02103762,Retail,,1966.0,1.0,64434NAb2NANA,b2,True,False,RS,94960,621.0
748163,-122.558283391,37.9760024885,M,65.34,5575.0,San Anselmo,5575.0,0.0,Marin,6832.65248357,Retail,,1963.0,1.5,64434NAb2NANA,b2,True,False,RS,94960,621.0
749968,-122.562088608,37.9738874175,M,87.12,16373.0,San Anselmo,16373.0,0.0,Marin,6677.6276818,Retail,,1925.0,2.0,64434NAb2NANA,b2,True,True,RS,94960,621.0
750221,-122.575091991,37.9737023257,M,1.0,3388.0,San Anselmo,0.0,1.0,Marin,119875.448418,Residential,,1989.0,,64434NANANANA,,False,True,HS,94960,621.0
747527,-122.571459978,37.9794238307,M,28.314,14205.969753,San Anselmo,0.0,7.0,Marin,9609.49993142,Residential,,1941.0,0.65,64434NAb3NANA,b3,True,False,HM,94960,621.0
746591,-122.570933696,37.9904825514,M,6.0,0.0,San Anselmo,0.0,0.0,Marin,813.587361385,Vacant,,,,64434NAb3NANA,b3,False,True,,94960,621.0
747019,-122.569449919,37.9844705088,M,6.0,4058.84850085,San Anselmo,0.0,2.0,Marin,16362.3411206,Residential,,1926.0,,64434NAb3NANA,b3,False,True,HM,94960,621.0
749920,-122.562785978,37.9738502763,M,87.12,0.0,San Anselmo,0.0,0.0,Marin,4497.68718849,Office,,1940.0,2.0,64434NAb2NANA,b2,True,True,OF,94960,621.0
750023,-122.567776526,37.9684706422,M,6.0,0.0,San Anselmo,0.0,0.0,Marin,4535.40780346,Office,,1941.0,,64434NAb2NANA,b2,False,True,OF,94960,621.0
745609,-122.580452553,37.9939291316,M,1.0,2296.0,San Anselmo,0.0,1.0,Marin,55914.9315941,Residential,,1992.0,,64434NANANANA,,False,True,HS,94960,621.0
746416,-122.576372276,37.9869399684,M,6.0,0.0,San Anselmo,0.0,0.0,Marin,5373.84909081,Residential,,1963.0,,64434NAb3NANA,b3,False,True,HM,94960,621.0
746784,-122.576165336,37.9832394689,M,6.0,6088.27275127,San Anselmo,0.0,3.0,Marin,8661.7856457,Residential,,1941.0,,64434NAb3NANA,b3,False,True,HM,94960,621.0
746792,-122.575133219,37.9847765875,M,12.0,4058.84850085,San Anselmo,0.0,2.0,Marin,10558.5257881,Residential,,1941.0,,64434NAb3NANA,b3,False,True,HM,94960,621.0
747556,-122.564243682,37.9796563287,M,65.34,11125.0,San Anselmo,11125.0,0.0,Marin,21980.0887369,Retail,,1950.0,1.5,64434NAb2NANA,b2,True,False,RS,94960,621.0
747742,-122.562907092,37.9769346516,M,65.34,24175.0,San Anselmo,24175.0,0.0,Marin,44991.981382,Retail,,1951.0,1.5,64434NAb2NANA,b2,True,False,RS,94960,621.0
748188,-122.558806016,37.9728968035,M,6.0,4058.84850085,San Anselmo,0.0,2.0,Marin,14555.3407672,Residential,,1947.0,,64434NAb2NANA,b2,False,True,HS,94960,621.0
748476,-122.560298909,37.9759312782,M,6.0,0.0,San Anselmo,0.0,0.0,Marin,6210.98510704,Vacant,,,,64434NAb2NANA,b2,False,True,,94960,621.0
749528,-122.564970553,37.9767907645,M,87.12,1633.0,San Anselmo,1633.0,0.0,Marin,5368.57862079,Residential,,1907.0,2.0,64434NAb2NANA,b2,True,True,HS,94960,621.0
749733,-122.563819671,37.9747165807,M,20.0,2874.0,San Anselmo,2874.0,0.0,Marin,4271.23895677,Office,,1977.0,,64434NAb2NANA,b2,False,True,OF,94960,621.0
