parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1090280,-122.417822023,37.6228598914,M,8.0,0.0,San Bruno,0.0,0.0,San Mateo,1563.15954612,Vacant,,,2.0,65028NAbrt2NANA,brt2,False,True,,94066,659.0
1089226,-122.406193757,37.6311306376,S,40.0,0.0,San Bruno,0.0,0.0,San Mateo,4648.15636599,Vacant,sbr1,,3.0,65028SBR1cr4NANA,cr4,False,True,,94066,659.0
1088875,-122.410959881,37.6274466479,S,40.0,0.0,San Bruno,0.0,0.0,San Mateo,4955.35698302,Vacant,sbr1,,3.0,65028SBR1cr3NANA,cr3,True,True,,94066,659.0
1089478,-122.408291766,37.6333115552,S,8.0,0.0,San Bruno,0.0,0.0,San Mateo,1500.03379526,Vacant,sbr1,,2.0,65028SBR1NANANA,,False,True,,94066,659.0
1079493,-122.418197722,37.6401372499,S,52.272,0.0,San Bruno,0.0,0.0,San Mateo,62218.0815238,Parking,sbr1,1981.0,1.2,65028SBR1bart2NANA,bart2,True,False,PA2,94066,659.0
1079494,-122.42104341,37.6375670434,S,52.272,21595.0,San Bruno,21595.0,0.0,San Mateo,62584.2188679,Office,sbr1,1951.0,1.2,65028SBR1bart2NANA,bart2,True,False,OF,94066,659.0
1088380,-122.415393174,37.6257354832,M,40.0,0.0,San Bruno,0.0,0.0,San Mateo,4000.10948179,Parking,sbr1,1966.0,3.0,65028SBR1brt2NANA,brt2,False,True,PA2,94066,659.0
1088529,-122.417592948,37.6325454395,S,8.0,1860.0,San Bruno,0.0,2.0,San Mateo,5001.23915857,Residential,sbr1,1937.0,2.0,65028SBR1bart2NANA,bart2,False,True,HS,94066,659.0
1087585,-122.420744915,37.6339493372,S,40.0,0.0,San Bruno,0.0,0.0,San Mateo,23284.4195974,Vacant,sbr1,,3.33333333333,65028SBR1bart2NANA,bart2,False,True,,94066,659.0
1090999,-122.418430373,37.6143302558,M,8.0,3890.74019347,San Bruno,0.0,2.0,San Mateo,7299.71080503,Residential,,1944.0,2.0,65028NANANANA,,False,True,HS,94066,659.0
1088134,-122.417374566,37.6282378573,M,40.0,8292.0,San Bruno,8292.0,0.0,San Mateo,5342.37846386,Office,sbr1,1966.0,3.0,65028SBR1brt2NANA,brt2,False,True,OF,94066,659.0
1089045,-122.410562412,37.6251196464,S,40.0,0.0,San Bruno,0.0,0.0,San Mateo,32629.2108218,Vacant,sbr1,,3.0,65028SBR1cr3NANA,cr3,True,True,,94066,659.0
1089630,-122.409261532,37.6306528714,S,40.0,2185.0,San Bruno,2185.0,0.0,San Mateo,2500.03132644,Retail,sbr1,1939.0,3.0,65028SBR1brt2NANA,brt2,False,True,RS,94066,659.0
1091276,-122.412963951,37.6136576074,M,8.0,3890.74019347,San Bruno,0.0,2.0,San Mateo,5056.0516238,Residential,,1944.0,2.0,65028NAbrt2NANA,brt2,False,True,HS,94066,659.0
1091743,-122.408694426,37.6224331939,S,8.0,1960.0,San Bruno,0.0,2.0,San Mateo,3990.20182137,Residential,sbr1,1938.0,2.0,65028SBR1cr3NANA,cr3,False,True,HS,94066,659.0
1092101,-122.411072906,37.6162488957,M,8.0,2360.0,San Bruno,0.0,2.0,San Mateo,5000.08520931,Residential,,1914.0,2.0,65028NAcr3NANA,cr3,False,True,HS,94066,659.0
1086383,-122.431902618,37.6212342872,M,8.0,2660.0,San Bruno,0.0,2.0,San Mateo,6369.16943697,Residential,,1959.0,2.0,65028NANANANA,,False,True,HS,94066,659.0
1086539,-122.431572679,37.6243921814,M,8.0,2580.0,San Bruno,0.0,2.0,San Mateo,5250.06846197,Residential,,1965.0,2.0,65028NANANANA,,False,True,HS,94066,659.0
1087137,-122.432012354,37.6087589694,M,8.0,0.0,San Bruno,0.0,0.0,San Mateo,1490.00164915,Vacant,,,2.0,65028NANANANA,,False,True,,94066,659.0
1087433,-122.42950324,37.6084954411,M,8.0,15562.9607739,San Bruno,0.0,8.0,San Mateo,5000.1116865,Residential,,1970.0,2.0,65028NANANANA,,False,True,HM,94066,659.0
1088782,-122.412920279,37.6283888602,S,8.0,3890.74019347,San Bruno,0.0,2.0,San Mateo,2492.8610224,Residential,sbr1,1933.0,2.0,65028SBR1brt2NANA,brt2,False,True,HS,94066,659.0
1088805,-122.414182178,37.6289326842,S,8.0,4080.0,San Bruno,0.0,3.0,San Mateo,5007.31697597,Residential,sbr1,1939.0,2.0,65028SBR1brt2NANA,brt2,False,True,HS,94066,659.0
1089109,-122.413066501,37.6255220971,S,8.0,3890.74019347,San Bruno,0.0,2.0,San Mateo,4726.51058871,Residential,sbr1,1933.0,2.0,65028SBR1cr3NANA,cr3,False,True,HS,94066,659.0
1089118,-122.412678022,37.6246750281,S,8.0,2120.0,San Bruno,0.0,2.0,San Mateo,5000.06468966,Residential,sbr1,1926.0,2.0,65028SBR1cr3NANA,cr3,False,True,HS,94066,659.0
1090397,-122.41332894,37.6228314958,M,40.0,1420.0,San Bruno,1420.0,0.0,San Mateo,2790.01764937,Office,sbr1,1966.0,3.0,65028SBR1cr3NANA,cr3,True,True,OF,94066,659.0
1091475,-122.41008298,37.6210836235,S,8.0,0.0,San Bruno,0.0,0.0,San Mateo,2754.64132555,Vacant,sbr1,,2.0,65028SBR1cr3NANA,cr3,False,True,,94066,659.0
1091635,-122.40724708,37.6192199128,S,8.0,9726.85048369,San Bruno,0.0,5.0,San Mateo,4987.35937761,Residential,sbr1,1933.0,2.0,65028SBR1cr3NANA,cr3,False,True,HS,94066,659.0
1092276,-122.408411945,37.6169998047,M,40.0,0.0,San Bruno,0.0,0.0,San Mateo,4044.79041257,Parking,sbr1,1958.0,3.0,65028SBR1cr3NANA,cr3,True,True,PA2,94066,659.0
1092284,-122.408674807,37.6172725289,M,40.0,5340.0,San Bruno,5340.0,0.0,San Mateo,3725.3436765,Retail,sbr1,1958.0,3.0,65028SBR1cr3NANA,cr3,True,True,RS,94066,659.0
1093307,-122.406124295,37.6132973954,M,24.0,24864.0,San Bruno,0.0,8.0,San Mateo,5000.11618672,Residential,,1957.0,3.33333333333,65028NAbrt2NANA,brt2,False,True,HM,94066,659.0
1093313,-122.405980165,37.6135803496,M,24.0,27972.0,San Bruno,0.0,9.0,San Mateo,7191.16316235,Residential,,1957.0,3.33333333333,65028NAbrt2NANA,brt2,False,True,HM,94066,659.0
1093620,-122.40657228,37.6163655552,S,8.0,0.0,San Bruno,0.0,0.0,San Mateo,5250.0520072,Retail,sbr1,1957.0,2.0,65028SBR1cr3NANA,cr3,False,True,RS,94066,659.0
1093651,-122.405261486,37.6158185997,S,8.0,21368.0,San Bruno,0.0,4.0,San Mateo,5500.12693116,Residential,sbr1,1962.0,2.0,65028SBR1cr3NANA,cr3,False,True,HM,94066,659.0
1079418,-122.413675201,37.6347660642,S,8.0,0.0,San Bruno,0.0,0.0,San Mateo,3693.87877026,Vacant,sbr1,,2.0,65028SBR1bart2NANA,bart2,False,True,,94066,659.0
1087526,-122.439762555,37.6184457363,M,24.0,0.0,San Bruno,0.0,0.0,San Mateo,3079.14747377,Vacant,,,3.33333333333,65028NANANANA,,False,True,,94066,659.0
1088173,-122.416415609,37.6280866791,M,40.0,0.0,San Bruno,0.0,0.0,San Mateo,8176.10895361,Parking,sbr1,1966.0,3.0,65028SBR1brt2NANA,brt2,False,True,PA2,94066,659.0
