parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1162890,-122.2676418,37.4828775282,MH,3.0,0.0,San Carlos,0.0,0.0,San Mateo,528.990032503,Vacant,,,1.86666666667,65070NANANANA,,False,True,,94070,916.0
1165336,-122.258994403,37.5004823,M,6.0,3890.74019347,San Carlos,0.0,2.0,San Mateo,6346.99240089,Residential,,1966.0,1.86666666667,65070NAcr3NANA,cr3,False,True,HS,94070,916.0
1157509,-122.286449685,37.5046638838,MH,6.0,0.0,San Carlos,0.0,0.0,San Mateo,7462.86730112,Vacant,,,1.86666666667,65070NANANANA,,False,True,,94070,916.0
1160271,-122.262921575,37.506961281,M,50.0,41872.0,San Carlos,0.0,4.0,San Mateo,7630.21379892,Residential,,1971.0,2.5,65070NAcr3NANA,cr3,True,True,HM,94070,916.0
1166151,-122.250128179,37.4925049073,M,6.0,5580.0,San Carlos,0.0,2.0,San Mateo,10653.8131521,Residential,,1958.0,1.86666666667,65070NAb3NANA,b3,False,True,HS,94070,916.0
1152255,-122.266484701,37.5143063589,M,21.78,6661.0,San Carlos,6661.0,0.0,San Mateo,14091.8589658,Office,,1969.0,0.5,65070NAb2NANA,b2,False,False,OF,94070,916.0
1152267,-122.259787889,37.512867186,M,21.78,0.0,San Carlos,0.0,0.0,San Mateo,18647.1238369,Vacant,,,0.5,65070NAcr3NANA,cr3,False,False,,94070,916.0
1165454,-122.251299943,37.4984873232,M,50.0,1745.0,San Carlos,1745.0,0.0,San Mateo,1198.06565954,Retail,,1960.0,2.5,65070NAb2NANA,b2,True,True,RS,94070,916.0
1165662,-122.253909648,37.501534669,M,50.0,9726.85048369,San Carlos,0.0,5.0,San Mateo,19287.2547404,Residential,,1966.0,2.5,65070NAb2NANA,b2,True,True,HM,94070,916.0
1159500,-122.28920718,37.4869319631,MH,3.0,0.0,San Carlos,0.0,0.0,San Mateo,126920.965631,Vacant,,,1.86666666667,65070NANANANA,,False,True,,94070,916.0
1162264,-122.277523309,37.4837493906,MH,6.0,0.0,San Carlos,0.0,0.0,San Mateo,1117.10959283,Vacant,,,1.86666666667,65070NANANANA,,False,True,,94070,916.0
1160705,-122.260221166,37.5023798937,M,59.0,9726.85048369,San Carlos,0.0,5.0,San Mateo,19548.7871153,Residential,,1966.0,2.0,65070NAcr3NANA,cr3,False,True,HM,94070,916.0
1160743,-122.258901085,37.5042804257,M,50.0,11715.0,San Carlos,11715.0,0.0,San Mateo,17586.7644181,Office,,1958.0,2.5,65070NAcr3NANA,cr3,True,True,OF,94070,916.0
1165833,-122.247796427,37.4957685348,M,50.0,1707.0,San Carlos,1707.0,0.0,San Mateo,2629.80841785,Retail,,1960.0,2.5,65070NAb2NANA,b2,True,True,RS,94070,916.0
1166300,-122.24890317,37.4903448573,M,6.0,3120.0,San Carlos,0.0,2.0,San Mateo,4111.38711493,Residential,,1948.0,1.86666666667,65070NAb3NANA,b3,False,True,HS,94070,916.0
1160613,-122.260187454,37.5051053309,M,50.0,3992.0,San Carlos,3992.0,0.0,San Mateo,4064.8070064,Office,sca1,1958.0,2.5,65070SCA1cr3NANA,cr3,True,True,OF,94070,916.0
1160820,-122.275779315,37.4936972385,MH,20.0,5836.11029021,San Carlos,0.0,3.0,San Mateo,9145.43598212,Residential,,1977.0,0.75,65070NANANANA,,False,True,HM,94070,916.0
1152974,-122.248461732,37.4995134628,M,87.12,0.0,San Carlos,0.0,0.0,San Mateo,37134.499773,Industrial,,1969.0,2.0,65070NAb2NANA,b2,True,False,IW,94070,916.0
1152991,-122.246318793,37.4987516481,M,43.56,0.0,San Carlos,0.0,0.0,San Mateo,4886.34781042,Industrial,,1969.0,1.0,65070NAb2NANA,b2,False,False,IL,94070,916.0
1152530,-122.252059865,37.5082082236,M,87.12,2792.0,San Carlos,2792.0,0.0,San Mateo,3067.44680852,Retail,,1969.0,2.0,65070NAcr3NANA,cr3,False,False,RS,94070,916.0
