parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
155085,-122.166900514,37.7278778613,S,34.848,0.0,San Leandro,0.0,0.0,Alameda,121555.442041,Vacant,,,0.8,68084NAbrt1NANA,brt1,True,False,,94577,403.0
179792,-122.162891979,37.6878527285,M,8.7,0.0,San Leandro,0.0,0.0,Alameda,132187.4584,Vacant,,,,68084NAb3NANA,b3,False,True,,94579,409.0
159427,-122.151962321,37.718829479,S,43.56,3452.0,San Leandro,0.0,4.0,Alameda,7510.35091758,Residential,,1954.0,1.0,68084NAbrt1NANA,brt1,True,False,HM,94577,403.0
154258,-122.162928944,37.7318330592,S,8.7,1740.0,San Leandro,0.0,2.0,Alameda,6001.7713265,Residential,,1968.0,,68084NAbrt1NANA,brt1,False,True,HM,94577,403.0
153234,-122.154214097,37.716935704,S,21.7,1872.0,San Leandro,0.0,2.0,Alameda,3996.87323078,Residential,,1964.0,,68084NAbart1NANA,bart1,False,True,HS,94577,403.0
158003,-122.15338391,37.7274135765,S,8.7,5532.0,San Leandro,0.0,6.0,Alameda,7234.35299841,Residential,sle3,1979.0,,68084SLE3brt1NANA,brt1,False,True,HM,94577,403.0
159260,-122.154355057,37.7230618428,S,75.0,0.0,San Leandro,0.0,0.0,Alameda,6742.11850836,Parking,sle3,1957.0,2.0,68084SLE3bart1NANA,bart1,True,True,PA2,94577,403.0
159305,-122.15326944,37.7207454359,S,43.56,4005.0,San Leandro,4005.0,0.0,Alameda,5625.01563406,Retail,sle3,1923.0,1.0,68084SLE3bart1NANA,bart1,True,False,RS,94577,403.0
159360,-122.153487389,37.7249471364,S,30.492,2688.0,San Leandro,0.0,4.0,Alameda,7169.03001917,Residential,sle3,1959.0,0.7,68084SLE3bart1NANA,bart1,False,False,HM,94577,403.0
160484,-122.147935413,37.7154037235,M,43.56,3446.0,San Leandro,0.0,2.0,Alameda,2100.1533406,Residential,sle2,1984.0,1.0,68084SLE2b2NANA,b2,True,False,HM,94577,403.0
160491,-122.148489994,37.7153859792,M,43.56,3318.0,San Leandro,0.0,2.0,Alameda,2164.67900713,Residential,sle2,1984.0,1.0,68084SLE2b2NANA,b2,True,False,HM,94577,403.0
161156,-122.176544127,37.7151426322,M,8.7,2030.0,San Leandro,0.0,2.0,Alameda,5102.38808172,Residential,,1947.0,,68084NANANANA,,False,True,HS,94577,403.0
163254,-122.164255539,37.6970088236,M,34.848,7917.0,San Leandro,7917.0,0.0,Alameda,21716.2007003,Office,,1973.0,0.8,68084NAb3NANA,b3,True,False,OF,94577,403.0
