parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1219215,-122.352364731,37.2115739098,VH,0.025,0.0,San Mateo County,0.0,0.0,San Mateo,6736814.01536,Parking,,1960.0,,00081NANANANA,,False,True,PA2,94060,0.0
1218532,-122.23819222,37.2934381505,VH,0.2,0.0,San Mateo County,0.0,0.0,San Mateo,260276.615994,Vacant,,,2.4,00081NANANANA,,False,True,,94020,662.0
1217523,-122.388158025,37.3489069696,VH,0.025,0.0,San Mateo County,0.0,0.0,San Mateo,20247605.3075,Office,,1942.0,,00081NANANANA,,False,True,OF,94062,950.0
1217574,-122.343039179,37.3765054938,VH,0.025,0.0,San Mateo County,0.0,0.0,San Mateo,14621027.2088,Vacant,,,,00081NANANANA,,False,True,,94062,950.0
1131412,-122.512350456,37.5319805728,H,8.712,0.0,San Mateo County,0.0,0.0,San Mateo,9250.13237189,Vacant,,,1.86666666667,00081NANANANA,,False,True,,94038,643.0
1219434,-122.394625835,37.2801470593,VH,0.025,0.0,San Mateo County,0.0,0.0,San Mateo,19676493.0044,Office,,1942.0,,00081NANANANA,,False,True,OF,94060,0.0
1262295,-122.353467815,37.4137475773,H,,1945.37009674,San Mateo County,0.0,1.0,San Mateo,11120473.1522,Residential,,1980.0,,00081NANANANA,,False,False,HS,94019,578.0
1219415,-122.38065045,37.2980165198,VH,0.025,0.0,San Mateo County,0.0,0.0,San Mateo,4971031.28893,Residential,,1991.0,,00081NANANANA,,False,True,HS,94060,0.0
1153158,-122.489149321,37.5053843938,H,43.56,0.0,San Mateo County,0.0,0.0,San Mateo,5192.93333633,Vacant,,,1.0,00081NANANANA,,True,False,,94019,578.0
1155525,-122.461378756,37.4971682736,VH,4.356,0.0,San Mateo County,0.0,0.0,San Mateo,6906.4585223,Vacant,,,,00081NANANANA,,False,True,,94019,578.0
1131709,-122.514937505,37.5241228676,H,8.712,0.0,San Mateo County,0.0,0.0,San Mateo,5775.08508925,Vacant,,,1.86666666667,00081NANANANA,,False,True,,94038,643.0
1219294,-122.341749568,37.2460836301,VH,0.2,0.0,San Mateo County,0.0,0.0,San Mateo,4843.9691683,Vacant,,,2.4,00081NANANANA,,False,True,,94060,0.0
1155169,-122.466842019,37.5033238239,VH,8.712,0.0,San Mateo County,0.0,0.0,San Mateo,3043.40706525,Vacant,,,1.86666666667,00081NANANANA,,False,True,,94019,578.0
1217540,-122.363965128,37.36801548,VH,0.025,0.0,San Mateo County,0.0,0.0,San Mateo,24813160.3139,Office,,1942.0,,00081NANANANA,,False,True,OF,94062,950.0
1201049,-122.322304012,37.4346790747,H,2.178,0.0,San Mateo County,0.0,0.0,San Mateo,4957.64031779,Vacant,,,2.4,00081NANANANA,,False,True,,94062,950.0
