parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1117625,-122.332590091,37.5764096254,S,17.0,5836.11029021,San Mateo,0.0,3.0,San Mateo,7537.5951272,Residential,,1978.0,1.6,68252NAbrt2NANA,brt2,False,True,HS,94401,711.0
1116984,-122.338248895,37.5709043033,M,50.0,38560.0,San Mateo,0.0,10.0,San Mateo,6475.1556442,Residential,sma4,1952.0,3.66666666667,68252SMA4brt2NANA,brt2,False,True,HM,94402,920.0
1117588,-122.333612644,37.5742330324,S,35.0,3890.74019347,San Mateo,0.0,2.0,San Mateo,7500.21288917,Residential,,1980.0,3.66666666667,68252NAbrt2NANA,brt2,False,True,HS,94401,711.0
1123502,-122.325432896,37.5586080579,S,9.0,5836.11029021,San Mateo,0.0,3.0,San Mateo,5453.73360218,Residential,sma4,1971.0,1.6,68252SMA4brt2NANA,brt2,False,True,HS,94402,920.0
1133845,-122.327579016,37.5388504097,M,,0.0,San Mateo,0.0,0.0,San Mateo,4632.31375685,Vacant,,,,68252NANANANA,,False,False,,94403,815.0
1136232,-122.305401798,37.5430918586,S,50.0,1820.0,San Mateo,0.0,2.0,San Mateo,6527.42527852,Residential,sma4,1952.0,3.66666666667,68252SMA4brt2NANA,brt2,False,True,HS,94403,815.0
1136257,-122.306299316,37.5431178988,S,43.56,9000.0,San Mateo,9000.0,0.0,San Mateo,6520.0379114,Office,sma4,1960.0,1.0,68252SMA4brt2NANA,brt2,True,False,OF,94403,815.0
1136595,-122.314037135,37.5294297163,MH,9.0,2400.0,San Mateo,0.0,2.0,San Mateo,6288.93937601,Residential,,1952.0,1.6,68252NANANANA,,False,True,HS,94403,815.0
1137205,-122.292821954,37.5483076367,S,9.0,3890.74019347,San Mateo,0.0,2.0,San Mateo,5999.87318076,Residential,,1976.0,1.6,68252NAb3NANA,b3,False,True,HS,94403,815.0
1137487,-122.290863397,37.5332608009,M,50.0,7781.48038695,San Mateo,0.0,4.0,San Mateo,7956.87653914,Residential,sma4,1949.0,3.66666666667,68252SMA4cr3NANA,cr3,False,True,HM,94403,815.0
1141648,-122.325512819,37.5321401671,MH,17.0,11032.0,San Mateo,0.0,4.0,San Mateo,12052.9736677,Residential,,1965.0,1.6,68252NANANANA,,False,True,HM,94403,815.0
1129794,-122.292063868,37.563328366,M,17.0,0.0,San Mateo,0.0,0.0,San Mateo,3311.16994862,Vacant,,,1.6,68252NANANANA,,False,True,,94404,741.0
1119243,-122.32382647,37.5749457717,S,9.0,5836.11029021,San Mateo,0.0,3.0,San Mateo,5511.36285304,Residential,,1954.0,1.6,68252NANANANA,,False,True,HS,94401,711.0
1119872,-122.316955631,37.5715438201,S,17.0,5836.11029021,San Mateo,0.0,3.0,San Mateo,8135.96711848,Residential,,1954.0,1.6,68252NAcr3NANA,cr3,False,True,HS,94401,711.0
