parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
551862,-122.353158654,37.9736274005,S,24.0,0.0,San Pablo,0.0,0.0,Contra Costa,14915.3962554,Vacant,,,,68294NANANANA,,False,True,,94806,293.0
526077,-122.34366483,37.9639144979,S,24.0,0.0,San Pablo,0.0,0.0,Contra Costa,10837.5125679,Vacant,spa1,,,68294SPA1brt1NANA,brt1,False,True,,94806,293.0
525597,-122.34510713,37.9636404356,S,50.0,2261.0,San Pablo,2261.0,0.0,Contra Costa,19089.5379452,Retail,spa1,1979.0,1.5,68294SPA1brt1NANA,brt1,True,True,RS,94806,293.0
527777,-122.34239796,37.9644566213,S,24.0,0.0,San Pablo,0.0,0.0,Contra Costa,17862.7032612,Vacant,spa1,,,68294SPA1brt1NANA,brt1,False,True,,94806,293.0
525394,-122.344800192,37.9635518252,S,24.0,0.0,San Pablo,0.0,0.0,Contra Costa,10947.5823728,Vacant,spa1,,,68294SPA1brt1NANA,brt1,False,True,,94806,293.0
551817,-122.352986872,37.9737911462,S,24.0,0.0,San Pablo,0.0,0.0,Contra Costa,4058.63596673,Vacant,,,,68294NANANANA,,False,True,,94806,293.0
549983,-122.353092167,37.973364809,S,24.0,0.0,San Pablo,0.0,0.0,Contra Costa,4040.09754111,Vacant,,,,68294NANANANA,,False,True,,94806,293.0
525470,-122.34257567,37.9637887357,S,24.0,0.0,San Pablo,0.0,0.0,Contra Costa,6955.45065191,Vacant,spa1,,,68294SPA1brt1NANA,brt1,False,True,,94806,293.0
504473,-122.331499346,37.9555063054,S,32.67,34710.0,San Pablo,34710.0,0.0,Contra Costa,125195.544979,Retail,spa1,1990.0,0.75,68294SPA1brt1NANA,brt1,True,False,RS,94806,293.0
513336,-122.354478016,37.9588265741,S,12.0,2782.0,San Pablo,0.0,4.0,Contra Costa,4130.70870203,Residential,,1964.0,,68294NAb3NANA,b3,False,True,HM,94806,293.0
545002,-122.349581928,37.971791618,S,12.0,1494.0,San Pablo,0.0,2.0,Contra Costa,4938.73702292,Residential,,1948.0,,68294NAbrt1NANA,brt1,False,True,HS,94806,293.0
554199,-122.35112668,37.9747374361,S,12.0,3153.33333333,San Pablo,0.0,4.0,Contra Costa,3679.36364654,Residential,,1957.0,,68294NANANANA,,False,True,HM,94806,293.0
507684,-122.345789277,37.9570281088,S,12.0,2864.0,San Pablo,0.0,2.0,Contra Costa,5230.78923827,Residential,,1953.0,,68294NAbrt1NANA,brt1,False,True,HS,94806,293.0
