parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
827539,-122.549279143,38.0015060839,M,,2029.42425042,San Rafael,0.0,1.0,Marin,699128.56945,Residential,,1977.0,,68364NANANANA,,False,False,HS,94903,496.0
750586,-122.496566497,37.9736318977,S,6.5,3978.0,San Rafael,0.0,2.0,Marin,13390.6381034,Residential,,1951.0,2.0,68364NAb2NANA,b2,False,True,HS,94901,539.0
754001,-122.522796772,37.9824646974,M,15.0,0.0,San Rafael,0.0,0.0,Marin,5145.28465658,Vacant,,,2.4,68364NANANANA,,False,True,,94901,539.0
751723,-122.497812207,37.9621616122,S,15.0,8117.6970017,San Rafael,0.0,4.0,Marin,50307.0973597,Residential,,1977.0,2.4,68364NAb2NANA,b2,False,True,HM,94901,539.0
751774,-122.489782068,37.9466557412,S,16.5528,1334.0,San Rafael,1334.0,0.0,Marin,1373.51193047,Office,,1980.0,0.38,68364NANANANA,,True,False,OF,94901,539.0
756702,-122.51871318,37.9627498852,S,32.0,97412.3640204,San Rafael,0.0,48.0,Marin,45748.2817581,Residential,,1958.0,2.4,68364NANANANA,,False,True,HM,94901,539.0
760670,-122.506235102,37.956939342,S,9.1476,0.0,San Rafael,0.0,0.0,Marin,36052.6977327,Office,,1973.0,0.21,68364NAb2NANA,b2,True,False,OF,94901,539.0
760679,-122.502261071,37.9555010498,S,16.5528,0.0,San Rafael,0.0,0.0,Marin,135590.940643,Vacant,,,0.38,68364NAb2NANA,b2,True,False,,94901,539.0
755417,-122.531573216,37.9702691389,S,6.5,2250.0,San Rafael,0.0,3.0,Marin,2381.70760204,Residential,sra1,1984.0,2.0,68364SRA1b1NANA,b1,False,True,HM,94901,539.0
757515,-122.518625378,37.9564497403,S,6.5,3916.0,San Rafael,0.0,2.0,Marin,5225.28824339,Residential,,1968.0,2.0,68364NANANANA,,False,True,HS,94901,539.0
760776,-122.498393421,37.9521363773,S,16.5528,42240.0,San Rafael,42240.0,0.0,Marin,70214.7808635,Industrial,,1979.0,0.38,68364NANANANA,,True,False,IW,94901,539.0
813159,-122.537866918,38.01439168,M,16.5528,21362.0,San Rafael,21362.0,0.0,Marin,71151.2493495,Office,,1969.0,0.38,68364NAb3NANA,b3,True,False,OF,94903,496.0
813315,-122.53795499,38.0227007249,M,32.0,0.0,San Rafael,0.0,0.0,Marin,27140.0044696,Vacant,,,1.0,68364NANANANA,,False,True,,94903,496.0
833426,-122.467085244,37.985859475,MH,6.5,0.0,San Rafael,0.0,0.0,Marin,1530.96152586,Vacant,,,2.0,68364NANANANA,,False,True,,94901,539.0
751564,-122.49649258,37.95262514,S,16.5528,69120.0,San Rafael,69120.0,0.0,Marin,703.1138564,Industrial,,1980.0,0.38,68364NANANANA,,True,False,IW,94901,539.0
752436,-122.536492672,37.9862734168,M,2.0,4058.84850085,San Rafael,0.0,2.0,Marin,10902.4663502,Residential,,1960.0,2.0,68364NANANANA,,False,True,HS,94901,539.0
752504,-122.539720034,37.982240031,M,2.0,1831.0,San Rafael,0.0,1.0,Marin,46744.2351351,Residential,,1967.0,2.0,68364NANANANA,,False,True,HS,94901,539.0
754092,-122.533894117,37.9780092501,M,6.5,4058.84850085,San Rafael,0.0,2.0,Marin,7677.13415614,Residential,,1950.0,2.0,68364NAb3NANA,b3,False,True,HS,94901,539.0
756551,-122.522178048,37.9674413385,S,16.5528,7680.0,San Rafael,7680.0,0.0,Marin,4380.86586703,Industrial,sra1,1959.0,0.38,68364SRA1b1NANA,b1,False,False,IW,94901,539.0
760781,-122.502729039,37.9533042715,S,16.5528,9280.0,San Rafael,9280.0,0.0,Marin,111252.251345,Office,,1973.0,0.38,68364NANANANA,,False,False,OF,94901,539.0
823341,-122.54417669,38.0236278369,M,16.5528,78033.0,San Rafael,78033.0,0.0,Marin,207690.040426,Office,,1982.0,0.38,68364NANANANA,,False,True,OF,94903,496.0
754002,-122.522727479,37.9823538648,M,15.0,0.0,San Rafael,0.0,0.0,Marin,4993.38237351,Vacant,,,2.4,68364NANANANA,,False,True,,94901,539.0
756362,-122.533387009,37.9603679256,S,2.0,4058.84850085,San Rafael,0.0,2.0,Marin,1047.84743418,Residential,,1943.0,2.0,68364NANANANA,,False,True,HM,94901,539.0
753014,-122.542925007,37.9776672218,M,15.0,4058.84850085,San Rafael,0.0,2.0,Marin,8345.14015445,Residential,,1954.0,2.4,68364NAb3NANA,b3,False,True,HM,94901,539.0
754112,-122.522506852,37.978796183,M,15.0,6088.27275127,San Rafael,0.0,3.0,Marin,6204.70755074,Residential,sra1,1954.0,2.4,68364SRA1b2NANA,b2,False,True,HM,94901,539.0
754390,-122.522784541,37.9752745417,M,17.424,4058.84850085,San Rafael,0.0,2.0,Marin,3729.22544126,Residential,sra1,1913.0,0.4,68364SRA1b1NANA,b1,False,False,HM,94901,539.0
754595,-122.523174738,37.9739751967,S,21.78,4058.84850085,San Rafael,0.0,2.0,Marin,4019.0556914,Residential,sra1,1943.0,0.5,68364SRA1b1NANA,b1,True,True,HM,94901,539.0
754751,-122.530378032,37.9725838201,S,62.0,85991.0,San Rafael,85991.0,0.0,Marin,6178.44145604,Retail,sra1,1939.0,1.5,68364SRA1b1NANA,b1,True,True,RS,94901,539.0
756711,-122.516606114,37.962971844,S,16.5528,6720.0,San Rafael,6720.0,0.0,Marin,3814.55030694,Industrial,,1946.0,0.38,68364NAb2NANA,b2,False,False,IW,94901,539.0
757705,-122.514144313,37.9752387083,S,15.0,4058.84850085,San Rafael,0.0,2.0,Marin,7359.37409937,Residential,,1949.0,2.4,68364NAb2NANA,b2,False,True,HM,94901,539.0
757903,-122.512016228,37.9734597934,S,32.0,0.0,San Rafael,0.0,0.0,Marin,3094.34983185,Vacant,,,2.4,68364NAb2NANA,b2,False,True,,94901,539.0
758042,-122.521146921,37.9725327131,S,17.424,3115.0,San Rafael,3115.0,0.0,Marin,4301.02000903,Retail,sra1,1958.0,0.4,68364SRA1b1NANA,b1,True,True,RS,94901,539.0
759212,-122.518699081,37.985096661,S,2.0,2029.42425042,San Rafael,0.0,1.0,Marin,123100.726862,Residential,,1991.0,2.0,68364NANANANA,,False,True,HS,94901,539.0
756556,-122.52229434,37.9675091193,S,16.5528,6720.0,San Rafael,6720.0,0.0,Marin,4138.58232362,Industrial,sra1,1955.0,0.38,68364SRA1b1NANA,b1,False,False,IW,94901,539.0
756572,-122.520947207,37.9676935106,S,9.1476,12480.0,San Rafael,12480.0,0.0,Marin,21203.8396918,Industrial,sra1,1960.0,0.21,68364SRA1b1NANA,b1,True,False,IW,94901,539.0
754006,-122.522450277,37.9819105625,M,15.0,0.0,San Rafael,0.0,0.0,Marin,4380.49546784,Vacant,,,2.4,68364NAb3NANA,b3,False,True,,94901,539.0
755633,-122.535508472,37.9697568901,S,15.0,6088.27275127,San Rafael,0.0,3.0,Marin,4474.01699452,Residential,,1943.0,2.4,68364NAb3NANA,b3,False,True,HM,94901,539.0
828015,-122.549477737,38.0027258479,M,32.0,0.0,San Rafael,0.0,0.0,Marin,53.4628455099,Office,,1985.0,2.4,68364NAb3NANA,b3,False,True,OF,94903,496.0
753065,-122.549648076,37.9785723284,M,6.5,4058.84850085,San Rafael,0.0,2.0,Marin,463.670421925,Residential,,1954.0,2.0,68364NAb3NANA,b3,False,True,HM,94901,539.0
755785,-122.541317255,37.9685988774,S,6.5,6088.27275127,San Rafael,0.0,3.0,Marin,5329.59463411,Residential,,1964.0,2.0,68364NAb3NANA,b3,False,True,HS,94901,539.0
826473,-122.542641023,38.000204928,M,32.0,0.0,San Rafael,0.0,0.0,Marin,27163.8352028,Vacant,,,2.4,68364NAcr4NANA,cr4,False,True,,94903,496.0
822575,-122.5676748,38.0149062615,M,6.5,4058.84850085,San Rafael,0.0,2.0,Marin,505.54846303,Residential,,1962.0,2.0,68364NANANANA,,False,True,HM,94903,496.0
758309,-122.513205022,37.9649516311,S,9.1476,6800.0,San Rafael,6800.0,0.0,Marin,6082.1029406,Office,,1952.0,0.21,68364NAb2NANA,b2,True,False,OF,94901,539.0
754240,-122.535486654,37.9768336906,M,15.0,4058.84850085,San Rafael,0.0,2.0,Marin,5862.35542748,Residential,,1954.0,2.4,68364NAb3NANA,b3,False,True,HM,94901,539.0
813977,-122.539553936,38.0151906229,M,16.5528,0.0,San Rafael,0.0,0.0,Marin,2812.27891097,Vacant,,,0.38,68364NANANANA,,True,False,,94903,496.0
750406,-122.504949591,37.9625336285,S,16.5528,9969.0,San Rafael,9969.0,0.0,Marin,19746.2916555,Office,,1974.0,0.38,68364NAb2NANA,b2,True,False,OF,94901,539.0
751781,-122.489407807,37.9471916457,S,16.5528,990.0,San Rafael,990.0,0.0,Marin,1062.74813088,Office,,1973.0,0.38,68364NANANANA,,True,False,OF,94901,539.0
754587,-122.524007422,37.9737123546,S,21.78,6646.0,San Rafael,6646.0,0.0,Marin,7688.73482224,Office,sra1,1965.0,0.5,68364SRA1b1NANA,b1,True,True,OF,94901,539.0
756673,-122.523896892,37.9670083955,S,13.9392,0.0,San Rafael,0.0,0.0,Marin,7902.0422139,Vacant,sra1,,0.32,68364SRA1b1NANA,b1,True,False,,94901,539.0
830728,-122.537274668,37.9950720221,M,6.5,0.0,San Rafael,0.0,0.0,Marin,7962.57313852,Office,,1950.0,2.0,68364NAcr4NANA,cr4,False,True,OF,94903,496.0
754832,-122.525480743,37.972100009,S,62.0,3940.0,San Rafael,3940.0,0.0,Marin,5686.73163137,Office,sra1,1939.0,1.5,68364SRA1b1NANA,b1,True,True,OF,94901,539.0
754836,-122.525801765,37.9723408504,S,62.0,5500.0,San Rafael,5500.0,0.0,Marin,3242.84474268,Office,sra1,1965.0,1.5,68364SRA1b1NANA,b1,True,True,OF,94901,539.0
754842,-122.525694473,37.9711326728,S,62.0,1335.0,San Rafael,1335.0,0.0,Marin,10570.2458406,Retail,sra1,1939.0,1.5,68364SRA1b1NANA,b1,True,True,RS,94901,539.0
754846,-122.52491705,37.9711445658,S,62.0,4748.0,San Rafael,4748.0,0.0,Marin,7069.18990338,Retail,sra1,1939.0,1.5,68364SRA1b1NANA,b1,True,True,RS,94901,539.0
757747,-122.513976966,37.9742779867,S,15.0,8117.6970017,San Rafael,0.0,4.0,Marin,6037.91658866,Residential,,1954.0,2.4,68364NAb2NANA,b2,False,True,HM,94901,539.0
757753,-122.51329372,37.9741532799,S,6.5,2268.0,San Rafael,0.0,3.0,Marin,8388.03604719,Residential,,1931.0,2.0,68364NAb2NANA,b2,False,True,HM,94901,539.0
757606,-122.521739786,37.974986098,M,32.0,6088.27275127,San Rafael,0.0,3.0,Marin,4059.92704543,Residential,sra1,1913.0,2.4,68364SRA1b1NANA,b1,False,True,HM,94901,539.0
757619,-122.519772607,37.9740732129,S,15.0,20294.2425042,San Rafael,0.0,10.0,Marin,26945.4762772,Residential,sra1,1942.0,2.4,68364SRA1b1NANA,b1,False,True,HM,94901,539.0
757630,-122.518789261,37.9743814638,S,32.0,14205.969753,San Rafael,0.0,7.0,Marin,8322.53460865,Residential,sra1,1954.0,2.4,68364SRA1b1NANA,b1,False,True,HM,94901,539.0
757665,-122.515097664,37.9764175849,S,6.5,4058.84850085,San Rafael,0.0,2.0,Marin,4993.51141619,Residential,,1921.0,2.0,68364NAb2NANA,b2,False,True,HS,94901,539.0
760062,-122.492256673,37.9728568072,MH,6.5,0.0,San Rafael,0.0,0.0,Marin,17036.0818319,Vacant,,,2.0,68364NANANANA,,False,True,,94901,539.0
751654,-122.49925089,37.9578593305,S,16.5528,975.0,San Rafael,975.0,0.0,Marin,957.470920353,Office,,1989.0,0.38,68364NAb2NANA,b2,True,False,OF,94901,539.0
