parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
494090,-121.986685559,37.7745170586,M,30.0,0.0,San Ramon,0.0,0.0,Contra Costa,50149.019897,Vacant,,,1.35,68378NANANANA,,True,True,,94583,460.0
493379,-121.986093284,37.7741587264,M,19.602,0.0,San Ramon,0.0,0.0,Contra Costa,16933.8538811,Vacant,,,0.45,68378NANANANA,,True,False,,94583,460.0
438214,-121.90765748,37.7663321963,MH,12.0,0.0,San Ramon,0.0,0.0,Contra Costa,16515.1250537,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
483814,-121.907186881,37.7742653094,MH,7.2,0.0,San Ramon,0.0,0.0,Contra Costa,4866.21083917,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
477125,-121.916577491,37.7726663234,MH,12.0,0.0,San Ramon,0.0,0.0,Contra Costa,31345.662219,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
441223,-121.949290162,37.7657138723,M,21.78,0.0,San Ramon,0.0,0.0,Contra Costa,183056.440758,Parking,,1987.0,0.5,68378NAb3NANA,b3,False,True,PA2,94582,431.0
724647,-121.906560685,37.7527165466,MH,,0.0,San Ramon,0.0,0.0,Contra Costa,3445.55257246,Vacant,,,,68378NANANANA,,False,False,,94582,431.0
495257,-121.89780031,37.7761356518,MH,5.0,0.0,San Ramon,0.0,0.0,Contra Costa,4496.41330212,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
489535,-121.907165236,37.7752274216,MH,7.2,0.0,San Ramon,0.0,0.0,Contra Costa,10297.4993753,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
691519,-121.954822812,37.7332699525,MH,0.2,0.0,San Ramon,0.0,0.0,Contra Costa,2094323.29258,Vacant,,,,68378NANANANA,,False,False,,94583,460.0
501321,-121.894638942,37.7777327719,MH,5.0,0.0,San Ramon,0.0,0.0,Contra Costa,7916.0564105,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
682523,-121.935758799,37.7257756824,M,21.78,0.0,San Ramon,0.0,0.0,Contra Costa,240607.137548,Parking,,1982.0,0.5,68378NANANANA,,False,True,PA2,94583,460.0
711530,-121.896001371,37.7502553617,MH,,0.0,San Ramon,0.0,0.0,Contra Costa,3315.61586354,Vacant,,,,68378NANANANA,,False,False,,94582,431.0
453401,-121.916386537,37.7693237625,MH,12.0,0.0,San Ramon,0.0,0.0,Contra Costa,8621.10701936,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
396153,-121.971851918,37.7779185201,M,15.246,12780.0,San Ramon,12780.0,0.0,Contra Costa,46937.5531125,Office,sar2,1981.0,0.35,68378SAR2b2NANA,b2,True,False,OF,94583,460.0
452323,-121.921889695,37.7686517524,M,12.0,0.0,San Ramon,0.0,0.0,Contra Costa,11554.4845923,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
502490,-121.896501768,37.7780525853,MH,5.0,0.0,San Ramon,0.0,0.0,Contra Costa,10300.0711731,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
710051,-121.899306091,37.7499237191,MH,12.0,0.0,San Ramon,0.0,0.0,Contra Costa,21503.5370247,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
464260,-121.907252432,37.7703695786,MH,,0.0,San Ramon,0.0,0.0,Contra Costa,116040.960357,Vacant,,,,68378NANANANA,,False,False,,94582,431.0
496212,-121.896620103,37.7765931775,MH,5.0,0.0,San Ramon,0.0,0.0,Contra Costa,7698.81942757,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
446124,-121.922330637,37.7676515362,M,12.0,0.0,San Ramon,0.0,0.0,Contra Costa,5514.50229758,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
411777,-121.889131908,37.7615732281,MH,5.0,0.0,San Ramon,0.0,0.0,Contra Costa,7184.76123936,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
437915,-121.890977685,37.765974162,MH,,0.0,San Ramon,0.0,0.0,Contra Costa,191548.930835,Vacant,,,,68378NANANANA,,False,False,,94582,431.0
451935,-121.989149972,37.7679261364,M,6.0,0.0,San Ramon,0.0,0.0,Contra Costa,4090.00642146,Vacant,,,2.33333333333,68378NANANANA,,False,True,,94583,460.0
460516,-121.900177014,37.7703573088,MH,12.0,0.0,San Ramon,0.0,0.0,Contra Costa,31694.3733355,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
492101,-121.904919024,37.7757835218,MH,7.2,0.0,San Ramon,0.0,0.0,Contra Costa,6030.28057743,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
409823,-121.887117889,37.7607314275,MH,5.0,0.0,San Ramon,0.0,0.0,Contra Costa,10422.6084542,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
481202,-121.90519579,37.7737590599,MH,7.2,0.0,San Ramon,0.0,0.0,Contra Costa,6740.72819348,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
406646,-121.94553287,37.7590073914,M,21.78,556200.0,San Ramon,0.0,618.0,Contra Costa,162924.243204,Residential,,1987.0,0.5,68378NANANANA,,False,True,HM,94583,460.0
736022,-121.892301444,37.7554562544,MH,5.0,0.0,San Ramon,0.0,0.0,Contra Costa,8747.73820726,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
422106,-121.985811032,37.7612913283,MH,,0.0,San Ramon,0.0,0.0,Contra Costa,154452.041159,Vacant,,,,68378NANANANA,,False,False,,94583,460.0
536713,-121.927329127,37.7844795641,M,14.0,0.0,San Ramon,0.0,0.0,Contra Costa,85388.995212,Vacant,,,2.33333333333,68378NANANANA,,False,True,,94582,431.0
491902,-121.906869289,37.7756685743,MH,7.2,0.0,San Ramon,0.0,0.0,Contra Costa,7158.17452961,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
720280,-121.942046067,37.7239725174,MH,15.246,18070.0,San Ramon,18070.0,0.0,Contra Costa,46510.4170803,Retail,,1978.0,0.35,68378NANANANA,,True,False,RS,94583,460.0
498144,-121.921769688,37.7765739423,MH,12.0,0.0,San Ramon,0.0,0.0,Contra Costa,22477.0800965,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
450268,-121.920924579,37.7686038601,M,12.0,0.0,San Ramon,0.0,0.0,Contra Costa,5604.54190776,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
728278,-121.949565406,37.7625408696,M,21.78,142350.0,San Ramon,0.0,150.0,Contra Costa,56105.5146684,Residential,,1989.0,0.5,68378NAb3NANA,b3,False,True,HS,94583,460.0
468616,-121.907168116,37.7720475609,MH,7.2,0.0,San Ramon,0.0,0.0,Contra Costa,6069.08416028,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
491879,-121.905487387,37.7756775066,MH,7.2,0.0,San Ramon,0.0,0.0,Contra Costa,10562.2651586,Vacant,,,,68378NANANANA,,False,True,,94582,431.0
