parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1593672,-121.988980072,37.2140729818,M,1.0,0.0,Santa Clara County,0.0,0.0,Santa Clara,8782.08093607,Vacant,,,2.0,00085NANANANA,,False,False,,95033,619.0
1706578,-121.61723421,37.0361035761,M,0.2,1824.0,Santa Clara County,0.0,1.0,Santa Clara,63107.2716497,Residential,,1974.0,,00085NANAexp1NA,,False,False,HS,95020,356.0
1718890,-121.599323577,37.1291573118,MH,,1740.0,Santa Clara County,0.0,1.0,Santa Clara,56690.0890992,Residential,,1956.0,,00085NANAubzNA,,False,True,HS,95037,404.0
1595867,-121.988802492,37.1804199062,VH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,1529.2912857,Vacant,,,,00085NANANANA,,False,True,,95033,619.0
1278134,-121.547935735,37.395645582,VH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,2570020.33372,Vacant,,,,00085NANANANA,,False,True,,94550,422.0
1630774,-121.614085526,37.2566885711,VH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,28966930.3905,Vacant,,,,00085NANANANA,,False,True,,95037,404.0
1699316,-121.747179253,37.066147997,MH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,1391288.16694,Vacant,,,,00085NANANANA,,False,True,,95037,404.0
1630622,-121.765531913,37.3692850742,MH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,703782.216531,Vacant,,,,00085NANANANA,,False,True,,95127,460.0
1624542,-121.820828576,37.3787937249,M,30.492,4268.0,Santa Clara County,0.0,2.0,Santa Clara,9463.02965279,Residential,,1934.0,0.7,00085NANANANA,,True,True,HS,95127,460.0
1596176,-121.805960616,37.1014527826,MH,0.05,768.0,Santa Clara County,0.0,1.0,Santa Clara,160197.36961,Residential,,1986.0,,00085NANANANA,,False,True,HS,95033,619.0
1699130,-121.767492705,37.0886912595,MH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,108781.887821,Vacant,,,,00085NANANANA,,False,True,,95037,404.0
1594406,-121.988982977,37.1542492006,VH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,3199.5691612,Vacant,,,,00085NANANANA,,False,True,,95033,619.0
1594457,-121.991638777,37.1481771701,VH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,1237.08256483,Vacant,,,,00085NANANANA,,False,True,,95033,619.0
1594236,-121.987754632,37.1587450809,VH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,2900.15100809,Vacant,,,,00085NANANANA,,False,True,,95033,619.0
1705146,-121.630790215,37.0986806984,M,0.2,2555.0,Santa Clara County,0.0,1.0,Santa Clara,43638.1718607,Residential,,1968.0,,00085NANAubzNA,,False,False,HS,95037,404.0
1718862,-121.601224389,37.1284712901,MH,0.05,2316.0,Santa Clara County,0.0,1.0,Santa Clara,60164.8438047,Residential,,1975.0,,00085NANAubzNA,,False,True,HS,95037,404.0
1724419,-121.526638781,36.9561644103,H,0.025,0.0,Santa Clara County,0.0,0.0,Santa Clara,217891.395455,Vacant,,,,00085NANAexp1_npNA,,False,True,,95020,356.0
1278055,-121.497980364,37.2976976581,VH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,1718505.09746,Vacant,,,,00085NANANANA,,False,True,,94550,422.0
1725855,-121.383785914,36.9859548299,VH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,6196.72207571,Vacant,,,,00085NANANANA,,False,True,,95023,267.0
1276494,-121.852038961,37.4569555697,M,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,185314.272001,Vacant,,,,00085NANANANA,,False,True,,95035,539.0
1501729,-121.941916229,37.2702516883,S,30.492,2194.0,Santa Clara County,0.0,2.0,Santa Clara,9812.00905063,Residential,,1957.0,0.7,00085NAb2ubzNA,b2,True,True,HS,95008,663.0
1562812,-121.823277707,37.3572639552,S,30.492,2156.0,Santa Clara County,0.0,2.0,Santa Clara,7009.89315953,Residential,,1955.0,0.7,00085NAlrt2NANA,lrt2,True,True,HS,95127,460.0
1585786,-122.044796408,37.2392896572,MH,0.05,3024.0,Santa Clara County,0.0,1.0,Santa Clara,45932.3889018,Residential,,1954.0,,00085NANAexp0_npNA,,False,True,HS,95070,938.0
1593407,-121.917338359,37.2171602042,MH,,0.0,Santa Clara County,0.0,0.0,Santa Clara,524078.653775,Parking,,1950.0,,00085NANAexp0NA,,False,False,PA2,95032,793.0
1593968,-122.023782278,37.1947423399,VH,0.05,1637.0,Santa Clara County,0.0,1.0,Santa Clara,125013.34936,Residential,,1963.0,,00085NANANANA,,False,True,HS,95033,619.0
1594607,-121.992319802,37.1551349496,VH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,28424.3139821,Vacant,,,,00085NANANANA,,False,True,,95033,619.0
1594620,-121.990844973,37.1551980106,VH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,27400.0344441,Vacant,,,,00085NANANANA,,False,True,,95033,619.0
1594624,-121.99170447,37.1541593809,VH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,12655.5339578,Vacant,,,,00085NANANANA,,False,True,,95033,619.0
1594925,-121.961651857,37.1327312154,VH,0.05,3960.0,Santa Clara County,0.0,2.0,Santa Clara,57828.703917,Residential,,1976.0,,00085NANANANA,,False,True,HS,95033,619.0
1595068,-121.976270184,37.1482039362,VH,0.05,3146.0,Santa Clara County,0.0,1.0,Santa Clara,50748.2487689,Residential,,1993.0,,00085NANANANA,,False,True,HS,95033,619.0
1595816,-121.987669423,37.1754155675,VH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,4268.68540364,Vacant,,,,00085NANANANA,,False,True,,95033,619.0
1595841,-121.991551668,37.1737739936,VH,0.05,6870.0,Santa Clara County,0.0,3.0,Santa Clara,33125.6507371,Residential,,1971.0,,00085NANANANA,,False,True,HS,95033,619.0
1595899,-121.96878763,37.1536511205,VH,0.05,4691.0,Santa Clara County,0.0,1.0,Santa Clara,209275.279348,Residential,,1987.0,,00085NANANANA,,False,True,HS,95033,619.0
1623463,-121.83160937,37.3877770193,S,30.492,2054.0,Santa Clara County,0.0,2.0,Santa Clara,5573.52602923,Residential,,1952.0,0.7,00085NANANANA,,True,True,HS,95127,460.0
1626452,-121.8228662,37.3710872086,S,30.492,1752.0,Santa Clara County,0.0,2.0,Santa Clara,6019.35320824,Residential,,1943.0,0.7,00085NAb2NANA,b2,True,True,HS,95127,460.0
1630771,-121.613125237,37.2094451303,VH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,27610948.8905,Vacant,,,0.02,00085NANANANA,,False,True,,95037,404.0
1698687,-121.752389058,37.1065068411,MH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,1199993.44726,Parking,,1930.0,,00085NANANANA,,False,True,PA2,95037,404.0
1704808,-121.676198063,37.1035283065,MH,0.2,0.0,Santa Clara County,0.0,0.0,Santa Clara,10530.4796603,Vacant,,,,00085NANANANA,,False,False,,95037,404.0
1704910,-121.709856538,37.1187473955,MH,0.05,0.0,Santa Clara County,0.0,0.0,Santa Clara,354986.966448,Vacant,,,,00085NANANANA,,False,True,,95037,404.0
