parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1371622,-121.939505149,37.3547712895,S,,0.0,Santa Clara,0.0,0.0,Santa Clara,2052.62930425,Vacant,scl2,,,69084SCL2bart2NANA,bart2,False,False,,95050,680.0
1423180,-121.960867959,37.3345233829,S,18.0,11550.0,Santa Clara,0.0,2.0,Santa Clara,7242.96176925,Residential,,1972.0,,69084NANANANA,,False,True,HM,95050,680.0
1418067,-121.963723484,37.3514977439,S,10.0,1316.0,Santa Clara,0.0,2.0,Santa Clara,1040.60732125,Residential,,1982.0,,69084NAbrt2NANA,brt2,False,True,HM,95050,680.0
1425208,-121.966982074,37.3341632701,S,18.0,1433.0,Santa Clara,0.0,2.0,Santa Clara,1460.36018217,Residential,,1987.0,,69084NAb3NANA,b3,False,True,HM,95050,680.0
1368561,-121.978384357,37.3531626549,S,10.0,1670.0,Santa Clara,0.0,2.0,Santa Clara,1981.68446864,Residential,,1990.0,,69084NAbrt2NANA,brt2,False,True,HM,95051,760.0
1423159,-121.963099423,37.3355109334,S,18.0,11550.0,Santa Clara,0.0,2.0,Santa Clara,7427.63801252,Residential,,1972.0,,69084NANANANA,,False,True,HM,95050,680.0
1371620,-121.941849776,37.3559573991,S,19.602,0.0,Santa Clara,0.0,0.0,Santa Clara,3866.94160479,Vacant,scl2,,0.45,69084SCL2bart2NANA,bart2,False,False,,95050,680.0
2051757,-121.986074174,37.3603336184,S,18.0,0.0,Santa Clara,0.0,0.0,Santa Clara,29444.9056188,Residential,,1981.0,,69084NANANANA,,False,True,HM,95051,760.0
1292969,-121.942501209,37.3945390796,S,10.0,3130.0,Santa Clara,0.0,2.0,Santa Clara,8983.33473513,Residential,,1970.0,,69084NAlrt1NANA,lrt1,False,True,HS,95054,633.0
1293696,-121.959769945,37.3865910395,S,19.602,25946.0,Santa Clara,25946.0,0.0,Santa Clara,67211.8344836,Industrial,,1979.0,0.45,69084NANANANA,,False,False,IL,95054,633.0
1365919,-121.986306867,37.3797161983,S,26.136,7271.0,Santa Clara,7271.0,0.0,Santa Clara,4859.43494757,Industrial,,1979.0,0.6,69084NAb3NANA,b3,False,False,IL,95051,760.0
1366584,-121.987070334,37.3600373217,S,18.0,90744.0,Santa Clara,0.0,4.0,Santa Clara,80108.3111943,Residential,,1967.0,,69084NANANANA,,False,True,HM,95051,760.0
1368803,-121.960618971,37.3691950843,MH,26.136,11740.0,Santa Clara,11740.0,0.0,Santa Clara,19462.9224692,Industrial,,1978.0,0.6,69084NAb3NANA,b3,False,False,IL,95050,680.0
