parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1928901,-122.693755985,38.4176249874,S,,0.0,Santa Rosa,0.0,0.0,Sonoma,275564.580239,Vacant,,,,70098NANANANA,,False,False,,95404,373.0
1890614,-122.684477838,38.448828088,S,18.0,0.0,Santa Rosa,0.0,0.0,Sonoma,273413.040036,Vacant,,,0.75,70098NAb2NANA,b2,True,True,,95405,341.0
1887803,-122.737742916,38.4386516355,S,8.0,21983.0,Santa Rosa,0.0,19.0,Sonoma,68402.1218927,Residential,,1974.0,0.75,70098NAb3NANA,b3,True,True,HM,95401,325.0
1887866,-122.738314524,38.4405165545,S,8.0,26611.0,Santa Rosa,0.0,23.0,Sonoma,78418.7991138,Residential,,1974.0,0.75,70098NAb3NANA,b3,True,True,HM,95401,325.0
2037781,-122.699626987,38.4829571524,M,2.0,0.0,Santa Rosa,0.0,0.0,Sonoma,19725.954543,Vacant,,,0.75,70098NANANANA,,True,True,,95404,373.0
1923541,-122.693065844,38.4269894079,S,8.0,0.0,Santa Rosa,0.0,0.0,Sonoma,99807.828724,Office,,1974.0,0.75,70098NANANANA,,True,True,OF,95404,373.0
1923316,-122.68845771,38.424934224,S,2.0,0.0,Santa Rosa,0.0,0.0,Sonoma,24486.7792868,Vacant,,,0.75,70098NANANANA,,True,True,,95404,373.0
1888481,-122.744993955,38.4286225584,M,18.0,0.0,Santa Rosa,0.0,0.0,Sonoma,157112.740233,Vacant,sro3,,0.75,70098SRO3b3NANA,b3,True,True,,95407,324.0
2013997,-122.67567233,38.43077463,MH,18.0,0.0,Santa Rosa,0.0,0.0,Sonoma,266.972341358,Vacant,,,0.75,70098NANANANA,,True,True,,95405,341.0
1909275,-122.602243436,38.437292346,MH,,1200.0,Santa Rosa,1200.0,0.0,Sonoma,192626.631268,Office,,1977.0,,70098NANANANA,,False,False,OF,95409,360.0
1897300,-122.578906819,38.4280444229,MH,8.0,0.0,Santa Rosa,0.0,0.0,Sonoma,251569.85906,Vacant,,,0.75,70098NANANANA,,True,True,,95409,360.0
1884364,-122.701710262,38.4458543791,S,8.0,1308.0,Santa Rosa,0.0,2.0,Sonoma,6750.5128651,Residential,,1924.0,0.75,70098NAb3NANA,b3,True,True,HM,95404,373.0
2039134,-122.727839393,38.5005363375,M,2.0,0.0,Santa Rosa,0.0,0.0,Sonoma,2708409.67661,Vacant,,,0.75,70098NANANANA,,True,True,,95403,311.0
2015954,-122.731449562,38.4652172865,S,18.0,117836.0,Santa Rosa,0.0,89.0,Sonoma,138551.907359,Residential,,1982.0,0.75,70098NAb2NANA,b2,True,True,HM,95403,311.0
2044502,-122.697810354,38.4639346323,S,2.0,0.0,Santa Rosa,0.0,0.0,Sonoma,1005.99960571,Vacant,,,0.75,70098NANANANA,,True,True,,95404,373.0
2012849,-122.741568306,38.4398273714,S,8.0,0.0,Santa Rosa,0.0,0.0,Sonoma,346992.118595,Vacant,,,0.75,70098NAb3NANA,b3,True,True,,95401,325.0
1922755,-122.72022199,38.4308743528,S,13.0,0.0,Santa Rosa,0.0,0.0,Sonoma,1262.44806333,Vacant,sro3,,0.75,70098SRO3b2NANA,b2,True,True,,95407,324.0
1922831,-122.720658593,38.4293999116,S,13.0,0.0,Santa Rosa,0.0,0.0,Sonoma,1264.24848696,Vacant,sro3,,0.75,70098SRO3b2NANA,b2,True,True,,95407,324.0
1922758,-122.720468587,38.4308051573,S,13.0,0.0,Santa Rosa,0.0,0.0,Sonoma,1262.23661872,Vacant,sro3,,0.75,70098SRO3b2NANA,b2,True,True,,95407,324.0
1892177,-122.6599351,38.4398023619,MH,8.0,0.0,Santa Rosa,0.0,0.0,Sonoma,3937.38718246,Vacant,,,0.75,70098NANANANA,,True,True,,95405,341.0
2037509,-122.697158783,38.4757411809,M,2.0,6913.0,Santa Rosa,0.0,1.0,Sonoma,173430.882859,Residential,,1989.0,0.75,70098NANANANA,,True,True,HS,95404,373.0
1884108,-122.710425531,38.442809562,S,65.34,0.0,Santa Rosa,0.0,0.0,Sonoma,5341.25082308,Vacant,,,1.5,70098NAb1NANA,b1,True,True,,95404,373.0
1926859,-122.728811866,38.4108244302,M,18.0,0.0,Santa Rosa,0.0,0.0,Sonoma,1395.86019592,Vacant,sro5,,1.0,70098SRO5NANANA,,True,False,,95407,324.0
1890553,-122.662828603,38.4507873311,S,2.0,0.0,Santa Rosa,0.0,0.0,Sonoma,19132.9501662,Vacant,,,0.75,70098NANANANA,,True,True,,95405,341.0
1987830,-122.691345806,38.4267752432,S,8.0,4965.60060943,Santa Rosa,0.0,3.0,Sonoma,785694.173092,Residential,,1967.0,0.75,70098NANANANA,,True,True,HM,95404,373.0
2015900,-122.730973715,38.4651508196,S,18.0,0.0,Santa Rosa,0.0,0.0,Sonoma,150622.00368,Vacant,,,0.75,70098NAb2NANA,b2,True,True,,95403,311.0
1922524,-122.714715144,38.4208866874,S,65.34,0.0,Santa Rosa,0.0,0.0,Sonoma,13010.8890175,Vacant,sro2,,1.5,70098SRO2b3NANA,b3,True,True,,95407,324.0
1914237,-122.771654017,38.4249182676,M,65.34,0.0,Santa Rosa,0.0,0.0,Sonoma,35737.2082323,Vacant,sro3,,1.5,70098SRO3NAexp1_npNA,,True,True,,95407,324.0
1926835,-122.727846509,38.4102344923,M,18.0,0.0,Santa Rosa,0.0,0.0,Sonoma,1355.63431995,Vacant,sro5,,1.0,70098SRO5NANANA,,True,False,,95407,324.0
1937187,-122.669930714,38.4225073212,MH,8.0,4224.0,Santa Rosa,0.0,2.0,Sonoma,8059.18389122,Residential,,1981.0,0.75,70098NANANANA,,True,True,HS,95405,341.0
1996213,-122.742724184,38.4084975113,M,13.0,0.0,Santa Rosa,0.0,0.0,Sonoma,214075.940401,Vacant,,,0.75,70098NANANANA,,True,True,,95407,324.0
2045960,-122.679532146,38.462092589,M,8.0,3018.0,Santa Rosa,0.0,2.0,Sonoma,6787.3664244,Residential,,1973.0,0.75,70098NANANANA,,True,True,HS,95404,373.0
1919212,-122.766938363,38.4450620143,S,8.0,3368.0,Santa Rosa,0.0,2.0,Sonoma,8000.29895782,Residential,,1977.0,0.75,70098NANANANA,,True,True,HS,95401,325.0
1919226,-122.766240157,38.4446443002,S,8.0,1902.0,Santa Rosa,0.0,2.0,Sonoma,4019.35312805,Residential,,1977.0,0.75,70098NANANANA,,True,True,HS,95401,325.0
2041547,-122.716023388,38.452889027,S,18.0,2288.0,Santa Rosa,0.0,2.0,Sonoma,6530.35817323,Residential,sro2,1984.0,0.75,70098SRO2b1NANA,b1,True,True,HS,95404,373.0
1885861,-122.720078358,38.4443857776,S,18.0,2912.0,Santa Rosa,0.0,4.0,Sonoma,6330.72637554,Residential,sro1,1949.0,0.75,70098SRO1b1NANA,b1,True,True,HM,95401,325.0
1935930,-122.680126092,38.4318442104,MH,8.0,3310.40040629,Santa Rosa,0.0,2.0,Sonoma,24767.4894588,Residential,,1977.0,0.75,70098NANANANA,,True,True,HS,95404,373.0
