parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1483440,-122.004925376,37.2812503009,M,26.136,0.0,Saratoga,0.0,0.0,Santa Clara,17596.1850573,Parking,,1955.0,0.6,70280NANANANA,,True,False,PA2,95070,938.0
1487514,-122.019581377,37.2507091734,M,1.0,4668.0,Saratoga,0.0,1.0,Santa Clara,71632.3004826,Residential,,1991.0,0.7,70280NANANANA,,False,True,HS,95070,938.0
1487518,-122.01642769,37.2498974401,M,1.0,1852.0,Saratoga,0.0,1.0,Santa Clara,47582.1969739,Residential,,1959.0,0.7,70280NANANANA,,False,True,HS,95070,938.0
1581472,-122.055601996,37.2680480591,M,0.5,3184.0,Saratoga,0.0,1.0,Santa Clara,49413.5501944,Residential,,1980.0,0.5,70280NANANANA,,False,True,HS,95070,938.0
1581788,-122.040641809,37.2680345732,M,1.0,3154.0,Saratoga,0.0,1.0,Santa Clara,62321.4441242,Residential,,1976.0,0.7,70280NANANANA,,False,True,HS,95070,938.0
1585822,-122.03032799,37.2524503908,MH,3.5,7697.0,Saratoga,0.0,1.0,Santa Clara,50139.7375353,Residential,,1973.0,1.2,70280NANANANA,,False,True,HS,95070,938.0
1486213,-122.018960814,37.2700438487,M,3.5,0.0,Saratoga,0.0,0.0,Santa Clara,7038.28964269,Vacant,,,1.2,70280NAb3NANA,b3,False,True,,95070,938.0
1481144,-121.995683219,37.2916782763,M,,8533.0,Saratoga,8533.0,0.0,Santa Clara,41214.9081876,Retail,,1951.0,,70280NAb2NANA,b2,False,False,RS,95129,891.0
1485772,-122.014511474,37.2737418857,M,3.5,0.0,Saratoga,0.0,0.0,Santa Clara,5889.37192397,Vacant,,,1.2,70280NAb3NANA,b3,False,True,,95070,938.0
1466442,-122.046896818,37.2843717614,M,0.5,4575.0,Saratoga,0.0,1.0,Santa Clara,68397.0921257,Residential,,1992.0,0.5,70280NANANANA,,False,True,HS,95070,938.0
1484954,-122.030049931,37.2825803608,M,3.5,4724.0,Saratoga,0.0,2.0,Santa Clara,13740.4964555,Residential,,1962.0,1.2,70280NANANANA,,False,True,HS,95070,938.0
1488265,-121.993338709,37.265763351,M,3.5,2718.0,Saratoga,0.0,2.0,Santa Clara,10398.9492576,Residential,,1955.0,1.2,70280NAb3NANA,b3,False,True,HS,95070,938.0
1582829,-122.043950912,37.2544119526,M,1.0,3593.0,Saratoga,0.0,1.0,Santa Clara,47363.1254727,Residential,,1977.0,0.7,70280NANANANA,,False,True,HS,95070,938.0
1583129,-122.040311421,37.2560069396,M,15.0,2243.0,Saratoga,0.0,2.0,Santa Clara,1301.40312679,Residential,,1980.0,0.8,70280NANANANA,,False,True,HM,95070,938.0
1480750,-122.030950985,37.2936833192,M,,2425.0,Saratoga,2425.0,0.0,Santa Clara,16754.7500606,Office,,1954.0,,70280NANANANA,,False,False,OF,95070,938.0
1466334,-122.033807028,37.2905802127,M,,0.0,Saratoga,0.0,0.0,Santa Clara,1376.28626705,Residential,,1979.0,,70280NANANANA,,False,False,HM,95070,938.0
1483545,-122.008580728,37.2785383117,M,15.0,0.0,Saratoga,0.0,0.0,Santa Clara,1120.16888068,Residential,,1971.0,0.8,70280NANANANA,,False,True,HM,95070,938.0
1483080,-122.031074376,37.2929987574,M,,0.0,Saratoga,0.0,0.0,Santa Clara,1351.11949915,Residential,,1979.0,,70280NANANANA,,False,False,HM,95070,938.0
1483298,-121.999328814,37.2834998999,M,15.0,1988.0,Saratoga,0.0,2.0,Santa Clara,2869.3718811,Residential,,1989.0,0.8,70280NAb3NANA,b3,False,True,HS,95070,938.0
1487601,-122.021400028,37.2522732848,M,1.0,0.0,Saratoga,0.0,0.0,Santa Clara,222.264099218,Vacant,,,0.7,70280NANANANA,,False,True,,95070,938.0
1487602,-122.021456608,37.2519168574,M,,0.0,Saratoga,0.0,0.0,Santa Clara,181.51591182,Vacant,,,,70280NANANANA,,False,False,,95070,938.0
1483110,-122.030789923,37.2927112424,M,,2010.0,Saratoga,0.0,2.0,Santa Clara,1744.00768359,Residential,,1980.0,,70280NANANANA,,False,False,HM,95070,938.0
1488046,-122.030840326,37.2601328383,M,15.0,5716.0,Saratoga,0.0,4.0,Santa Clara,2900.44050445,Residential,,1974.0,0.8,70280NANANANA,,False,True,HM,95070,938.0
1484398,-122.004904135,37.2704900125,M,3.5,0.0,Saratoga,0.0,0.0,Santa Clara,12828.9824384,Vacant,,,1.2,70280NANANANA,,False,True,,95070,938.0
1582965,-122.048518387,37.2571328004,M,0.5,2891.0,Saratoga,0.0,1.0,Santa Clara,66632.485873,Residential,,1979.0,0.5,70280NANANANA,,False,True,HS,95070,938.0
1466260,-122.049724448,37.2858955366,M,,3399.0,Saratoga,0.0,1.0,Santa Clara,62245.246675,Residential,,1979.0,,70280NANANANA,,False,False,HS,95070,938.0
1484054,-122.00691536,37.2754634766,M,3.5,1908.0,Saratoga,0.0,1.0,Santa Clara,54367.6780403,Residential,,1978.0,1.2,70280NANANANA,,False,True,HS,95070,938.0
1484469,-122.002479324,37.2678179699,M,2.2,10078.0,Saratoga,0.0,2.0,Santa Clara,23089.596265,Residential,,1966.0,0.9,70280NANANANA,,False,True,HS,95070,938.0
1484694,-122.007107131,37.2729907355,M,3.5,2200.0,Saratoga,0.0,2.0,Santa Clara,8009.29917644,Residential,,1956.0,1.2,70280NANANANA,,False,True,HS,95070,938.0
1484886,-122.005167379,37.2782822308,M,14.5,0.0,Saratoga,0.0,0.0,Santa Clara,5113.02528245,Industrial,,1955.0,0.8,70280NANANANA,,True,True,IL,95070,938.0
1486557,-122.020069881,37.2681941441,M,2.2,3014.0,Saratoga,0.0,1.0,Santa Clara,55924.2952613,Residential,,1933.0,0.9,70280NAb3NANA,b3,False,True,HS,95070,938.0
1487600,-122.021325016,37.2526698873,M,1.0,0.0,Saratoga,0.0,0.0,Santa Clara,919.009796485,Vacant,,,0.7,70280NANANANA,,False,True,,95070,938.0
