parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
788194,-122.483989741,37.8583566194,MH,,0.0,Sausalito,0.0,0.0,Marin,3579.8276837,Vacant,,,,70364NANANANA,,False,False,,94965,809.0
788606,-122.478642562,37.8545954382,MH,,0.0,Sausalito,0.0,0.0,Marin,6417.23736311,Vacant,,,,70364NANANANA,,False,False,,94965,809.0
788518,-122.483351805,37.8548506973,MH,7.3,4058.84850085,Sausalito,0.0,2.0,Marin,3320.07217,Residential,,1968.0,0.45,70364NANANANA,,False,True,HM,94965,809.0
786781,-122.496243376,37.8622071193,MH,17.4,13160.0,Sausalito,0.0,5.0,Marin,6203.85881004,Residential,,1920.0,0.65,70364NANANANA,,False,True,HM,94965,809.0
786935,-122.492063085,37.8610300752,MH,29.0,8117.6970017,Sausalito,0.0,4.0,Marin,6759.68734507,Residential,,1968.0,0.8,70364NANANANA,,False,True,HM,94965,809.0
788564,-122.479773495,37.8549945861,MH,29.0,2795.0,Sausalito,2795.0,0.0,Marin,3927.01282875,Office,,1948.0,1.3,70364NANANANA,,True,False,OF,94965,809.0
789515,-122.480203974,37.8484551862,MH,29.0,6088.27275127,Sausalito,0.0,3.0,Marin,4916.0444772,Residential,,1913.0,0.8,70364NAb2NANA,b2,False,True,HM,94965,809.0
787016,-122.487855872,37.8596781945,MH,29.0,10560.0,Sausalito,10560.0,0.0,Marin,12054.0232168,Industrial,,1946.0,1.0,70364NANANANA,,False,False,IW,94965,809.0
788745,-122.481994689,37.8527007294,MH,7.3,9357.0,Sausalito,0.0,3.0,Marin,5939.7202865,Residential,,1911.0,0.45,70364NAb3NANA,b3,False,True,HM,94965,809.0
789097,-122.485371983,37.850322773,MH,7.3,4622.0,Sausalito,0.0,2.0,Marin,2547.03846186,Residential,,1964.0,0.45,70364NAb2NANA,b2,False,True,HM,94965,809.0
789480,-122.482296244,37.8478252356,MH,17.4,2400.0,Sausalito,0.0,2.0,Marin,4437.47712108,Residential,,1965.0,0.65,70364NAb2NANA,b2,False,True,HM,94965,809.0
788259,-122.481003879,37.8563787764,MH,29.0,6088.27275127,Sausalito,0.0,3.0,Marin,2905.53656475,Residential,,1968.0,0.8,70364NANANANA,,False,True,HM,94965,809.0
789370,-122.483941541,37.8481569789,MH,17.4,4058.84850085,Sausalito,0.0,2.0,Marin,2114.25315036,Residential,,1968.0,0.65,70364NAb2NANA,b2,False,True,HM,94965,809.0
789375,-122.484647457,37.848052987,MH,17.4,3104.0,Sausalito,0.0,2.0,Marin,6282.2939313,Residential,,1910.0,0.65,70364NAb2NANA,b2,False,True,HM,94965,809.0
786608,-122.497995296,37.8675198253,MH,13.068,1200.0,Sausalito,1200.0,0.0,Marin,6541.24513396,Office,,1953.0,0.3,70364NANANANA,,False,False,OF,94965,809.0
