parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1871639,-122.823430601,38.4018112225,M,44.0,0.0,Sebastopol,0.0,0.0,Sonoma,2334.52360557,Vacant,seb1,,2.0,70770SEB1NANANA,,True,True,,95472,468.0
1871634,-122.823100275,38.4027961422,M,44.0,3270.0,Sebastopol,3270.0,0.0,Sonoma,3999.0297065,Retail,seb1,1920.0,2.0,70770SEB1NANANA,,True,True,RS,95472,468.0
1871585,-122.824535842,38.4039998516,M,44.0,1651.0,Sebastopol,0.0,2.0,Sonoma,8425.42771883,Residential,seb1,1916.0,2.0,70770SEB1NANANA,,True,True,HS,95472,468.0
1871473,-122.818611034,38.405358496,M,23.958,0.0,Sebastopol,0.0,0.0,Sonoma,14206.5488148,Vacant,seb1,,0.55,70770SEB1NANANA,,False,False,,95472,468.0
1871569,-122.821302024,38.4051903362,M,22.0,0.0,Sebastopol,0.0,0.0,Sonoma,1341.46020678,Vacant,seb1,,,70770SEB1NANANA,,False,True,,95472,468.0
1871583,-122.825434041,38.4048394919,M,44.0,6960.0,Sebastopol,6960.0,0.0,Sonoma,18174.5964429,Office,seb1,1969.0,2.0,70770SEB1NANANA,,True,True,OF,95472,468.0
1871576,-122.824181118,38.4053287909,M,22.0,5568.0,Sebastopol,0.0,3.0,Sonoma,5169.16638208,Residential,seb1,1952.0,,70770SEB1NANANA,,False,True,HS,95472,468.0
1872483,-122.825893415,38.4027276502,M,44.0,0.0,Sebastopol,0.0,0.0,Sonoma,8188.92989996,Office,seb1,1967.0,2.0,70770SEB1NANANA,,True,True,OF,95472,468.0
1872777,-122.831778609,38.4050640724,M,43.56,1991.0,Sebastopol,1991.0,0.0,Sonoma,9302.20126786,Office,seb1,1971.0,1.0,70770SEB1NANANA,,True,False,OF,95472,468.0
1872901,-122.817289447,38.391169488,MH,43.56,6019.0,Sebastopol,6019.0,0.0,Sonoma,18885.9010773,Retail,seb1,1950.0,1.0,70770SEB1NANANA,,True,False,RS,95472,468.0
1872915,-122.839162274,38.4035000255,M,22.0,7589.0,Sebastopol,7589.0,0.0,Sonoma,283917.920567,Office,seb1,1971.0,,70770SEB1NANANA,,False,True,OF,95472,468.0
1873065,-122.81527384,38.3905972092,MH,43.56,0.0,Sebastopol,0.0,0.0,Sonoma,42270.6338275,Office,seb1,1962.0,1.0,70770SEB1NANANA,,True,False,OF,95472,468.0
1873775,-122.842194935,38.3983414684,M,43.56,15144.0,Sebastopol,15144.0,0.0,Sonoma,39596.1882654,Residential,,1948.0,1.0,70770NANANANA,,True,False,HM,95472,468.0
1873934,-122.817896241,38.3908547336,MH,6.0,0.0,Sebastopol,0.0,0.0,Sonoma,35987.1997095,Vacant,seb1,,,70770SEB1NANANA,,False,True,,95472,468.0
1948389,-122.816592274,38.4036394826,M,,0.0,Sebastopol,0.0,0.0,Sonoma,6432.74323659,Vacant,,,,70770NANANANA,,False,False,,95472,468.0
1872274,-122.823214697,38.3995509245,M,43.56,2140.0,Sebastopol,2140.0,0.0,Sonoma,8714.77625775,Office,seb1,1967.0,1.0,70770SEB1NANANA,,True,False,OF,95472,468.0
