parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1797535,-121.712472897,38.4017431838,MH,0.025,0.0,Solano County,0.0,0.0,Solano,16299.25726,Vacant,,,,00095NANAexpmaxNA,,False,True,,95620,220.0
1793337,-122.118506201,38.4297725037,VH,0.00625,0.0,Solano County,0.0,0.0,Solano,3659675.24903,Vacant,,,,00095NANANANA,,False,True,,95688,242.0
1793889,-121.939568371,38.5246528521,MH,0.025,0.0,Solano County,0.0,0.0,Solano,306.805036495,Vacant,,,,00095NANAexp3_auNA,,False,True,,95694,242.0
1738187,-121.989415103,38.2613810822,S,101.64,1234.0,Solano County,0.0,1.0,Solano,107125.721622,Residential,,1966.0,2.33333333333,00095NANAexp1NA,,False,True,HS,94533,203.0
1797567,-121.849781441,38.4529508935,M,,0.0,Solano County,0.0,0.0,Solano,525.663799092,Vacant,,,,00095NANAexp0NA,,False,False,,95620,220.0
1795221,-121.959138208,38.4284719171,M,0.4,1008.0,Solano County,0.0,1.0,Solano,54406.6120689,Residential,,1968.0,,00095NANAexp1NA,,False,True,HS,95688,242.0
1726129,-122.150447048,38.2420151923,MH,0.4,2740.0,Solano County,0.0,1.0,Solano,111144.168107,Residential,,1975.0,,00095NANANANA,,False,True,HS,94534,231.0
1831766,-121.895844316,38.365226024,MH,0.025,0.0,Solano County,0.0,0.0,Solano,16907.2110978,Vacant,,,,00095NANAexp3_auNA,,False,True,,95620,220.0
1832033,-121.836033177,38.3304538221,MH,0.025,0.0,Solano County,0.0,0.0,Solano,1312934.44461,Vacant,,,,00095NANAexp3_auNA,,False,True,,95620,220.0
1832501,-122.173224963,38.2551338965,MH,4.0,2084.0,Solano County,0.0,1.0,Solano,48420.0611844,Residential,,1977.0,,00095NANANANA,,False,True,HS,94534,231.0
1831707,-121.884901276,38.3755440673,MH,0.025,0.0,Solano County,0.0,0.0,Solano,2075027.91384,Vacant,,,,00095NANAexp3_auNA,,False,True,,95620,220.0
1726194,-122.109040313,38.2711027595,M,0.025,0.0,Solano County,0.0,0.0,Solano,304568.546582,Parking,,1990.0,,00095NANAexp3_auNA,,False,True,PA2,94534,231.0
1726401,-122.114304486,38.2414701981,M,4.0,4500.0,Solano County,0.0,2.0,Solano,14640.7807828,Residential,,1978.0,,00095NANAexp1NA,,False,True,HS,94534,231.0
1738163,-121.999572695,38.2604531108,S,0.4,43992.0,Solano County,0.0,26.0,Solano,209282.972736,Residential,,1928.0,,00095NANAexp1NA,,False,True,HM,94533,203.0
1738146,-121.993737967,38.2643244251,S,0.4,1664.0,Solano County,0.0,1.0,Solano,95600.8062363,Residential,,1975.0,,00095NANAexp1NA,,False,True,HS,94533,203.0
1796062,-121.877137979,38.4538995426,MH,0.025,0.0,Solano County,0.0,0.0,Solano,210865.917831,Vacant,,,,00095NANAexp1NA,,False,True,,95620,220.0
1788462,-121.792247893,38.1360112652,H,0.00625,0.0,Solano County,0.0,0.0,Solano,6792150.56101,Vacant,,,,00095NANAexp3_auNA,,False,True,,94512,0.0
