parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1902041,-122.473716264,38.288891562,MH,5.0,0.0,Sonoma,0.0,0.0,Sonoma,134684.284235,Vacant,,,0.35,72646NANANANA,,False,True,,95476,465.0
1902421,-122.476128027,38.2921442829,MH,11.0,0.0,Sonoma,0.0,0.0,Sonoma,23571.926168,Vacant,,,0.5,72646NANANANA,,False,True,,95476,465.0
1905457,-122.448426713,38.2841185301,MH,5.0,4716.0,Sonoma,0.0,3.0,Sonoma,7443.62599296,Residential,,1971.0,0.35,72646NANANANA,,False,True,HS,95476,465.0
1973202,-122.454675984,38.2985243423,M,11.0,2292.0,Sonoma,0.0,2.0,Sonoma,1015.56292288,Residential,,1975.0,0.5,72646NANANANA,,False,True,HM,95476,465.0
1900778,-122.456224945,38.2915038362,MH,20.0,1780.0,Sonoma,1780.0,0.0,Sonoma,4153.4529095,Retail,,1908.0,2.0,72646NANANANA,,True,True,RS,95476,465.0
1900184,-122.448069838,38.2948190906,M,5.0,3010.0,Sonoma,0.0,2.0,Sonoma,5868.86270701,Residential,,1964.0,0.35,72646NANANANA,,False,True,HS,95476,465.0
1900458,-122.449221964,38.293405049,M,,0.0,Sonoma,0.0,0.0,Sonoma,2701.25164251,Vacant,,,,72646NANANANA,,False,False,,95476,465.0
1900703,-122.450354241,38.2918530786,M,5.0,4868.0,Sonoma,0.0,2.0,Sonoma,5510.0134571,Residential,,1974.0,0.35,72646NANANANA,,False,True,HS,95476,465.0
1900705,-122.451276155,38.2926811477,M,5.0,2016.0,Sonoma,0.0,2.0,Sonoma,5870.56272793,Residential,,1953.0,0.35,72646NANANANA,,False,True,HS,95476,465.0
1901018,-122.456679904,38.2883694632,MH,5.0,3116.0,Sonoma,0.0,2.0,Sonoma,8520.636904,Residential,,1970.0,0.35,72646NANANANA,,False,True,HS,95476,465.0
1901157,-122.463562845,38.2877341005,MH,11.0,2116.0,Sonoma,0.0,2.0,Sonoma,7739.94046579,Residential,,1955.0,0.5,72646NANANANA,,False,True,HS,95476,465.0
1901178,-122.459934158,38.2882611554,MH,11.0,5600.0,Sonoma,5600.0,0.0,Sonoma,17187.6257296,Office,,1973.0,0.5,72646NANANANA,,False,True,OF,95476,465.0
1901333,-122.453082131,38.2846463154,MH,5.0,4196.0,Sonoma,0.0,2.0,Sonoma,8483.23241274,Residential,,1993.0,0.35,72646NANANANA,,False,True,HS,95476,465.0
1901367,-122.452676381,38.2865558944,MH,5.0,3176.0,Sonoma,0.0,2.0,Sonoma,10322.8024224,Residential,,1954.0,0.35,72646NANANANA,,False,True,HS,95476,465.0
1901464,-122.450870193,38.2849131333,MH,5.0,3850.0,Sonoma,0.0,2.0,Sonoma,9829.26747792,Residential,,1958.0,0.35,72646NANANANA,,False,True,HS,95476,465.0
1901557,-122.460318481,38.2850293583,MH,11.0,2740.0,Sonoma,0.0,2.0,Sonoma,4553.3631509,Residential,,1945.0,0.5,72646NANANANA,,False,True,HS,95476,465.0
1901997,-122.452566568,38.2944858114,M,11.0,0.0,Sonoma,0.0,0.0,Sonoma,6631.91786164,Vacant,,,0.5,72646NANANANA,,False,True,,95476,465.0
1902353,-122.456140318,38.2903154134,MH,11.0,4088.0,Sonoma,0.0,2.0,Sonoma,2865.45634062,Residential,,1985.0,0.5,72646NANANANA,,False,True,HS,95476,465.0
1902452,-122.456303455,38.2926920848,M,20.0,19135.0,Sonoma,19135.0,0.0,Sonoma,1915.84668039,Retail,,1939.0,2.0,72646NANANANA,,True,True,RS,95476,465.0
1905548,-122.444780853,38.2849964723,MH,5.0,3862.0,Sonoma,0.0,2.0,Sonoma,12315.3689604,Residential,,1974.0,0.35,72646NANANANA,,False,True,HS,95476,465.0
1905606,-122.455530434,38.2787453381,MH,5.0,3456.0,Sonoma,0.0,2.0,Sonoma,6528.3893192,Residential,,1979.0,0.35,72646NANANANA,,False,True,HS,95476,465.0
1990832,-122.470993291,38.2964921725,M,5.0,2944.0,Sonoma,0.0,2.0,Sonoma,7176.36641343,Residential,,1971.0,0.35,72646NANANANA,,False,True,HS,95476,465.0
1991773,-122.459875187,38.2845011661,MH,20.0,2491.0,Sonoma,2491.0,0.0,Sonoma,9024.3163376,Office,,1985.0,1.2,72646NANANANA,,False,True,OF,95476,465.0
1990333,-122.469521598,38.29333098,M,20.0,3115.0,Sonoma,3115.0,0.0,Sonoma,13901.3093465,Retail,,1959.0,2.0,72646NANANANA,,True,True,RS,95476,465.0
1992020,-122.462478317,38.2808015184,MH,5.0,3260.0,Sonoma,0.0,2.0,Sonoma,7913.92262307,Residential,,1991.0,0.35,72646NANANANA,,False,True,HS,95476,465.0
1901204,-122.459468705,38.2869197942,MH,20.0,2864.0,Sonoma,0.0,2.0,Sonoma,6578.40590503,Residential,,1979.0,1.2,72646NANANANA,,False,True,HM,95476,465.0
1902493,-122.457630807,38.2913547725,MH,20.0,1095.0,Sonoma,1095.0,0.0,Sonoma,1019.40479741,Office,,1938.0,2.0,72646NANANANA,,True,True,OF,95476,465.0
1900910,-122.465566484,38.2891563922,MH,10.89,0.0,Sonoma,0.0,0.0,Sonoma,768.993400075,Office,,1967.0,0.25,72646NANANANA,,False,False,OF,95476,465.0
1900889,-122.449350047,38.289494033,MH,5.0,996.0,Sonoma,0.0,2.0,Sonoma,8564.41628339,Residential,,1950.0,0.35,72646NANANANA,,False,True,HM,95476,465.0
