parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1058262,-122.402218497,37.6660449134,M,8.0,0.0,South San Francisco,0.0,0.0,San Mateo,90553.326777,Vacant,,,0.5,73262NAb2NANA,b2,False,True,,94080,607.0
1067329,-122.454683424,37.663570769,S,8.0,6315.0,South San Francisco,6315.0,0.0,San Mateo,479254.366426,Residential,,1984.0,0.5,73262NAbrt2NANA,brt2,False,True,HM,94080,607.0
1079842,-122.391974199,37.6514283961,S,43.56,0.0,South San Francisco,0.0,0.0,San Mateo,2482.21915784,Vacant,,,1.0,73262NANANANA,,False,False,,94080,607.0
1071663,-122.434292097,37.6646442813,S,8.0,1740.0,South San Francisco,0.0,2.0,San Mateo,5059.27305877,Residential,,1955.0,0.5,73262NAb1NANA,b1,False,True,HS,94080,607.0
1075557,-122.410782015,37.6556529678,S,50.0,2225.0,South San Francisco,2225.0,0.0,San Mateo,3837.52664396,Retail,ssf1,1944.0,3.0,73262SSF1cr3NANA,cr3,True,True,RS,94080,607.0
1225205,-122.458535044,37.6493928121,M,18.0,3890.74019347,South San Francisco,0.0,2.0,San Mateo,2348.34946396,Residential,,1985.0,1.0,73262NANANANA,,False,True,HS,94080,607.0
1080266,-122.39706117,37.6511570633,S,26.136,0.0,South San Francisco,0.0,0.0,San Mateo,9562.54849198,Industrial,,1973.0,0.6,73262NANANANA,,False,False,IW,94080,607.0
1068932,-122.450864047,37.6565580932,S,21.78,15562.9607739,South San Francisco,0.0,8.0,San Mateo,5015.37268248,Residential,,1960.0,0.5,73262NANANANA,,True,False,HM,94080,607.0
1071679,-122.434154928,37.6638812039,S,8.0,3000.0,South San Francisco,0.0,3.0,San Mateo,4791.90665799,Residential,,1955.0,0.5,73262NAbrt2NANA,brt2,False,True,HS,94080,607.0
1224876,-122.466143487,37.6484182107,M,18.0,3470.0,South San Francisco,0.0,2.0,San Mateo,2414.45834554,Residential,,1977.0,1.0,73262NAb3NANA,b3,False,True,HS,94080,607.0
1057898,-122.420624155,37.6707868429,M,8.0,0.0,South San Francisco,0.0,0.0,San Mateo,4034.50179241,Vacant,,,0.5,73262NANANANA,,False,True,,94080,607.0
1057902,-122.421285722,37.6708271794,M,8.0,0.0,South San Francisco,0.0,0.0,San Mateo,3435.52606614,Vacant,,,0.5,73262NANANANA,,False,True,,94080,607.0
1079864,-122.394278261,37.6587425699,S,43.56,29760.0,South San Francisco,29760.0,0.0,San Mateo,44938.9242438,Industrial,,1978.0,1.0,73262NANANANA,,False,False,IW,94080,607.0
