parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
859479,-122.445619164,38.5157809739,M,0.2,0.0,St. Helena,0.0,0.0,Napa,106251.637391,Vacant,,,2.33333333333,64140NANANANA,,False,True,,94574,639.0
851435,-122.461409111,38.5059825907,M,28.0,2312.0,St. Helena,0.0,2.0,Napa,993.341479285,Residential,,1979.0,2.33333333333,64140NANANANA,,False,True,HM,94574,639.0
851433,-122.461481143,38.5060379247,M,28.0,2312.0,St. Helena,0.0,2.0,Napa,1001.76768103,Residential,,1979.0,2.33333333333,64140NANANANA,,False,True,HM,94574,639.0
850865,-122.47202117,38.4986480723,M,16.0,3882.0,St. Helena,0.0,2.0,Napa,10893.1603237,Residential,,1989.0,2.0,64140NANANANA,,False,True,HS,94574,639.0
850478,-122.472920341,38.5045357744,M,16.0,6870.0,St. Helena,0.0,3.0,Napa,6354.88727016,Residential,,1956.0,2.0,64140NANANANA,,False,True,HS,94574,639.0
851818,-122.46052974,38.4986197904,M,21.78,0.0,St. Helena,0.0,0.0,Napa,87663.3095271,Parking,,1947.0,0.5,64140NANANANA,,True,False,PA2,94574,639.0
849849,-122.481935119,38.5185545043,M,0.2,0.0,St. Helena,0.0,0.0,Napa,97229.6138831,Vacant,,,2.0,64140NANANANA,,False,True,,94574,639.0
849986,-122.459693849,38.5009438585,M,21.78,0.0,St. Helena,0.0,0.0,Napa,60538.9471069,Vacant,,,0.5,64140NANANANA,,True,False,,94574,639.0
850686,-122.477396671,38.5018628391,M,16.0,5406.0,St. Helena,0.0,2.0,Napa,20771.1314715,Residential,,1951.0,2.0,64140NANANANA,,False,True,HS,94574,639.0
851579,-122.473898339,38.5154760059,M,0.2,0.0,St. Helena,0.0,0.0,Napa,13445.895677,Parking,,1947.0,2.0,64140NANANANA,,False,True,PA2,94574,639.0
850580,-122.467666887,38.5013846902,M,28.0,5310.58115942,St. Helena,0.0,3.0,Napa,8848.66915534,Residential,,1969.0,2.33333333333,64140NANANANA,,False,True,HS,94574,639.0
850600,-122.472660503,38.503672519,M,16.0,572.0,St. Helena,572.0,0.0,Napa,13293.084777,Residential,,1947.0,2.0,64140NANANANA,,False,True,HS,94574,639.0
850609,-122.47396013,38.5031350566,M,16.0,0.0,St. Helena,0.0,0.0,Napa,7603.87742513,Residential,,1947.0,2.0,64140NANANANA,,False,True,HS,94574,639.0
849865,-122.473281118,38.5184227778,M,0.2,3598.0,St. Helena,0.0,1.0,Napa,270521.939821,Residential,,1988.0,2.0,64140NANANANA,,False,True,HS,94574,639.0
850151,-122.446654448,38.5045869154,M,0.2,0.0,St. Helena,0.0,0.0,Napa,1849945.80413,Industrial,,1947.0,2.0,64140NANANANA,,False,True,IL,94574,639.0
850182,-122.476768146,38.5093268507,M,16.0,4572.0,St. Helena,0.0,2.0,Napa,7016.49078198,Residential,,1916.0,2.0,64140NANANANA,,False,True,HS,94574,639.0
850337,-122.462775282,38.4988281703,M,21.78,0.0,St. Helena,0.0,0.0,Napa,24325.9707345,Parking,,1947.0,0.5,64140NANANANA,,True,False,PA2,94574,639.0
851622,-122.457409821,38.49806789,M,21.78,15203.0,St. Helena,15203.0,0.0,Napa,27348.830277,Industrial,,1947.0,0.5,64140NANANANA,,False,False,IL,94574,639.0
851537,-122.477512637,38.4928172024,M,5.0,3896.0,St. Helena,0.0,2.0,Napa,11306.1772996,Residential,,1984.0,2.0,64140NANANANA,,False,True,HS,94574,639.0
851613,-122.45644001,38.4998139782,M,21.78,3880.0,St. Helena,1200.0,2.0,Napa,34169.6706712,Residential,,1909.0,0.5,64140NANANANA,,False,False,HS,94574,639.0
851711,-122.469265424,38.4973051214,M,28.0,0.0,St. Helena,0.0,0.0,Napa,1745.44570755,Residential,,1947.0,2.33333333333,64140NANANANA,,False,True,HM,94574,639.0
851824,-122.475197794,38.4871689278,M,0.2,0.0,St. Helena,0.0,0.0,Napa,19702.1883138,Vacant,,,2.0,64140NANANANA,,False,True,,94574,639.0
851852,-122.485697383,38.5049811509,M,5.0,4410.0,St. Helena,0.0,2.0,Napa,14342.0429798,Residential,,1968.0,2.0,64140NANANANA,,False,True,HS,94574,639.0
851586,-122.473342348,38.5169586112,M,0.2,2870.0,St. Helena,0.0,1.0,Napa,46852.2963955,Residential,,1958.0,2.0,64140NANANANA,,False,True,HS,94574,639.0
850343,-122.472827348,38.5088011161,M,21.78,30406.0,St. Helena,30406.0,0.0,Napa,49246.904511,Industrial,,1975.0,0.5,64140NANANANA,,True,False,IL,94574,639.0
850347,-122.473237041,38.5078461435,M,16.0,21266.0,St. Helena,0.0,30.0,Napa,78456.9441564,Residential,,1969.0,2.0,64140NANANANA,,False,True,HM,94574,639.0
