parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1738099,-122.022053963,38.2553687473,S,21.78,0.0,Suisun City,0.0,0.0,Solano,908.534321585,Vacant,,,0.5,75630NAb3NANA,b3,True,False,,94585,212.0
1738079,-122.021826569,38.2541244137,S,21.78,0.0,Suisun City,0.0,0.0,Solano,1567.28365246,Vacant,,,0.5,75630NAb3NANA,b3,True,False,,94585,212.0
1851068,-122.012133813,38.2452355252,M,8.0,2384.0,Suisun City,0.0,2.0,Solano,6097.54268233,Residential,,1980.0,0.6,75630NANANANA,,False,True,HS,94585,212.0
1733190,-122.033457628,38.2433118307,H,43.56,0.0,Suisun City,0.0,0.0,Solano,58069.4456261,Vacant,sui1,,1.0,75630SUI1NANANA,,True,False,,94585,212.0
1737059,-122.010703861,38.2609684626,S,21.78,0.0,Suisun City,0.0,0.0,Solano,12781.4966865,Vacant,,,0.5,75630NANANANA,,True,False,,94585,212.0
1851229,-122.009998396,38.2515496207,M,8.0,2772.0,Suisun City,0.0,2.0,Solano,9518.91875764,Residential,,1978.0,0.6,75630NANANANA,,False,True,HS,94585,212.0
1738318,-122.007148066,38.2628378081,S,21.78,0.0,Suisun City,0.0,0.0,Solano,15018.6147853,Vacant,,,0.5,75630NANANANA,,True,False,,94533,203.0
1733920,-122.030594748,38.2458905131,S,,0.0,Suisun City,0.0,0.0,Solano,3442.78034978,Vacant,,,,75630NANANANA,,False,False,,94585,212.0
1855274,-122.019696504,38.2412338442,H,,0.0,Suisun City,0.0,5.0,Solano,4266.34032918,Parking,,1991.0,,75630NANANANA,,False,False,PA2,94585,212.0
1851369,-122.006474335,38.2474188069,M,8.0,0.0,Suisun City,0.0,0.0,Solano,6183.69860393,Vacant,,,0.6,75630NANANANA,,False,True,,94585,212.0
1850932,-122.015181087,38.2456940631,M,8.0,3808.0,Suisun City,0.0,2.0,Solano,6021.5862189,Residential,,1977.0,0.6,75630NAb3NANA,b3,False,True,HS,94585,212.0
1850315,-122.01867805,38.2520072828,M,8.0,2608.0,Suisun City,0.0,2.0,Solano,5750.2214965,Residential,,1976.0,0.6,75630NAb3NANA,b3,False,True,HS,94585,212.0
1850308,-122.020849978,38.244224183,S,,2225.0,Suisun City,2225.0,0.0,Solano,24023.5870399,Retail,,1990.0,,75630NAb3NANA,b3,False,False,RS,94585,212.0
1738308,-122.006765069,38.2635117769,S,21.78,0.0,Suisun City,0.0,0.0,Solano,17261.261922,Vacant,,,0.5,75630NANANANA,,True,False,,94533,203.0
1850803,-122.015089933,38.2478806756,M,8.0,3808.0,Suisun City,0.0,2.0,Solano,5854.58608378,Residential,,1976.0,0.6,75630NAb3NANA,b3,False,True,HS,94585,212.0
1850741,-122.017214424,38.2493067554,M,8.0,2880.0,Suisun City,0.0,2.0,Solano,7171.69357116,Residential,,1976.0,0.6,75630NAb3NANA,b3,False,True,HS,94585,212.0
