parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1440230,-122.03129377,37.3470575026,M,14.0,280800.0,Sunnyvale,0.0,312.0,Santa Clara,207270.019358,Residential,,1972.0,2.0,77000NANANANA,,False,True,HM,94087,946.0
1365201,-121.983769416,37.3706457266,S,15.246,0.0,Sunnyvale,0.0,0.0,Santa Clara,28935.4101135,Vacant,sun1,,0.35,77000SUN1b3NANA,b3,False,False,,94086,799.0
2049901,-122.013803014,37.3816780482,M,45.0,0.0,Sunnyvale,0.0,0.0,Santa Clara,169596.943314,Residential,,1991.0,3.66666666667,77000NAb3NANA,b3,False,True,HM,94085,726.0
1450719,-122.042316087,37.3416171544,M,10.89,2482.0,Sunnyvale,2482.0,0.0,Santa Clara,1514.97583795,Office,,1989.0,0.25,77000NANANANA,,False,False,OF,94087,946.0
1330331,-122.03741128,37.3880784046,M,15.246,20000.0,Sunnyvale,20000.0,0.0,Santa Clara,56714.2617058,Industrial,,1977.0,0.35,77000NAb3NANA,b3,False,False,IL,94085,726.0
1330346,-122.039361867,37.3867260309,M,15.246,86000.0,Sunnyvale,86000.0,0.0,Santa Clara,197631.538298,Industrial,,1977.0,0.35,77000NAb3NANA,b3,False,False,IL,94085,726.0
1349299,-122.045067728,37.3663342409,M,7.0,3894.0,Sunnyvale,0.0,2.0,Santa Clara,7135.0019044,Residential,,1964.0,2.0,77000NAbrt2NANA,brt2,False,True,HS,94087,946.0
1358483,-122.029357186,37.3618628084,S,7.0,4338.0,Sunnyvale,0.0,2.0,Santa Clara,6738.57007622,Residential,,1981.0,2.0,77000NAb1NANA,b1,False,True,HS,94087,946.0
1361623,-122.006318936,37.3611606479,M,7.0,4298.0,Sunnyvale,0.0,2.0,Santa Clara,6982.09414374,Residential,,1981.0,2.0,77000NANANANA,,False,True,HS,94086,799.0
1361764,-122.006383395,37.35682829,M,7.0,5646.0,Sunnyvale,0.0,3.0,Santa Clara,5662.55866673,Residential,,1973.0,2.0,77000NAb3NANA,b3,False,True,HS,94086,799.0
