parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
784158,-122.462254401,37.8776314227,MH,43.56,11977.0,Tiburon,11977.0,0.0,Marin,13953.5975647,Office,,1982.0,1.0,78666NANANANA,,False,False,OF,94920,1003.0
785272,-122.446010093,37.8760435947,MH,11.6,6026.0,Tiburon,0.0,2.0,Marin,7620.23320764,Residential,,1965.0,,78666NANANANA,,False,True,HM,94920,1003.0
785120,-122.449280609,37.8758614464,MH,11.6,4058.84850085,Tiburon,0.0,2.0,Marin,10141.4827926,Residential,,1976.0,,78666NANANANA,,False,True,HM,94920,1003.0
785123,-122.449371949,37.876580898,MH,11.6,5118.0,Tiburon,0.0,2.0,Marin,7654.13738357,Residential,,1960.0,,78666NANANANA,,False,True,HM,94920,1003.0
774061,-122.496226161,37.8986819004,M,12.4,42259.0,Tiburon,0.0,7.0,Marin,14244.1174055,Residential,,1968.0,,78666NANANANA,,False,True,HM,94920,1003.0
774076,-122.496702475,37.8983710791,M,12.4,24353.0910051,Tiburon,0.0,12.0,Marin,20864.9243681,Residential,,1975.0,,78666NANANANA,,False,True,HM,94920,1003.0
774172,-122.493493854,37.8986719184,M,3.0,0.0,Tiburon,0.0,0.0,Marin,14498.7329021,Residential,,1961.0,,78666NANANANA,,False,True,HS,94920,1003.0
774341,-122.487370221,37.9001969369,M,4.4,0.0,Tiburon,0.0,0.0,Marin,7147.1951909,Residential,,1950.0,,78666NANANANA,,False,True,HS,94920,1003.0
774423,-122.479688904,37.9033648584,M,43.56,0.0,Tiburon,0.0,0.0,Marin,26359.0498056,Vacant,,,1.0,78666NANANANA,,False,False,,94920,1003.0
774681,-122.504611739,37.9044069226,M,3.0,5685.0,Tiburon,0.0,1.0,Marin,49076.6445009,Residential,,1993.0,,78666NAb2NANA,b2,False,True,HS,94920,1003.0
774793,-122.486555762,37.9032073353,M,,2029.42425042,Tiburon,0.0,1.0,Marin,263090.531935,Residential,,1975.0,,78666NANANANA,,False,False,HM,94920,1003.0
775168,-122.479793963,37.912229251,M,1.1,2029.42425042,Tiburon,0.0,1.0,Marin,45055.794407,Residential,,1952.0,,78666NANANANA,,False,True,HS,94920,1003.0
776042,-122.48061255,37.9078457819,M,1.1,2029.42425042,Tiburon,0.0,1.0,Marin,56184.659927,Residential,,1979.0,,78666NANANANA,,False,True,HS,94920,1003.0
776242,-122.480868786,37.9010485988,MH,3.0,21701.0,Tiburon,21701.0,0.0,Marin,128166.203351,Office,,1956.0,,78666NANANANA,,False,True,OF,94920,1003.0
783690,-122.480260392,37.8928536205,MH,4.4,4498.0,Tiburon,0.0,2.0,Marin,11479.841892,Residential,,1962.0,,78666NANANANA,,False,True,HM,94920,1003.0
784160,-122.462608639,37.8778552027,MH,43.56,12210.0,Tiburon,12210.0,0.0,Marin,20790.7877234,Office,,1982.0,1.0,78666NANANANA,,False,False,OF,94920,1003.0
785274,-122.447103405,37.8757006848,MH,11.6,4310.0,Tiburon,0.0,2.0,Marin,7494.12220359,Residential,,1934.0,,78666NANANANA,,False,True,HM,94920,1003.0
785121,-122.449303679,37.8756047709,MH,11.6,5918.0,Tiburon,0.0,2.0,Marin,8260.28858577,Residential,,1950.0,,78666NANANANA,,False,True,HM,94920,1003.0
784743,-122.458890704,37.8768210281,MH,12.4,0.0,Tiburon,0.0,0.0,Marin,703.102250881,Office,,1985.0,,78666NANANANA,,False,True,OF,94920,1003.0
785022,-122.456328489,37.8734610577,MH,12.1968,3352.0,Tiburon,3352.0,0.0,Marin,4018.77668417,Office,,1916.0,0.28,78666NANANANA,,False,False,OF,94920,1003.0
774592,-122.497969663,37.8971116417,M,12.4,0.0,Tiburon,0.0,0.0,Marin,703.164689924,Office,,1963.0,,78666NANANANA,,False,True,OF,94920,1003.0
774081,-122.497342199,37.8982479595,M,12.4,12176.5455025,Tiburon,0.0,6.0,Marin,9881.11068644,Residential,,1967.0,,78666NANANANA,,False,True,HM,94920,1003.0
774540,-122.495799641,37.89718454,M,12.4,0.0,Tiburon,0.0,0.0,Marin,703.161615518,Residential,,1963.0,,78666NANANANA,,False,True,HM,94920,1003.0
774244,-122.490805922,37.8979821532,M,4.4,0.0,Tiburon,0.0,0.0,Marin,10393.6795573,Residential,,1951.0,,78666NANANANA,,False,True,HS,94920,1003.0
776530,-122.467005038,37.8897469288,MH,,2029.42425042,Tiburon,0.0,1.0,Marin,102871.531716,Residential,,1976.0,,78666NANANANA,,False,False,HM,94920,1003.0
783887,-122.475273637,37.8872663539,MH,4.4,4058.84850085,Tiburon,0.0,2.0,Marin,13188.2680688,Residential,,1976.0,,78666NANANANA,,False,True,HM,94920,1003.0
784337,-122.462024319,37.8789527402,MH,12.4,12176.5455025,Tiburon,0.0,6.0,Marin,21130.0696124,Residential,,1976.0,,78666NANANANA,,False,True,HM,94920,1003.0
784372,-122.463873162,37.8900397178,MH,1.1,7457.0,Tiburon,0.0,1.0,Marin,50552.8591585,Residential,,1981.0,,78666NANANANA,,False,True,HM,94920,1003.0
784377,-122.464628316,37.8903938791,MH,43.56,0.0,Tiburon,0.0,0.0,Marin,2920.13490164,Vacant,,,1.0,78666NANANANA,,False,False,,94920,1003.0
785019,-122.456856579,37.8737225979,MH,16.1172,30705.0,Tiburon,30705.0,0.0,Marin,11977.0707988,Retail,,1952.0,0.37,78666NANANANA,,True,False,RS,94920,1003.0
785201,-122.455332323,37.8737348673,MH,,0.0,Tiburon,0.0,0.0,Marin,15712.4332556,Vacant,,,,78666NANANANA,,False,False,,94920,1003.0
