parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
296201,-122.078862939,37.5899409332,M,17.0,2353.0,Union City,2353.0,0.0,Alameda,187437.355339,Residential,,1970.0,,81204NAb2NANA,b2,False,True,HM,94587,430.0
287499,-122.072140644,37.6050356379,M,10.0,0.0,Union City,0.0,0.0,Alameda,78775.461335,Vacant,,,,81204NAb3NANA,b3,False,True,,94587,430.0
287886,-122.075700743,37.602981631,M,6.0,0.0,Union City,0.0,0.0,Alameda,92984.9254577,Vacant,,,,81204NAb1NANA,b1,False,True,,94587,430.0
299038,-122.019467791,37.6011432434,M,10.0,1974.0,Union City,0.0,2.0,Alameda,4908.78224801,Residential,,1936.0,,81204NAb3NANA,b3,False,True,HS,94587,430.0
299871,-122.02282244,37.5972992618,M,10.0,2531.0,Union City,0.0,2.0,Alameda,5055.34990896,Residential,,1980.0,,81204NAbrt2NANA,brt2,False,True,HM,94587,430.0
300219,-122.022815647,37.5940535471,M,10.0,1176.0,Union City,0.0,2.0,Alameda,5592.51370591,Residential,,1950.0,,81204NAbart2NANA,bart2,False,True,HM,94587,430.0
202832,-122.01715277,37.5809938892,M,6.0,3254.0,Union City,0.0,2.0,Alameda,6093.86918837,Residential,,1968.0,,81204NAb1NANA,b1,False,True,HS,94587,430.0
203640,-122.009934733,37.6018192793,MH,,0.0,Union City,0.0,0.0,Alameda,3233059.01818,Vacant,,,,81204NAb3NANA,b3,False,False,,94587,430.0
287294,-122.074722921,37.5983709084,M,6.0,4991.34504231,Union City,0.0,3.0,Alameda,8328.54730682,Residential,,1987.0,,81204NAb1NANA,b1,False,True,HS,94587,430.0
287769,-122.076084192,37.6033602041,M,10.0,2357.0,Union City,2357.0,0.0,Alameda,6132.52118887,Residential,,1993.0,,81204NAb2NANA,b2,False,True,HS,94587,430.0
290908,-122.039422586,37.5969785146,M,43.56,0.0,Union City,0.0,0.0,Alameda,2906.02229835,Vacant,,,1.0,81204NAb2NANA,b2,False,False,,94587,430.0
291305,-122.041608723,37.5898058653,M,6.0,2764.0,Union City,0.0,2.0,Alameda,6496.43874475,Residential,,1976.0,,81204NAb2NANA,b2,False,True,HS,94587,430.0
294169,-122.077282365,37.5956580641,M,29.0,6636.0,Union City,0.0,7.0,Alameda,5330.11647168,Residential,,1985.0,,81204NAb1NANA,b1,False,True,HM,94587,430.0
349962,-122.052132566,37.592086964,M,17.0,4200.0,Union City,0.0,2.0,Alameda,6815.32389398,Residential,,1978.0,,81204NAb2NANA,b2,False,True,HS,94587,430.0
203037,-122.023636156,37.5801157555,M,6.0,2764.0,Union City,0.0,2.0,Alameda,16058.8541112,Residential,,1973.0,,81204NAb2NANA,b2,False,True,HS,94587,430.0
