parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1796917,-121.903622793,38.4105939607,M,17.424,0.0,Vacaville,0.0,0.0,Solano,214652.239678,Vacant,,,0.4,81554NANANANA,,True,False,,95687,226.0
1809070,-121.987231132,38.3359504357,M,8.0,8468.34812106,Vacaville,0.0,5.0,Solano,156623.370781,Residential,,1991.0,,81554NANANANA,,False,True,HM,95687,226.0
1812945,-121.985414802,38.3492032631,S,13.068,28000.0,Vacaville,28000.0,0.0,Solano,61233.950403,Retail,,1965.0,0.3,81554NAb3NANA,b3,True,False,RS,95687,226.0
1814330,-121.951175599,38.361801282,S,5.0,0.0,Vacaville,0.0,0.0,Solano,1996.74691237,Vacant,,,,81554NAb2NANA,b2,False,True,,95687,226.0
1822968,-121.95409947,38.33903008,S,14.0,7820.0,Vacaville,0.0,4.0,Solano,7369.71333083,Residential,,1977.0,,81554NAb3NANA,b3,False,True,HM,95687,226.0
1822981,-121.954864299,38.3382854564,S,14.0,11855.6873695,Vacaville,0.0,7.0,Solano,14237.6929832,Residential,,1978.0,,81554NAb3NANA,b3,False,True,HM,95687,226.0
1822997,-121.953640985,38.33813136,S,14.0,15243.0266179,Vacaville,0.0,9.0,Solano,7026.47058094,Residential,,1978.0,,81554NAb3NANA,b3,False,True,HM,95687,226.0
1810072,-122.00111628,38.3428903849,M,24.0,0.0,Vacaville,0.0,0.0,Solano,603.50452773,Vacant,,,,81554NANANANA,,False,True,,95687,226.0
1812128,-121.985041999,38.3559573371,S,,0.0,Vacaville,0.0,0.0,Solano,12043.6658133,Vacant,vac1,,,81554VAC1b2NANA,b2,False,False,,95688,242.0
1818024,-121.955986408,38.3903913431,M,17.424,96368.0,Vacaville,96368.0,0.0,Solano,339024.95287,Industrial,,1992.0,0.4,81554NANANANA,,True,False,IL,95688,242.0
1818724,-121.966487985,38.3887060201,S,17.424,0.0,Vacaville,0.0,0.0,Solano,91269.7278164,Vacant,,,0.4,81554NANANANA,,True,False,,95688,242.0
1807666,-122.010290992,38.3553439232,S,5.0,3572.0,Vacaville,0.0,2.0,Solano,8337.91274857,Residential,,1974.0,,81554NANANANA,,False,True,HS,95688,242.0
1808429,-121.999367241,38.346656254,S,13.068,0.0,Vacaville,0.0,0.0,Solano,14776.5744459,Retail,,1957.0,0.3,81554NANANANA,,True,False,RS,95688,242.0
1810560,-121.988282035,38.3642540281,S,3.0,0.0,Vacaville,0.0,0.0,Solano,16911.320829,Vacant,,,,81554NAb3NANA,b3,False,True,,95688,242.0
1817886,-121.949967336,38.3844384783,M,13.068,0.0,Vacaville,0.0,0.0,Solano,522845.66518,Vacant,,,0.3,81554NANANANA,,True,False,,95688,242.0
1817966,-121.937853648,38.391354726,M,13.068,116525.0,Vacaville,116525.0,0.0,Solano,438679.055986,Industrial,,1985.0,0.3,81554NANANANA,,True,False,IL,95688,242.0
1829300,-121.967265217,38.3230955318,M,5.0,0.0,Vacaville,0.0,0.0,Solano,1394.55492863,Vacant,,,,81554NANANANA,,False,True,,95687,226.0
1795577,-121.934791638,38.4102499823,M,5.0,3600.0,Vacaville,0.0,3.0,Solano,474992.580113,Residential,,1962.0,,81554NANANANA,,False,True,HS,95688,242.0
