parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1790764,-122.273603636,38.1218139834,M,17.4,0.0,Vallejo,0.0,0.0,Solano,484281.026444,Parking,,1988.0,,81666NANANANA,,False,True,PA2,94590,224.0
1773802,-122.207944884,38.1104063721,M,8.7,0.0,Vallejo,0.0,0.0,Solano,14683.7552095,Vacant,,,,81666NANANANA,,False,True,,94591,227.0
1743447,-122.234106863,38.1306088317,S,8.7,0.0,Vallejo,0.0,0.0,Solano,4037.04250786,Vacant,,,,81666NANANANA,,False,True,,94589,214.0
1748885,-122.256158021,38.1057833131,S,87.12,0.0,Vallejo,0.0,0.0,Solano,1065.9879434,Vacant,,,2.0,81666NAb1NANA,b1,True,False,,94590,224.0
1865231,-122.19137869,38.1569424002,M,8.7,0.0,Vallejo,0.0,0.0,Solano,5616.03679471,Vacant,,,,81666NANANANA,,False,True,,94591,227.0
1749529,-122.25403783,38.1007879865,S,17.4,0.0,Vallejo,0.0,0.0,Solano,6823.51881343,Vacant,val1,,,81666VAL1b1NANA,b1,False,True,,94590,224.0
1770810,-122.214314652,38.0701122803,MH,17.4,0.0,Vallejo,0.0,0.0,Solano,114070.694767,Vacant,,,,81666NANANANA,,False,True,,94591,227.0
1749704,-122.245320524,38.1012494156,S,8.7,0.0,Vallejo,0.0,0.0,Solano,5556.62964938,Vacant,,,,81666NAb3NANA,b3,False,True,,94590,224.0
1749523,-122.254528947,38.101373422,S,87.12,13000.0,Vallejo,13000.0,0.0,Solano,7282.35410547,Retail,val1,1938.0,2.0,81666VAL1b1NANA,b1,True,False,RS,94590,224.0
1743453,-122.23233201,38.1306021922,S,8.7,0.0,Vallejo,0.0,0.0,Solano,6393.95105035,Vacant,,,,81666NANANANA,,False,True,,94589,214.0
1745400,-122.238539856,38.1204301234,S,8.7,2004.0,Vallejo,0.0,2.0,Solano,10876.7238893,Residential,,1939.0,,81666NANANANA,,False,True,HS,94590,224.0
1747933,-122.254943544,38.1112614474,S,87.12,0.0,Vallejo,0.0,0.0,Solano,6697.63195177,Retail,val2,1940.0,2.0,81666VAL2b3NANA,b3,True,False,RS,94590,224.0
1751314,-122.240804817,38.1012348224,S,87.12,3700.0,Vallejo,3700.0,0.0,Solano,10576.4889071,Retail,,1953.0,2.0,81666NAb3NANA,b3,True,False,RS,94590,224.0
1752931,-122.238966262,38.0909017975,S,32.67,0.0,Vallejo,0.0,0.0,Solano,13148.1763101,Industrial,,1959.0,0.75,81666NAb2NANA,b2,False,False,IL,94590,224.0
1753393,-122.240269239,38.0866597465,S,8.7,0.0,Vallejo,0.0,6.0,Solano,7459.27567061,Parking,,1931.0,,81666NAb2NANA,b2,False,True,PA2,94590,224.0
1754126,-122.234390437,38.0714547277,M,,0.0,Vallejo,0.0,0.0,Solano,119602.398488,Vacant,,,,81666NANANANA,,False,True,,94590,224.0
1760302,-122.218980705,38.1454778064,M,8.7,0.0,Vallejo,0.0,0.0,Solano,2461.67727844,Vacant,,,,81666NANANANA,,False,True,,94589,214.0
1760635,-122.227367106,38.1233322484,M,87.12,0.0,Vallejo,0.0,0.0,Solano,8817.11241375,Retail,,1968.0,2.0,81666NANANANA,,True,False,RS,94591,227.0
