parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
409363,-122.038501675,37.9199557307,M,22.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,143420.972908,Parking,,1984.0,,83346NANANANA,,False,True,PA2,94598,445.0
691295,-122.060216274,37.8511548827,M,6.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,268309.384481,Parking,,1975.0,,83346NANANANA,,False,True,PA2,94595,433.0
730711,-122.067500452,37.9040078188,S,50.0,8864.0,Walnut Creek,0.0,10.0,Contra Costa,57066.6439908,Residential,wal1,1973.0,,83346WAL1bart3NANA,bart3,False,True,HM,94596,482.0
702982,-122.070929534,37.8718125961,M,6.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,427338.416333,Vacant,,,,83346NANANANA,,False,True,,94595,433.0
402657,-122.048983643,37.913154447,M,14.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,604598.41125,Parking,,1977.0,,83346NANANANA,,False,True,PA2,94598,445.0
424008,-122.047595595,37.9271868826,M,14.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,15691.385145,Vacant,,,,83346NAbart3NANA,bart3,False,True,,94598,445.0
401824,-122.045962721,37.9164462155,M,14.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,52316.7836996,Vacant,,,,83346NANANANA,,False,True,,94598,445.0
700106,-122.065396161,37.8671005446,M,6.0,90882.0,Walnut Creek,0.0,51.0,Contra Costa,57796.8139098,Residential,,1966.0,,83346NANANANA,,False,True,HM,94595,433.0
438447,-122.044049314,37.9338888015,M,6.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,21151.5016583,Vacant,,,,83346NAb3NANA,b3,False,True,,94598,445.0
701066,-122.068740207,37.868634729,M,6.0,397296.0,Walnut Creek,0.0,186.0,Contra Costa,144334.685761,Residential,,1983.0,,83346NANANANA,,False,True,HM,94595,433.0
741667,-122.040290731,37.9109456633,M,65.34,0.0,Walnut Creek,0.0,0.0,Contra Costa,44715.6701051,Vacant,,,1.5,83346NANANANA,,True,False,,94598,445.0
437255,-122.043652609,37.933378288,M,6.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,18327.0565026,Vacant,,,,83346NAb3NANA,b3,False,True,,94598,445.0
720889,-122.064621836,37.8940515236,M,100.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,33031.2789791,Vacant,wal1,,,83346WAL1b3NANA,b3,False,True,,94596,482.0
700196,-122.065172244,37.8670468327,M,6.0,1200.0,Walnut Creek,1200.0,0.0,Contra Costa,327846.489485,Office,,1975.0,,83346NANANANA,,False,True,OF,94595,433.0
426329,-122.01311174,37.9285784642,M,65.34,0.0,Walnut Creek,0.0,0.0,Contra Costa,71184.9364873,Vacant,,,1.5,83346NANANANA,,True,False,,94598,445.0
695403,-122.062367983,37.8585655157,M,6.0,66433.5,Walnut Creek,0.0,37.0,Contra Costa,41321.8672568,Residential,,1969.0,,83346NANANANA,,False,True,HM,94595,433.0
691034,-122.054311081,37.849886662,M,6.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,389595.999226,Vacant,,,,83346NANANANA,,False,True,,94595,433.0
410882,-122.039025382,37.9206217807,M,22.0,58800.0,Walnut Creek,0.0,28.0,Contra Costa,59682.1463764,Residential,,1989.0,,83346NANANANA,,False,True,HM,94598,445.0
421276,-122.046215298,37.9259617899,M,14.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,46582.2328571,Vacant,,,,83346NAb2NANA,b2,False,True,,94598,445.0
432577,-122.02005196,37.9299427957,M,21.78,222052.0,Walnut Creek,222052.0,0.0,Contra Costa,656359.395758,Office,,1974.0,0.5,83346NANANANA,,False,False,OF,94598,445.0
690816,-122.0585988,37.8501455623,M,6.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,183336.225529,Vacant,,,,83346NANANANA,,False,True,,94595,433.0
723232,-122.040687566,37.8974299014,M,3.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,41.3371246325,Vacant,,,,83346NANANANA,,False,True,,94596,482.0
431911,-122.061263215,37.9307549618,M,43.56,4108.0,Walnut Creek,4108.0,0.0,Contra Costa,8777.71413907,Retail,,1956.0,1.0,83346NAbart3NANA,bart3,True,False,RS,94597,454.0
728093,-122.05068484,37.9023478118,M,6.0,3866.0,Walnut Creek,0.0,2.0,Contra Costa,8047.01064991,Residential,,1951.0,,83346NANANANA,,False,True,HS,94596,482.0
397062,-122.007571511,37.915520746,MH,6.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,11531.614378,Vacant,,,,83346NANANANA,,False,True,,94598,445.0
400955,-122.09576681,37.915623231,M,6.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,10610.5381566,Vacant,,,,83346NANANANA,,False,True,,94597,454.0
402987,-122.008938884,37.9174723364,MH,6.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,16622.0645893,Vacant,,,,83346NANANANA,,False,True,,94598,445.0
413337,-122.087565398,37.9218900077,M,6.0,2622.0,Walnut Creek,0.0,2.0,Contra Costa,12532.4677853,Residential,,1965.0,,83346NANANANA,,False,True,HS,94597,454.0
427112,-122.065622491,37.9289198367,M,14.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,6135.44227414,Residential,,1970.0,,83346NAb2NANA,b2,False,True,HM,94597,454.0
430577,-122.030913837,37.9305809666,M,3.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,445174.328049,Vacant,,,,83346NANANANA,,False,True,,94598,445.0
704171,-122.077328217,37.8743804366,M,6.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,142155.477591,Vacant,,,,83346NANANANA,,False,True,,94595,433.0
720217,-122.0672204,37.8936101535,M,,0.0,Walnut Creek,0.0,0.0,Contra Costa,1584.69439602,Vacant,,,,83346NAb3NANA,b3,False,False,,94595,433.0
722283,-122.068744008,37.8959150247,M,87.12,1816.0,Walnut Creek,1816.0,0.0,Contra Costa,4344.46017219,Office,wal1,1938.0,2.0,83346WAL1b3NANA,b3,True,True,OF,94596,482.0
725571,-122.069471405,37.8996525934,S,50.0,3867.0,Walnut Creek,0.0,4.0,Contra Costa,4961.8700752,Residential,wal1,1993.0,,83346WAL1bart3NANA,bart3,False,True,HS,94596,482.0
726377,-122.053262334,37.90073022,M,50.0,4032.0,Walnut Creek,0.0,4.0,Contra Costa,8688.52204323,Residential,,1975.0,,83346NANANANA,,False,True,HS,94596,482.0
727833,-122.067267056,37.9017613925,S,50.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,11754.8221646,Vacant,wal1,,,83346WAL1bart3NANA,bart3,False,True,,94596,482.0
731380,-122.061523184,37.904759853,S,43.56,0.0,Walnut Creek,0.0,0.0,Contra Costa,11631.1478582,Vacant,wal1,,1.0,83346WAL1bart3NANA,bart3,True,False,,94596,482.0
739739,-122.002860009,37.909330792,M,0.1,0.0,Walnut Creek,0.0,0.0,Contra Costa,120479.269044,Vacant,,,,83346NANANANA,,False,True,,94598,445.0
740813,-122.068568052,37.9100224299,M,14.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,9766.58227498,Residential,,1954.0,,83346NAbart3NANA,bart3,False,True,HM,94597,454.0
741039,-122.0268843,37.910804101,M,6.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,24545.0536341,Vacant,,,,83346NANANANA,,False,True,,94598,445.0
394830,-122.073074506,37.9134679992,M,14.0,9277.0,Walnut Creek,9277.0,0.0,Contra Costa,36084.5152506,Office,,1952.0,,83346NANANANA,,False,True,OF,94597,454.0
414514,-122.040395607,37.9230488749,M,14.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,9717.95401645,Vacant,,,,83346NAb3NANA,b3,False,True,,94598,445.0
416283,-122.082670073,37.9235322443,M,6.0,2172.0,Walnut Creek,0.0,2.0,Contra Costa,9525.95546823,Residential,,1955.0,,83346NANANANA,,False,True,HS,94597,454.0
418945,-122.077205331,37.9250638625,M,6.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,10415.0593453,Residential,,1950.0,,83346NANANANA,,False,True,HM,94597,454.0
420960,-122.039878544,37.9250765383,M,14.0,0.0,Walnut Creek,0.0,0.0,Contra Costa,62768.0708876,Vacant,,,,83346NAb3NANA,b3,False,True,,94598,445.0
421133,-122.07276175,37.9258801672,M,6.0,4816.0,Walnut Creek,4816.0,0.0,Contra Costa,45485.0283133,Office,,1966.0,,83346NANANANA,,False,True,OF,94597,454.0
