parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
2029208,-122.8015994,38.5524362374,M,0.05,4147.0,Windsor,4147.0,0.0,Sonoma,1405283.67793,Office,,1977.0,,85922NANANANA,,False,True,OF,95492,317.0
2029804,-122.812306081,38.5548143033,M,6.0,3932.0,Windsor,0.0,2.0,Sonoma,6486.00476301,Residential,,1988.0,,85922NANANANA,,False,True,HS,95492,317.0
2034472,-122.804674009,38.5435787424,M,12.0,0.0,Windsor,0.0,0.0,Sonoma,266778.238539,Vacant,,,,85922NANANANA,,False,True,,95492,317.0
1948069,-122.789598598,38.5183867228,M,,0.0,Windsor,0.0,0.0,Sonoma,69030.8705198,Vacant,,,,85922NANANANA,,False,False,,95492,317.0
2029192,-122.800944938,38.5524870524,M,3.0,0.0,Windsor,0.0,0.0,Sonoma,523709.941256,Vacant,,,,85922NANANANA,,False,True,,95492,317.0
2032872,-122.793943078,38.5397282334,M,10.89,0.0,Windsor,0.0,0.0,Sonoma,107582.647529,Vacant,,,0.25,85922NANANANA,,True,False,,95492,317.0
2033485,-122.796735809,38.5337894203,M,6.0,0.0,Windsor,0.0,0.0,Sonoma,3947.61672887,Vacant,,,,85922NANANANA,,False,True,,95492,317.0
2033209,-122.796408037,38.5369669517,M,6.0,2252.0,Windsor,0.0,2.0,Sonoma,9846.13305098,Residential,,1985.0,,85922NANANANA,,False,True,HS,95492,317.0
1948053,-122.788623741,38.5155351945,M,32.67,0.0,Windsor,0.0,0.0,Sonoma,46096.2878114,Vacant,,,0.75,85922NANANANA,,False,True,,95492,317.0
1948064,-122.794689056,38.5237998399,M,21.78,68596.0,Windsor,68596.0,0.0,Sonoma,1275472.68586,Office,,1957.0,0.5,85922NANANANA,,False,False,OF,95403,311.0
1953052,-122.824868068,38.5439201715,MH,6.0,1436.0,Windsor,0.0,1.0,Sonoma,87082.8125903,Residential,win1,1931.0,,85922WIN1cr4NANA,cr4,False,True,HS,95492,317.0
1953988,-122.818288153,38.5440585534,MH,8.0,3717.0,Windsor,0.0,3.0,Sonoma,4254.264982,Residential,win1,1985.0,,85922WIN1cr4NANA,cr4,False,True,HS,95492,317.0
2034175,-122.812968824,38.5437727944,M,15.246,0.0,Windsor,0.0,0.0,Sonoma,90009.9508396,Vacant,win1,,0.35,85922WIN1cr4NANA,cr4,False,False,,95492,317.0
2034138,-122.788485474,38.5369489822,M,12.0,0.0,Windsor,0.0,0.0,Sonoma,3245.13334865,Vacant,,,,85922NANANANA,,False,True,,95403,311.0
2036197,-122.816492709,38.5340209781,MH,10.89,0.0,Windsor,0.0,0.0,Sonoma,761.734557929,Vacant,,,0.25,85922NANANANA,,True,False,,95492,317.0
2030319,-122.801947147,38.5652233081,M,3.0,5943.0,Windsor,0.0,1.0,Sonoma,96442.2942313,Residential,,1993.0,,85922NANANANA,,False,True,HS,95492,317.0
2033883,-122.77927827,38.5299773654,M,3.0,4786.0,Windsor,0.0,2.0,Sonoma,28178.8498238,Residential,,1980.0,,85922NANANANA,,False,True,HS,95492,317.0
2034730,-122.800673437,38.5253961159,M,15.246,0.0,Windsor,0.0,0.0,Sonoma,32364.6163405,Vacant,,,0.35,85922NANANANA,,False,False,,95403,311.0
2034731,-122.799650875,38.5254980384,M,15.246,783.0,Windsor,0.0,1.0,Sonoma,48446.4794747,Residential,,1951.0,0.35,85922NANANANA,,False,False,HS,95403,311.0
2035044,-122.800975652,38.5381646267,M,6.0,0.0,Windsor,0.0,0.0,Sonoma,3031.37618561,Vacant,,,,85922NANANANA,,False,True,,95492,317.0
2034171,-122.812108546,38.5454919911,M,16.0,158899.219502,Windsor,0.0,96.0,Sonoma,306639.822306,Residential,win1,1983.0,,85922WIN1cr4NANA,cr4,False,True,HM,95492,317.0
1953035,-122.814055764,38.5464243445,M,8.0,2040.0,Windsor,0.0,2.0,Sonoma,10132.2217163,Residential,win1,1966.0,,85922WIN1cr4NANA,cr4,False,True,HM,95492,317.0
2029041,-122.82266291,38.5590411123,M,16.0,4032.0,Windsor,0.0,3.0,Sonoma,45648.6408068,Residential,,1979.0,,85922NANANANA,,False,True,HM,95492,317.0
2034256,-122.80436936,38.5461238137,M,16.0,2642.0,Windsor,0.0,2.0,Sonoma,9513.7537673,Residential,,1983.0,,85922NANANANA,,False,True,HM,95492,317.0
1952999,-122.815405158,38.5475822248,M,13.068,4965.60060943,Windsor,0.0,3.0,Sonoma,8814.59380568,Residential,win1,1986.0,0.3,85922WIN1cr4NANA,cr4,True,True,HM,95492,317.0
2030292,-122.819587985,38.5519070613,M,6.0,2250.0,Windsor,0.0,2.0,Sonoma,4557.22368282,Residential,win1,1984.0,,85922WIN1cr4NANA,cr4,False,True,HM,95492,317.0
2029074,-122.819742663,38.5572983982,M,10.89,1384.0,Windsor,0.0,2.0,Sonoma,15951.5104267,Residential,,1927.0,0.25,85922NANANANA,,True,False,HM,95492,317.0
