parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
1210861,-122.250812406,37.429082075,H,32.67,0.0,Woodside,0.0,0.0,San Mateo,823.027610656,Vacant,,,0.75,86440NANANANA,,True,False,,94062,950.0
1202502,-122.272053413,37.4542946957,MH,1.0,0.0,Woodside,0.0,0.0,San Mateo,17429.8556426,Vacant,,,2.0,86440NANANANA,,False,True,,94062,950.0
1202578,-122.269840266,37.4463655137,MH,1.0,3990.0,Woodside,0.0,1.0,San Mateo,44806.577412,Residential,,1990.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1202591,-122.259238858,37.4479279812,MH,2.178,0.0,Woodside,0.0,0.0,San Mateo,1383.95412568,Vacant,,,1.86666666667,86440NANANANA,,False,True,,94061,897.0
1203049,-122.238550719,37.4498790985,MH,1.0,3480.0,Woodside,0.0,1.0,San Mateo,54778.1479402,Residential,,1940.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1213883,-122.262345653,37.3887226601,H,0.13,1860.0,Woodside,0.0,1.0,San Mateo,53815.3838012,Residential,,1957.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1214182,-122.242692351,37.3874882925,H,0.5,0.0,Woodside,0.0,0.0,San Mateo,51095.2537158,Vacant,,,1.86666666667,86440NANANANA,,False,True,,94062,950.0
1210327,-122.292725659,37.4182229171,H,69.696,0.0,Woodside,0.0,0.0,San Mateo,215726.476516,Vacant,,,1.6,86440NANANANA,,False,False,,94062,950.0
1209812,-122.282394193,37.4250886954,H,0.13,1945.37009674,Woodside,0.0,1.0,San Mateo,49771.8754062,Residential,,1964.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1210175,-122.249823104,37.4112928516,H,0.33,2580.0,Woodside,0.0,1.0,San Mateo,128642.139148,Residential,,1949.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1210770,-122.244752545,37.4274317699,MH,0.33,0.0,Woodside,0.0,0.0,San Mateo,135187.029652,Vacant,,,2.0,86440NANANANA,,False,True,,94062,950.0
1210784,-122.247349918,37.4289887503,MH,0.33,0.0,Woodside,0.0,0.0,San Mateo,33038.3813064,Vacant,,,2.0,86440NANANANA,,False,True,,94062,950.0
1214388,-122.251264993,37.3809117406,H,0.13,0.0,Woodside,0.0,0.0,San Mateo,133086.193253,Vacant,,,2.0,86440NANANANA,,False,True,,94062,950.0
1202631,-122.253757032,37.4501858489,MH,7.26,3890.74019347,Woodside,0.0,2.0,San Mateo,18412.5883966,Residential,,1961.0,1.86666666667,86440NANANANA,,False,True,HS,94062,950.0
1203030,-122.240141644,37.4523203447,MH,1.0,3660.0,Woodside,0.0,1.0,San Mateo,62592.6607582,Residential,,1953.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1203807,-122.241208747,37.442864263,MH,1.0,4493.0,Woodside,0.0,1.0,San Mateo,52766.5816441,Residential,,1950.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1205469,-122.254276221,37.4473005781,MH,1.0,1945.37009674,Woodside,0.0,1.0,San Mateo,43812.9431128,Residential,,1961.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1210328,-122.278366128,37.4158283321,H,69.696,0.0,Woodside,0.0,0.0,San Mateo,202163.410981,Vacant,,,1.6,86440NANANANA,,False,False,,94062,950.0
1210431,-122.261108348,37.440773904,MH,1.0,1945.37009674,Woodside,0.0,1.0,San Mateo,64454.0561529,Residential,,1961.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1210485,-122.260092732,37.4425082562,MH,1.0,1945.37009674,Woodside,0.0,1.0,San Mateo,49144.0723382,Residential,,1961.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1210779,-122.24669621,37.4252990404,MH,0.33,1945.37009674,Woodside,0.0,1.0,San Mateo,123346.46099,Residential,,1961.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1213715,-122.267962387,37.3939355558,H,0.2,1945.37009674,Woodside,0.0,1.0,San Mateo,59678.5986165,Residential,,1964.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1213738,-122.267880643,37.3898895015,H,0.2,1945.37009674,Woodside,0.0,1.0,San Mateo,59826.6913184,Residential,,1964.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1214328,-122.259339401,37.3754491355,H,0.13,0.0,Woodside,0.0,0.0,San Mateo,21749.6320086,Vacant,,,2.0,86440NANANANA,,False,True,,94062,950.0
1214332,-122.25793894,37.3765863564,H,0.13,0.0,Woodside,0.0,0.0,San Mateo,294.997507716,Vacant,,,2.0,86440NANANANA,,False,True,,94062,950.0
1210891,-122.240402212,37.4369349637,MH,0.2,0.0,Woodside,0.0,0.0,San Mateo,161833.198153,Vacant,,,2.0,86440NANANANA,,False,True,,94062,950.0
1213792,-122.254371776,37.4036401856,H,0.2,3010.0,Woodside,0.0,1.0,San Mateo,53344.3244602,Residential,,1954.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1210833,-122.254296217,37.4303181478,MH,1.0,8283.0,Woodside,8283.0,0.0,San Mateo,22743.5210576,Office,,1958.0,2.0,86440NANANANA,,False,True,OF,94062,950.0
1214380,-122.252117303,37.3759895433,H,0.13,0.0,Woodside,0.0,0.0,San Mateo,73252.2355657,Vacant,,,2.0,86440NANANANA,,False,True,,94062,950.0
1202358,-122.268463415,37.4542300183,MH,2.18,0.0,Woodside,0.0,0.0,San Mateo,7359.5010958,Vacant,,,1.86666666667,86440NANANANA,,False,True,,94062,950.0
1202551,-122.273373887,37.4493389183,MH,1.0,1945.37009674,Woodside,0.0,1.0,San Mateo,47189.1369279,Residential,,1961.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1203763,-122.242455064,37.4447682492,MH,1.0,3200.0,Woodside,0.0,1.0,San Mateo,56251.7915689,Residential,,1955.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1203845,-122.239221583,37.4419436625,MH,1.0,4770.0,Woodside,0.0,1.0,San Mateo,120139.376372,Residential,,1938.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1210869,-122.245114563,37.4213125067,H,0.33,4500.0,Woodside,0.0,1.0,San Mateo,138872.906388,Residential,,1964.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1209658,-122.281243239,37.4323617934,H,0.13,3438.0,Woodside,0.0,1.0,San Mateo,152364.350809,Residential,,1967.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1209665,-122.282411898,37.4335566919,H,0.13,3890.74019347,Woodside,0.0,2.0,San Mateo,208793.663383,Residential,,1964.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1209709,-122.275851904,37.4472393459,H,0.2,0.0,Woodside,0.0,0.0,San Mateo,73663.2988179,Vacant,,,2.0,86440NANANANA,,False,True,,94062,950.0
1209781,-122.286267715,37.429708982,H,0.13,1945.37009674,Woodside,0.0,1.0,San Mateo,57676.9202509,Residential,,1964.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1209789,-122.288340214,37.4297631744,H,0.13,1945.37009674,Woodside,0.0,1.0,San Mateo,57948.391915,Residential,,1964.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1209891,-122.265045564,37.4346273714,H,0.33,1945.37009674,Woodside,0.0,1.0,San Mateo,134660.639717,Residential,,1964.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1209924,-122.270804574,37.4259136085,H,0.2,1945.37009674,Woodside,0.0,1.0,San Mateo,1034096.11548,Residential,,1964.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1210114,-122.255820009,37.4202981148,H,0.33,1945.37009674,Woodside,0.0,1.0,San Mateo,193700.848068,Residential,,1964.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1210216,-122.249892331,37.4167727238,H,0.33,1945.37009674,Woodside,0.0,1.0,San Mateo,125976.657347,Residential,,1964.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1210214,-122.249838403,37.4155293134,H,0.33,1945.37009674,Woodside,0.0,1.0,San Mateo,111339.576477,Residential,,1964.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1210488,-122.257201785,37.4430156008,MH,1.0,1945.37009674,Woodside,0.0,1.0,San Mateo,51208.3559736,Residential,,1961.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1210744,-122.25053348,37.4294583625,MH,32.67,0.0,Woodside,0.0,0.0,San Mateo,25693.8797863,Retail,,1958.0,0.75,86440NANANANA,,True,False,RS,94062,950.0
1210805,-122.254047931,37.4311385607,MH,1.0,1945.37009674,Woodside,0.0,1.0,San Mateo,48079.4247747,Residential,,1961.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
1210403,-122.261649737,37.4238354575,H,0.33,1945.37009674,Woodside,0.0,1.0,San Mateo,149168.376902,Residential,,1964.0,2.0,86440NANANANA,,False,True,HS,94062,950.0
