parcel_id,x,y,vmt_res_cat,max_dua,building_sqft,juris,non_residential_sqft,residential_units,county,parcel_size,general_type,pda,year_built,max_far,zoningmodcat,tpp,retail_is_allowed,residential_is_allowed,building_type,zip5,zillow_price_per_sqft
864757,-122.360034377,38.4050288659,M,10.0,0.0,Yountville,0.0,0.0,Napa,7995.89725914,Parking,,1966.0,0.35,86930NANANANA,,False,True,PA2,94599,560.0
862570,-122.384459823,38.3892419968,MH,15.246,0.0,Yountville,0.0,0.0,Napa,1744566.68829,Parking,,1967.0,0.35,86930NANANANA,,False,False,PA2,94599,560.0
863898,-122.355624726,38.3958858658,M,10.0,0.0,Yountville,0.0,0.0,Napa,6227.99298893,Parking,,1966.0,0.4,86930NANANANA,,False,True,PA2,94599,560.0
863603,-122.368083975,38.4090576457,M,15.246,0.0,Yountville,0.0,0.0,Napa,283325.369048,Parking,,1966.0,0.35,86930NANANANA,,False,False,PA2,94599,560.0
863801,-122.361126129,38.4096527739,M,10.0,0.0,Yountville,0.0,0.0,Napa,87885.8355511,Parking,,1966.0,0.4,86930NANANANA,,False,True,PA2,94599,560.0
863826,-122.364765702,38.4044246327,M,8.0,6714.0,Yountville,6714.0,0.0,Napa,11672.069748,Retail,,1977.0,0.35,86930NANANANA,,False,True,RS,94599,560.0
864860,-122.355872239,38.4026550266,M,10.0,3130.0,Yountville,0.0,2.0,Napa,5418.48255411,Residential,,1986.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
864562,-122.355370407,38.4036966998,M,7.0,3908.0,Yountville,0.0,2.0,Napa,9127.23139604,Residential,,1977.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
864904,-122.354352268,38.4026780812,M,10.0,2704.0,Yountville,0.0,2.0,Napa,2087.36858505,Residential,,1988.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
864742,-122.360662562,38.4062955874,M,10.0,3672.0,Yountville,0.0,3.0,Napa,1648.1632857,Residential,,1983.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
864967,-122.36152111,38.4057857422,M,10.0,3168.0,Yountville,0.0,3.0,Napa,546.417442394,Residential,,1993.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
864961,-122.360991524,38.4055767647,M,10.0,3162.0,Yountville,0.0,3.0,Napa,499.513986864,Residential,,1993.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
863626,-122.366727244,38.4076909302,M,8.0,3674.0,Yountville,0.0,2.0,Napa,7331.30075711,Residential,,1989.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863905,-122.358569916,38.3995605811,M,15.246,3196.0,Yountville,3196.0,0.0,Napa,15314.9296883,Retail,,1966.0,0.35,86930NANANANA,,True,False,RS,94599,560.0
864920,-122.356295407,38.4007232029,M,10.0,2596.0,Yountville,0.0,2.0,Napa,5514.94458367,Residential,,1992.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
864168,-122.359358357,38.4013073188,M,15.246,41221.4869565,Yountville,9358.0,18.0,Napa,18966.6443993,Residential,,1988.0,0.35,86930NANANANA,,True,False,HM,94599,560.0
864932,-122.362476162,38.4052828748,M,10.0,2100.0,Yountville,0.0,2.0,Napa,777.729864232,Residential,,1988.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
864865,-122.356553291,38.4012208296,M,10.0,4056.0,Yountville,0.0,3.0,Napa,2678.37093324,Residential,,1988.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
864885,-122.355647363,38.4022043734,M,10.0,4089.0,Yountville,0.0,3.0,Napa,2165.91222956,Residential,,1988.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
862737,-122.359699557,38.3935624966,M,15.246,0.0,Yountville,0.0,0.0,Napa,3143905.73047,Parking,,1966.0,0.35,86930NANANANA,,False,False,PA2,94599,560.0
863588,-122.36336972,38.4061897593,M,7.0,3128.0,Yountville,0.0,2.0,Napa,7195.97651627,Residential,,1914.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863693,-122.364681278,38.4050597512,M,8.0,1524.0,Yountville,0.0,2.0,Napa,5223.60862751,Residential,,1991.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863664,-122.36651734,38.4068490407,M,8.0,1596.0,Yountville,0.0,2.0,Napa,3029.29104045,Residential,,1987.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863721,-122.364519761,38.4059647281,M,8.0,1200.0,Yountville,0.0,2.0,Napa,2097.71252202,Residential,,1932.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863605,-122.368385607,38.4070894044,M,10.0,0.0,Yountville,0.0,0.0,Napa,90306.5334144,Parking,,1966.0,0.35,86930NANANANA,,True,False,PA2,94599,560.0
864158,-122.358539974,38.4027412606,M,7.0,2636.0,Yountville,0.0,2.0,Napa,7719.22427346,Residential,,1974.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
864564,-122.355171117,38.4033237779,M,7.0,2754.0,Yountville,0.0,2.0,Napa,7780.11175106,Residential,,1976.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
864905,-122.354399681,38.4026173421,M,10.0,2704.0,Yountville,0.0,2.0,Napa,2045.16327472,Residential,,1988.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
863675,-122.366554809,38.4064584397,M,8.0,1811.0,Yountville,1811.0,0.0,Napa,10744.0490241,Retail,,1966.0,0.35,86930NANANANA,,False,True,RS,94599,560.0
864734,-122.359076037,38.3987528907,M,,0.0,Yountville,0.0,0.0,Napa,111369.192044,Parking,,1966.0,,86930NANANANA,,False,False,PA2,94599,560.0
864741,-122.360555643,38.4063461772,M,10.0,2308.0,Yountville,0.0,2.0,Napa,1542.73475003,Residential,,1983.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
864892,-122.355284047,38.4020409399,M,10.0,0.0,Yountville,0.0,0.0,Napa,122859.16134,Vacant,,,0.35,86930NANANANA,,False,True,,94599,560.0
863850,-122.363070151,38.4034503748,M,8.0,0.0,Yountville,0.0,0.0,Napa,5809.92523288,Parking,,1966.0,0.35,86930NANANANA,,False,True,PA2,94599,560.0
863638,-122.366891675,38.4090155942,M,8.0,12391.3560386,Yountville,0.0,7.0,Napa,7447.44307917,Residential,,1988.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863681,-122.365626875,38.4057654911,M,8.0,8850.96859903,Yountville,0.0,5.0,Napa,8727.74356701,Residential,,1988.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
863679,-122.365832944,38.4060888623,M,8.0,0.0,Yountville,0.0,0.0,Napa,292.831201741,Vacant,,,0.35,86930NANANANA,,False,True,,94599,560.0
864929,-122.362620644,38.4050310487,M,10.0,2100.0,Yountville,0.0,2.0,Napa,825.676877098,Residential,,1988.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
864744,-122.360439484,38.4060000811,M,10.0,2308.0,Yountville,0.0,2.0,Napa,1675.57677166,Residential,,1983.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
864745,-122.36040615,38.4059135961,M,10.0,2308.0,Yountville,0.0,2.0,Napa,1651.45930225,Residential,,1983.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
864794,-122.358248159,38.4070751958,M,10.0,2308.0,Yountville,0.0,2.0,Napa,1414.10871501,Residential,,1981.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
863719,-122.364545665,38.406653438,M,8.0,0.0,Yountville,0.0,0.0,Napa,13572.6514676,Vacant,,,0.35,86930NANANANA,,False,True,,94599,560.0
864817,-122.357971151,38.4063909072,M,10.0,0.0,Yountville,0.0,0.0,Napa,157613.191572,Vacant,,,0.35,86930NANANANA,,False,True,,94599,560.0
864950,-122.361373161,38.4055148356,M,10.0,4266.0,Yountville,0.0,3.0,Napa,1051.91757837,Residential,,1993.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
864988,-122.366427573,38.4054143333,M,8.0,2442.0,Yountville,2442.0,0.0,Napa,10088.6127646,Retail,,1918.0,0.35,86930NANANANA,,False,True,RS,94599,560.0
863666,-122.366107451,38.4070507851,M,8.0,12391.3560386,Yountville,0.0,7.0,Napa,9888.15798064,Residential,,1988.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863846,-122.362452373,38.4037278231,M,8.0,3952.0,Yountville,0.0,2.0,Napa,5029.48472101,Residential,,1991.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863885,-122.359413315,38.4007707571,M,15.246,9882.0,Yountville,9882.0,0.0,Napa,46872.3276389,Retail,,1966.0,0.35,86930NANANANA,,True,False,RS,94599,560.0
863907,-122.356726208,38.3985696297,M,7.0,3130.0,Yountville,0.0,1.0,Napa,78012.4201407,Residential,,1910.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
864739,-122.360305068,38.4064285454,M,10.0,2308.0,Yountville,0.0,2.0,Napa,1515.30899909,Residential,,1983.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
864524,-122.355312125,38.4043330576,M,7.0,3314.0,Yountville,0.0,2.0,Napa,6800.23051411,Residential,,1980.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863855,-122.361314394,38.4022531166,M,15.246,3382.0,Yountville,3382.0,0.0,Napa,32442.1096716,Retail,,1966.0,0.35,86930NANANANA,,True,False,RS,94599,560.0
861025,-122.364698363,38.4094888266,M,10.0,3292.0,Yountville,0.0,2.0,Napa,1647.8617807,Residential,,1986.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
863773,-122.362568883,38.4095018715,M,7.0,4992.0,Yountville,0.0,6.0,Napa,8244.98257716,Residential,,1950.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
863756,-122.363544271,38.4083735827,M,7.0,3096.0,Yountville,0.0,2.0,Napa,8332.2199555,Residential,,1990.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863680,-122.365958095,38.4056606754,M,8.0,5775.0,Yountville,0.0,5.0,Napa,6024.18358495,Residential,,1990.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
864997,-122.365948687,38.404819134,M,10.0,19472.1309179,Yountville,0.0,11.0,Napa,11043.6817859,Residential,,1988.0,0.4,86930NANANANA,,False,True,HM,94599,560.0
864554,-122.357169038,38.4028242964,M,7.0,2704.0,Yountville,0.0,2.0,Napa,6642.53880893,Residential,,1976.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
865123,-122.361781103,38.4060288289,M,10.0,0.0,Yountville,0.0,0.0,Napa,9383.17109855,Vacant,,,0.35,86930NANANANA,,False,True,,94599,560.0
864754,-122.359658246,38.4062494584,M,10.0,2308.0,Yountville,0.0,2.0,Napa,1483.37934061,Residential,,1982.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
863631,-122.367071659,38.4071121752,M,8.0,0.0,Yountville,0.0,0.0,Napa,5601.06625246,Residential,,1966.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
864824,-122.358107618,38.3997870775,M,7.0,5052.0,Yountville,0.0,2.0,Napa,10245.0596276,Residential,,1992.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863859,-122.362829531,38.4031666314,M,8.0,2124.0,Yountville,2124.0,0.0,Napa,3435.48868597,Retail,,1966.0,0.35,86930NANANANA,,False,True,RS,94599,560.0
864834,-122.358606014,38.4011058929,M,7.0,2871.0,Yountville,0.0,3.0,Napa,3834.20377259,Residential,,1988.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863678,-122.365939345,38.4068025637,M,8.0,5604.0,Yountville,0.0,6.0,Napa,9815.86220738,Residential,,1942.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
864156,-122.358290178,38.4024350732,M,7.0,2464.0,Yountville,0.0,2.0,Napa,6407.23648026,Residential,,1973.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
862733,-122.363015347,38.4005230769,M,15.246,0.0,Yountville,0.0,0.0,Napa,222763.31509,Vacant,,,0.35,86930NANANANA,,False,False,,94599,560.0
864898,-122.354668501,38.4032269062,M,,3332.0,Yountville,0.0,2.0,Napa,5942.86130928,Residential,,1986.0,,86930NANANANA,,False,False,HS,94599,560.0
864811,-122.35769818,38.4054583875,M,10.0,3462.0,Yountville,0.0,3.0,Napa,1477.23528356,Residential,,1981.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
864993,-122.367021218,38.405257888,M,10.0,7080.77487923,Yountville,0.0,4.0,Napa,6226.93621099,Residential,,1988.0,0.4,86930NANANANA,,False,True,HM,94599,560.0
861018,-122.365361261,38.4096386837,M,10.0,3064.0,Yountville,0.0,2.0,Napa,2778.70087876,Residential,,1986.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
863774,-122.36243623,38.4096070013,M,7.0,3328.0,Yountville,0.0,4.0,Napa,7965.73826109,Residential,,1950.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
863828,-122.363179996,38.4047868478,M,8.0,0.0,Yountville,0.0,0.0,Napa,15972.1042776,Retail,,1954.0,0.35,86930NANANANA,,False,True,RS,94599,560.0
863728,-122.364321156,38.4063358161,M,8.0,12558.0,Yountville,0.0,7.0,Napa,7639.62218417,Residential,,1991.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863660,-122.367309402,38.4063903222,M,8.0,7524.0,Yountville,7524.0,0.0,Napa,33943.6717422,Retail,,1966.0,0.35,86930NANANANA,,False,True,RS,94599,560.0
863645,-122.365266605,38.4078970126,M,8.0,6860.0,Yountville,0.0,7.0,Napa,6372.69063419,Residential,,1978.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
864570,-122.356479101,38.4026792674,M,7.0,3326.0,Yountville,0.0,2.0,Napa,6642.62290551,Residential,,1977.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
861027,-122.364937796,38.409391668,M,10.0,3292.0,Yountville,0.0,2.0,Napa,1633.48446391,Residential,,1986.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
863682,-122.365341906,38.405930859,M,8.0,13146.0,Yountville,0.0,7.0,Napa,5982.872606,Residential,,1922.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
864917,-122.356664184,38.4005378617,M,10.0,3894.0,Yountville,0.0,3.0,Napa,5138.59605784,Residential,,1992.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863904,-122.358065758,38.3989618854,M,15.246,3582.0,Yountville,3582.0,0.0,Napa,24052.369055,Retail,,1966.0,0.35,86930NANANANA,,True,False,RS,94599,560.0
863639,-122.366378857,38.4092592892,M,8.0,14161.5497585,Yountville,0.0,8.0,Napa,8592.39930246,Residential,,1988.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863640,-122.366280978,38.4091222691,M,8.0,14161.5497585,Yountville,0.0,8.0,Napa,8648.63006054,Residential,,1988.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863725,-122.364746894,38.4060284528,M,8.0,1644.0,Yountville,0.0,2.0,Napa,5583.61318114,Residential,,1930.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863582,-122.363269597,38.4060787852,M,7.0,12391.3560386,Yountville,0.0,7.0,Napa,5867.91955328,Residential,,1988.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
863674,-122.366222276,38.4062719939,M,8.0,2670.0,Yountville,2670.0,0.0,Napa,22104.6905749,Retail,,1966.0,0.35,86930NANANANA,,False,True,RS,94599,560.0
864939,-122.361850527,38.4053907933,M,10.0,2108.0,Yountville,0.0,2.0,Napa,640.028717213,Residential,,1993.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
863635,-122.366588236,38.4085533033,M,8.0,0.0,Yountville,0.0,0.0,Napa,14465.4356179,Parking,,1909.0,0.35,86930NANANANA,,False,True,PA2,94599,560.0
863662,-122.366829685,38.4066954433,M,8.0,1608.0,Yountville,1608.0,0.0,Napa,8506.68944032,Retail,,1966.0,0.35,86930NANANANA,,False,True,RS,94599,560.0
864827,-122.359064089,38.4012077816,M,7.0,2382.0,Yountville,0.0,2.0,Napa,4657.87673933,Residential,,1987.0,0.35,86930NANANANA,,False,True,HS,94599,560.0
864942,-122.362357824,38.4053252137,M,10.0,2112.0,Yountville,0.0,2.0,Napa,426.203241366,Residential,,1993.0,0.35,86930NANANANA,,False,True,HM,94599,560.0
864816,-122.358415197,38.4050794835,M,10.0,0.0,Yountville,0.0,0.0,Napa,22927.3211924,Retail,,1966.0,0.35,86930NANANANA,,False,True,RS,94599,560.0
