parcel_id,max_built_dua,max_built_non_res_far
190030,46.0,
264637,19.0,
1323146,63.0,
993980,87.0,
1414704,86.0,
1361496,61.0,
64234,26.0,
1361493,61.0,
1436103,61.0,
264585,43.0,
63990,26.0,
1547171,135.0,
1926043,47.0,
1873131,37.0,
1873077,34.0,
15998,80.0,
266150,45.0,
1385263,109.0,
993622,87.0,
757852,62.0,
1547161,85.0,
1873327,34.0,
1408002,87.0,
7466,81.0,
7459,81.0,
255354,43.0,
255453,43.0,
255535,43.0,
256592,153.0,
65051,31.0,
994018,87.0,
64505,84.0,
263733,153.0,
7396,81.0,
1047704,90.0,
1117245,28.0,
1323126,59.0,
263811,151.0,
64827,84.0,
1048836,99.0,
897774,221.0,
65043,61.0,
1050850,46.0,
63360,83.0,
1873061,37.0,
62093,107.0,
1360334,167.0,
61999,116.0,
993388,87.0,
6892,201.0,
61933,107.0,
61853,111.0,
6868,107.0,
62098,109.0,
1360305,168.0,
6859,198.0,
61711,105.0,
61688,109.0,
6844,80.0,
6833,86.0,
303759,44.0,
1397938,74.0,
16359,86.0,
1679149,62.0,
303166,46.0,
993497,87.0,
993538,87.0,
1053725,138.0,
898304,207.0,
7069,83.0,
266618,46.0,
993614,87.0,
993611,87.0,
993590,87.0,
267497,42.0,
993557,87.0,
62753,115.0,
269097,49.0,
993544,87.0,
269341,43.0,
62408,107.0,
1408012,82.0,
62179,104.0,
269351,50.0,
1872966,27.0,
993542,87.0,
65091,62.0,
15648,87.0,
255023,16.0,
7486,86.0,
1407565,181.0,
995545,87.0,
995514,87.0,
8010,79.0,
67770,55.0,
908922,122.0,
1398568,79.0,
995485,87.0,
1392633,274.0,
995229,88.0,
67733,54.0,
7932,275.0,
1322997,60.0,
995017,87.0,
995009,87.0,
995006,87.0,
1113872,105.0,
758790,58.0,
892027,221.0,
67864,61.0,
843001,45.0,
1876204,25.0,
1434125,94.0,
1434128,92.0,
1417683,46.0,
1925918,46.0,
995797,87.0,
995795,87.0,
1398627,78.0,
995792,87.0,
1878220,23.0,
995774,87.0,
995768,87.0,
995744,87.0,
995735,87.0,
250052,36.0,
250053,36.0,
8111,274.0,
8105,276.0,
995718,87.0,
1925922,46.0,
7901,111.0,
993379,87.0,
994985,87.0,
994968,87.0,
254511,16.0,
994312,87.0,
1547285,84.0,
994310,87.0,
994293,87.0,
67195,54.0,
254714,19.0,
1562053,26.0,
254473,19.0,
7554,105.0,
7542,196.0,
65541,64.0,
994237,87.0,
7537,200.0,
254819,21.0,
892199,218.0,
1547277,88.0,
254978,17.0,
65961,21.0,
67201,54.0,
67215,50.0,
15594,80.0,
892093,212.0,
67663,65.0,
7829,81.0,
994961,87.0,
994887,87.0,
994883,87.0,
897716,208.0,
994856,87.0,
67623,60.0,
1549781,104.0,
892125,201.0,
67498,54.0,
67348,54.0,
15575,86.0,
1434134,94.0,
67260,98.0,
67217,56.0,
994401,62.0,
994340,88.0,
67712,54.0,
306603,46.0,
993373,87.0,
993372,87.0,
56380,37.0,
1549966,107.0,
973204,214.0,
1466979,45.0,
992396,93.0,
1073202,52.0,
1871486,27.0,
1871482,26.0,
992462,92.0,
973208,220.0,
1397619,108.0,
1472190,46.0,
1357473,198.0,
314211,66.0,
56279,62.0,
16886,54.0,
314219,56.0,
314225,66.0,
973218,276.0,
973195,215.0,
992516,89.0,
56519,35.0,
992724,87.0,
992723,87.0,
1452045,46.0,
1558826,58.0,
992718,87.0,
6269,213.0,
1397695,107.0,
1871806,40.0,
6264,212.0,
58994,104.0,
58823,110.0,
992681,92.0,
992680,92.0,
992677,87.0,
992676,87.0,
1871680,36.0,
58822,110.0,
1453131,45.0,
1072132,28.0,
