pda,max_built_dua
aca1,29.0
ala1,0.0
ala2,0.0
alb1,0.0
alc1,0.0
alc2,2.0
alc3,8.44
alc4,26.0
ant1,31.0
ant2,18.0
bel1,0.0
ben1,0.806277407897
ben2,0.0
ber1,0.0
ber2,58.2
ber3,94.0
ber4,0.0
ber5,0.0
ber6,71.0
bur1,0.0
cam1,22.0
ccc1,0.0
ccc2,1.1
ccc3_a,0.0
ccc3_b,0.0
ccc4,0.0
ccg1_b,26.0
ccg1_c,63.0
ccg1_k,1.11193217791
ccg1_l,78.152
clo1,0.0
con1_a,0.0
con1_b,41.0
con2,41.0
cot1,34.0
dal1,83.55
dal2,0.0
dan1,26.0
dix1,34.5
dub1,8.508
dub2,0.0
dub3,27.508
elc1_a,0.0
elc1_b,0.0
eme1,0.0
epa1,0.0
fai1,62.864
fai2,5.932
fai3,22.0
fai4,11.0
fre1,16.0
fre2,0.0
fre3,37.0
fre4,0.0
gil1,0.0
hay1,1.0
hay2,93.0
hay3_a,6.0
hay3_b,50.0
hay4,20.0
her1,0.0
her2,0.0
laf1,22.0
liv1,47.32
liv2,0.0
liv3,0.0
mar1,13.0
mco1,10.0
men1,23.44
mil1,43.0
moh1,51.0
mor1,20.0
mpt1,8.66
mvw1,55.0
mvw2,0.0
mvw3,0.0
mvw4,0.0
mvw6,104.0
nap1,9.0
new1,22.0
new2,0.0
oak1,0.0
oak2,6.44
oak3,40.5
okd1,16.0
okd1_a,0.0
okd1_b,0.0
okd2,0.0
okd3,0.0
okd4,0.0
okd5,39.0
okd6,0.0
okd7,18.0
okd8,0.0
ori1,30.932
pal1,37.0
pet1,63.0
pin1,0.0
pin2,0.0
pit1,26.0
pit2,0.0
ple1,12.8190641923
plh1,0.0
plh2,0.0
ric1_a,1.88
ric1_b,0.0
ric2,0.0
roh1,73.0
roh2,44.0
rwc1,0.0
rwc2,0.0
rwc3,123.44
sar1,0.0
sar2,28.0
sbr1,30.0
sca1,0.0
scl1,37.0
scl2,102.0
seb1,0.0
sfo1,0.0
sfo10,159.592
sfo11,77.64
sfo12,0.0
sfo2,0.0
sfo3,0.0
sfo4,0.0
sfo5,0.0
sfo6,0.0
sfo7,0.0
sfo8,74.0
sfo9_a,0.0
sfo9_b,46.0935107258
sjo1,0.0
sjo10,61.508
sjo11,53.508
sjo12,54.0
sjo13,0.0
sjo14,55.508
sjo15,0.0
sjo16,0.0
sjo17,84.0
sjo18,81.0
sjo19,53.0
sjo2,0.0
sjo3,0.0
sjo4,0.0
sjo5,0.0
sjo6,0.0
sjo7,0.0
sjo8,0.0
sjo9,55.0
sle1,40.3
sle2,1.44
sle3,35.0
sma1,47.0
sma2,43.0
sma3,42.0
sma4,0.0
spa1,0.0
spa2,0.0
sra1,6.0
sro1,0.0
sro2,0.0
sro3,0.0
sro4,0.0
sro5,0.0
ssf1,26.0
sui1,55.0
sun1,199.0
sun2,156.0
sun3,107.0
sun6,0.0
sun8,73.0
uni1,0.0
vac1,22.0
vac2,22.0
val1,70.6
val2,61.0
vta1_b,19.728
vta1_c,78.0
vta1_d,0.0
vta1_f,0.0
vta1_i,0.0
wal1,0.0
wcc1_a,0.0
wcc1_c,2.88137079169
wcc1_g,0.0
win1,41.0
