zoningmodcat,max_built_dua,max_built_non_res_far
00001ALA2NANANA,19.0,
00001ALA2brt2exp0NA,19.0,
00001ALC1bart3NANA,85.0,14.4
00001ALC2NANANA,45.0,0.9
00001ALC2b1NANA,46.0,0.9
00001ALC2b2NANA,44.0,0.8
00001ALC2b3NANA,58.0,0.9
00001ALC2bart1NANA,44.0,0.9
00001ALC3b3NANA,52.0,0.9
00001ALC3b3ubzNA,56.0,0.9
00001ALC4NANANA,48.0,
00001ALC4b2NANA,38.0,3.0
00001ALC4b3NANA,48.0,0.9
00001ALC4bart2NANA,29.0,
00001LIV2NAexp1NA,19.0,
00001LIV2NAubz_npNA,19.0,
00001LIV3NAubzNA,111.0,
00001NANANANA,77.0,1.7
00001NANAexp0NA,7.0,
00001NANAexp1NA,8.0,0.2
00001NANAexp1_npNA,12.0,
00001NANAexp2_npNA,8.0,
00001NANAexp3_auNA,8.0,0.2
00001NANAexpmax_npNA,,0.4
00001NANAubzNA,22.0,0.4
00001NANAubz_npNA,8.0,
00001NAb1NANA,26.0,0.9
00001NAb2NANA,27.0,0.9
00001NAb2ubzNA,10.0,
00001NAb3NANA,33.0,0.9
00001NAb3exp0NA,4.0,
00001NAb3ubzNA,33.0,0.9
00001NAbart2NANA,22.0,
00001NAbart3NANA,75.0,1.7
00001NAbrt2exp0NA,,1.7
00001OKD2NAexp0NA,59.0,
00001OKD5NANANA,56.0,
00001SLE1bart1NANA,58.0,
00013CCC1bart3NANA,60.0,1.3
00013CCC2NANANA,51.0,0.9
00013CCC2b3NANA,49.0,
00013CCC3_ab2NANA,47.0,1.3
00013CCC3_ab3NANA,47.0,
00013CCC3_abart3NANA,75.0,1.3
00013CCC4NANANA,56.0,1.3
00013CCC4b3NANA,74.0,0.9
00013HER1NANANA,24.0,
00013NANANANA,75.0,1.7
00013NANAexp0NA,3.0,
00013NANAexp1NA,12.0,
00013NANAexp1_npNA,11.0,
00013NANAexp2_npNA,13.0,
00013NANAexp3_auNA,8.0,0.9
00013NANAexpmax_npNA,8.0,
00013NANAubzNA,74.0,0.9
00013NANAubz_npNA,75.0,0.9
00013NAb2NANA,21.0,0.9
00013NAb2ubzNA,7.0,
00013NAb3NANA,29.0,1.3
00013NAb3ubzNA,56.0,
00013NAbart3NANA,40.0,1.3
00013NAbrt1NANA,8.0,
00013PIT2NANANA,37.0,
00013PIT2NAubzNA,56.0,
00013WCC1_aNANANA,43.0,1.3
