zoningmodcat,max_built_dua
00001ALC1bart3NANA,85.0
00001ALC2NANANA,45.0
00001ALC2b1NANA,42.0
00001ALC2b2NANA,41.0
00001ALC2b3NANA,43.0
00001ALC2bart1NANA,43.0
00001ALC3b3NANA,52.0
00001ALC3b3ubzNA,50.0
00001ALC4NANANA,48.0
00001ALC4b2NANA,25.0
00001ALC4b3NANA,48.0
00001NANANANA,57.0
00001NANAubzNA,8.0
00001NAb3NANA,20.0
00001NAb3ubzNA,15.0
00013CCC1bart3NANA,15.0
00013CCC2NANANA,42.0
00013CCC2b3NANA,44.0
00013CCC3_ab2NANA,48.0
00013CCC3_ab3NANA,39.0
00013CCC3_abart3NANA,46.0
00013CCC4NANANA,44.0
00013CCC4b3NANA,36.0
00013NAbart3NANA,8.0
00013WCC1_aNANANA,33.0
00013WCC1_aNAubzNA,18.0
00013WCC1_ab2NANA,18.0
00041MCO1b2NANA,39.0
00041MCO1cr4NANA,40.0
00041NANANANA,27.0
00041NANAubzNA,2.0
00041NAb2NANA,27.0
00041NAb3NANA,6.0
00081BEL1cr3ubzNA,102.0
00081CCG1_kbart2ubzNA,55.0
00081CCG1_lNANANA,113.0
00081DAL1bart2ubzNA,33.0
00081NANANANA,73.0
00081NANAubzNA,74.0
00081NAb2NANA,14.0
00081NAb3ubzNA,5.0
00081NAbrt2NANA,22.0
00081NAcr3ubzNA,103.0
00085MVW2NAexp0NA,74.0
00085NANANANA,23.0
00085NANAubzNA,111.0
00085NAb2NANA,26.0
00085NAb2ubzNA,32.0
00085SJO14b2NANA,19.0
00085SJO7lrt2NANA,97.0
00095FAI2NAubzNA,9.0
00095FAI2NAubz_npNA,2.0
00095NANANANA,4.0
00095NANAexp0NA,6.0
00095NANAubzNA,16.0
00097NANANANA,44.0
00097NANAexp0NA,41.0
00097NANAubzNA,74.0
00097NANAubz_npNA,40.0
00097SEB1NAubzNA,14.0
00097SRO1b2ubzNA,24.0
00097SRO2NAubzNA,85.0
00097SRO2b2ubzNA,17.0
00097SRO2b3ubzNA,17.0
00097SRO3b2NANA,42.0
00097SRO3b2ubzNA,42.0
00097SRO3b3NANA,44.0
00097SRO4b3ubzNA,61.0
00097SRO5NANANA,12.0
00097SRO5NAubzNA,8.0
00097SRO5b2NANA,16.0
00097SRO5b3NANA,12.0
00562ALA2NANANA,111.0
00562ALA2brt2NANA,37.0
00562NAb3NANA,102.0
00562NAbrt2NANA,111.0
00674ALB1b2NANA,46.0
00674ALB1bart2NANA,63.0
00674ALB1brt1NANA,63.0
00674NAbart2NANA,48.0
00674NAbrt1NANA,52.0
01640ACA1NANANA,41.0
01640NANANANA,11.0
02252ANT1bart3NANA,37.0
02252ANT2NANANA,38.0
02252ANT2b3NANA,37.0
02252NANANANA,40.0
02252NAb2NANA,27.0
02252NAb3NANA,21.0
05108BEL1b2NANA,56.0
05108BEL1cr3NANA,63.0
05108NANANANA,26.0
05108NAb2NANA,7.0
05108NAb3NANA,29.0
05290BEN1NANANA,79.0
05290NANANANA,127.0
06000BER1bart2NANA,28.0
06000BER2bart2NANA,276.0
06000BER3brt1NANA,134.0
06000BER4brt2NANA,26.0
06000BER5brt2NANA,24.0
06000BER6bart2NANA,25.0
06000BER6brt1NANA,111.0
06000NANANANA,20.0
06000NAb2NANA,6.0
06000NAb3NANA,28.0
06000NAbart2NANA,34.0
06000NAbrt1NANA,32.0
06000NAbrt2NANA,26.0
08142NANANANA,111.0
08142NAb2NANA,109.0
08142NAb3NANA,41.0
08310NANANANA,17.0
08310NAb3NANA,30.0
09066BUR1b3NANA,64.0
09066BUR1brt2NANA,49.0
09066BUR1cr3NANA,109.0
09892NANANANA,20.0
10345CAM1lrt3NANA,49.0
10345NANANANA,6.0
10345NAb2NANA,23.0
10345NAb3NANA,17.0
10345NAlrt3NANA,18.0
10345SJO7lrt3NANA,16.0
13882NANANANA,18.0
14190CLO1NANANA,67.0
14190NANANANA,6.0
14736CCG1_bb2NANA,56.0
14736NAb1NANA,31.0
16000CON1_bNANANA,41.0
16000CON2NANANA,139.0
16000CON2b2NANA,140.0
16000CON2bart3NANA,141.0
16000NANANANA,74.0
16000NAb2NANA,7.0
16000NAb3NANA,30.0
16000NAbart3NANA,6.0
16462NAb3NANA,27.0
16560COT1NANANA,49.0
16560COT1cr4NANA,47.0
16560NANANANA,15.0
16560NAcr4NANA,7.0
17610NANANANA,23.0
17610NAb3NANA,6.0
17610NAlrt2NANA,12.0
17610VTA1_bNANANA,46.0
17610VTA1_blrt2NANA,72.0
17918DAL1b1NANA,17.0
17918DAL1bart1NANA,108.0
17918DAL1bart2NANA,138.0
