,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
52,52,True,,,,,,,230000.0,4.0,,0,,,office,1.03658712249e+12,,647.0,Alameda County,,,,,,,,,,,0.0,230000.0,,,187322,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,6.0,,False,,,,,,,,M,-122.088727013,37.6976673855,2012.0,
165,165,True,,,,,,,26400.0,10.0,,0,,,retail,3.53632018097e+12,,59.0,Alameda County,,,,,,,,,,,0.0,26400.0,,,186282,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.075673717,37.6977540078,2014.0,
186,186,True,,,,,,,21000.0,4.0,,0,,,office,4.0427418793e+12,,59.0,Alameda County,,,,,,,,,,,0.0,21000.0,,,186752,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,M,-122.086295396,37.6961390958,2012.0,
249,249,True,,,,,,,1000.0,8.0,,0,,,industrial,5.3086716007e+12,,1.0,Alameda County,,,,,,,,,,,0.0,1000.0,,,217789,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.887015648,37.592875849,2011.0,
304,304,True,,,,,,,80000.0,4.0,,0,,,office,6.33037877667e+12,,225.0,Alameda County,,,,,,,,,,,0.0,80000.0,,,187323,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,M,-122.088651458,37.6984781875,2012.0,
354,354,True,,,,,,,47782.0,4.0,,0,,,office,7.68215012621e+12,,134.0,Alameda County,,,,,,,,,,,0.0,47782.0,,,174237,,,,alc2,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.117254123,37.6981890916,2014.0,
607,607,True,,,,,,,2212.0,10.0,,0,,,retail,1.35054440684e+13,,4.0,Alameda County,,,,,,,,,,,0.0,2212.0,,,252341,,,,alc3,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.129076037,37.6884914731,2012.0,
631,631,True,,,,,,,32000.0,4.0,,0,,,office,1.41165451373e+13,,90.0,Alameda County,,,,,,,,,,,0.0,32000.0,,,176777,,,,alc2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.115920404,37.6956355226,2013.0,
698,698,True,,,,,,,1079510.0,3.0,,0,,,residential,1.5350814397e+13,,0.0,Alameda County,,,,,,,,,,,0.0,0.0,,,372615,,,,,,,,,,2012.0,,,0.0,,0.0,1167.0,,1.0,,False,,,,,,,,M,-121.852771392,37.6977569757,2013.0,
699,699,True,,,,,,,985000.0,3.0,,0,,,residential,1.5350814397e+13,,0.0,Alameda County,,,,,,,,,,,0.0,0.0,,,372615,,,,,,,,,,2012.0,,,0.0,,0.0,1064.0,,1.0,,False,,,,,,,,M,-121.852771392,37.6977569757,2013.0,
700,700,True,,,,,,,70016.0,3.0,,0,,,residential,1.5350814397e+13,,0.0,Alameda County,,,,,,,,,,,0.0,0.0,,,372615,,,,,,,,,,2012.0,,,0.0,,0.0,75.0,,1.0,,False,,,,,,,,M,-121.852771392,37.6977569757,2014.0,
701,701,True,,,,,,,7600.0,4.0,,0,,,office,1.5350814397e+13,,21.0,Alameda County,,,,,,,,,,,0.0,7600.0,,,372615,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.852771392,37.6977569757,2014.0,
854,854,True,,,,,,,74391.0,3.0,,0,,,residential,1.1591925206e+12,,0.0,Alameda County,,,,,,,,,,,0.0,0.0,,,176795,,,,alc2,,,,,,2012.0,,,0.0,,0.0,80.0,,4.0,,False,,,,,,,,S,-122.114786999,37.6948605562,2015.0,
925,925,True,,,,,,,367734.0,8.0,,0,,,industrial,2.6897796106e+12,,383.0,Alameda County,,,,,,,,,,,0.0,367734.0,,,358981,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.810847415,37.6781666642,2016.0,
983,983,True,,,,,,,65450.0,3.0,,0,,,residential,4.48728632069e+12,,0.0,Alameda County,,,,,,,,,,,0.0,0.0,,,250095,,,,alc3,,,,,,2012.0,,,0.0,,0.0,70.0,,1.0,,False,,,,,,,,M,-122.127294602,37.6822599269,2016.0,
1549,1549,,,,,,,,14878.2,10.0,,0,,,retail,,,33.0,Alameda County,,,,,,,,,,33.0,0.0,14878.2,,,176795,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.114786999,37.6948605562,2015.0,
1702,1702,True,,,,,,,114384.0,12.0,,0,,,residential,1.09424177299e+13,,14.0,Alameda County,,,,,,,,,,,0.0,5719.0,,,177366,,,,alc2,,,,,,2012.0,,,0.0,,0.0,91.0,,1.0,,False,,,,,,,,S,-122.129159074,37.6973188835,2020.0,
1742,1742,True,,,,,,,259496.0,12.0,,0,,,residential,1.41923692711e+13,,33.0,Alameda County,,,,,,,,,,,0.0,12975.0,,,177389,,,,alc2,,,,,,2012.0,,,0.0,,0.0,205.0,,1.0,,False,,,,,,,,S,-122.128104507,37.6973875638,2020.0,
1751,1751,True,,,,,,,209454.0,12.0,,0,,,residential,1.50186155349e+13,,27.0,Alameda County,,,,,,,,,,,0.0,10473.0,,,177457,,,,alc2,,,,,,2012.0,,,0.0,,0.0,166.0,,1.0,,False,,,,,,,,S,-122.127672655,37.6964355142,2020.0,
1752,1752,True,,,,,,,153210.0,12.0,,0,,,residential,1.51117778905e+13,,20.0,Alameda County,,,,,,,,,,,0.0,7660.0,,,177390,,,,alc2,,,,,,2012.0,,,0.0,,0.0,121.0,,1.0,,False,,,,,,,,S,-122.126995092,37.6966331001,2020.0,
1768,1768,True,,,,,,,204775.0,12.0,,0,,,residential,1.66953441663e+13,,26.0,Alameda County,,,,,,,,,,,0.0,10239.0,,,177456,,,,alc2,,,,,,2012.0,,,0.0,,0.0,162.0,,1.0,,False,,,,,,,,S,-122.128488014,37.6969269511,2020.0,
