,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
28,28,True,,,,,,,486000.0,12.0,,0,,,residential,3.42554924735e+11,,78.0,Alameda,,,,,,,,,,,0.0,30000.0,,,141992,,,,ala2,,,,,,2012.0,,,0.0,,0.0,380.0,,1.0,,False,,,,,,,,S,-122.260967432,37.7773628401,2014.0,
169,169,True,,,,,,,45000.0,4.0,,0,,,office,3.73251937957e+12,,126.0,Alameda,,,,,,,,,,,0.0,45000.0,,,152663,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.252392669,37.733911131,2012.0,
382,382,True,,,,,,,22950.0,4.0,,0,,,office,8.27618637413e+12,,64.0,Alameda,,,,,,,,,,,0.0,22950.0,,,152664,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.251580821,37.7332946365,2012.0,
383,383,True,,,,,,,45000.0,4.0,,0,,,office,8.27618637413e+12,,126.0,Alameda,,,,,,,,,,,0.0,45000.0,,,152664,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.251580821,37.7332946365,2012.0,
603,603,True,,,,,,,24780.0,4.0,,0,,,office,1.33741679213e+13,,69.0,Alameda,,,,,,,,,,,0.0,24780.0,,,144148,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.286770979,37.7791258502,2011.0,
641,641,True,,,,,,,33000.0,3.0,,0,,,residential,1.43199745386e+13,,0.0,Alameda,,,,,,,,,,,0.0,0.0,,,138288,,,,,,,,,,2012.0,,,0.0,,0.0,62.0,,3.0,,False,,,,,,,,S,-122.241441684,37.7633007333,2012.0,
707,707,True,,,,,,,16778.0,10.0,,0,,,retail,1.57308312233e+13,,37.0,Alameda,,,,,,,,,,,0.0,16778.0,,,138416,,,,ala2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.239881359,37.7670437159,2014.0,
725,725,True,,,,,,,140194.0,10.0,,0,,,retail,1.59290998128e+13,,315.0,Alameda,,,,,,,,,,,0.0,140194.0,,,144495,,,,ala1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.280333757,37.7883571431,2013.0,
726,726,True,,,,,,,33119.0,10.0,,0,,,retail,1.59290998128e+13,,74.0,Alameda,,,,,,,,,,,0.0,33119.0,,,144495,,,,ala1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.280333757,37.7883571431,2014.0,
744,744,True,,,,,,,20000.0,4.0,,0,,,office,1.63202620139e+13,,56.0,Alameda,,,,,,,,,,,0.0,20000.0,,,152662,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.253572492,37.7342664702,2012.0,
781,781,True,,,,,,,25000.0,4.0,,0,,,office,1.68623782542e+13,,70.0,Alameda,,,,,,,,,,,0.0,25000.0,,,152665,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.250722735,37.7326651358,2012.0,
827,827,True,,,,,,,10000.0,10.0,,0,,,retail,5.04292726114e+11,,22.0,Alameda,,,,,,,,,,,0.0,10000.0,,,152677,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.277552477,37.784351629,2015.0,
1193,1193,True,,,,,,,3600000.0,3.0,,0,,,residential,1.03336201624e+13,,0.0,Alameda,,,,,,,,,,,0.0,0.0,,,144462,,,,ala1,,,,,,2012.0,,,0.0,,0.0,3000.0,,1.0,,False,,,,,,,,S,-122.294564997,37.7780967099,2018.0,
1345,1345,True,,,,,,,50000.0,10.0,,0,,,retail,1.38827623353e+13,,112.0,Alameda,,,,,,,,,,,0.0,50000.0,,,144494,,,,ala1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.282074883,37.7870345291,2015.0,
1358,1358,True,,,,,,,1710000.0,12.0,,0,,,residential,1.4380282382e+13,,0.0,Alameda,,,,,,,,,,,0.0,0.0,,,144461,,,,,,,,,,2012.0,,,0.0,,0.0,1425.0,,1.0,,False,,,,,,,,S,-122.313275905,37.780508369,2015.0,
1397,1397,True,,,,,,,7788.0,10.0,,0,,,retail,1.57308312233e+13,,17.0,Alameda,,,,,,,,,,,0.0,7788.0,,,138416,,,,ala2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.239881359,37.7670437159,2015.0,
1411,1411,True,,,,,,,58500.0,3.0,,0,,,residential,1.59290998128e+13,,0.0,Alameda,,,,,,,,,,,0.0,0.0,,,144495,,,,ala1,,,,,,2012.0,,,0.0,,0.0,63.0,,1.0,,False,,,,,,,,S,-122.280333757,37.7883571431,2015.0,
1412,1412,True,,,,,,,12900.0,10.0,,0,,,retail,1.59290998128e+13,,28.0,Alameda,,,,,,,,,,,0.0,12900.0,,,144495,,,,ala1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.280333757,37.7883571431,2015.0,
