,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
693,693,True,,,,,,,3144.0,4.0,,0,,,office,1.52259149206e+13,,8.0,Albany,,,,,,,,,,,0.0,3144.0,,,133388,,,,alb1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.29269052,37.8908746993,2011.0,
2177,2177,,1000.0,1000.0,5000442.50246,4937963.10547,626.009521484,10561641.0328,20757.3370795,3.0,0.0,1,,0.0,residential,4.12365746058e+12,1.0,0.0,Albany,Albany,674.0,5100391.73862,63.0,,,-111780.394264,2.0,2.06611570248,15.0,0.0,0.0,1995.0,,132263,10378.6685398,surface,0.0,alb1,alb1,1.0,1.0,568236.084707,OBAG,2012.0,1.0,726.878335135,0.0,726.878335135,14530.1359557,15.0,9.90017236331e-08,7.0,1.0,True,0.0,10000.0,19.0,10100834.2411,0.0,11600.0,bart2,S,-122.301822732,37.8977205719,2025.0,00674ALB1bart2NANA
2181,2181,,1000.0,1000.0,3057287.81816,4218954.07478,1062.75166626,7421511.47325,13966.5957888,3.0,0.0,0,,0.0,residential,2.50885435835e+12,0.0,0.0,Albany,Albany,674.0,4405175.35197,54.45,,,-42610.32251,1.5,1.78571428571,10.0,0.0,0.0,1977.0,,131239,9311.06385918,surface,0.0,alb1,alb1,1.0,1.0,0.0,OBAG,2012.0,1.0,759.108333043,0.0,759.108333043,9776.61705214,10.0,1.34004011437e-07,4.0,1.0,True,0.0,10000.0,19.0,7462463.17013,0.0,5838.0,brt1,S,-122.296749785,37.8901455326,2025.0,00674ALB1brt1NANA
2230,2230,,1000.0,1000.0,23881038.8828,22898826.4021,1009.73747253,50585306.1017,99132.5814976,3.0,0.0,6,,0.0,residential,8.23096323076e+11,6.0,0.0,Albany,Albany,674.0,23890152.2171,63.0,,,-632473.535103,2.0,2.06611570248,69.0,0.0,0.0,1951.0,,132548,49566.2907488,surface,0.0,alb1,alb1,1.0,1.0,3421969.22518,OBAG,2012.0,1.0,728.970454625,0.0,728.970454625,69392.8070483,69.0,2.09331184125e-08,7.0,1.0,True,0.0,10000.0,19.0,47771191.0999,0.0,33350.0,bart2,S,-122.301420863,37.8963428503,2025.0,00674ALB1bart2NANA
2235,2235,,1000.0,1000.0,6157233.06195,6261389.12659,1023.10279846,13134015.3955,25559.290419,3.0,0.0,1,,0.0,residential,1.30292709746e+13,1.0,0.0,Albany,Albany,674.0,6516982.03078,63.0,,,-120333.827304,2.0,2.06611570248,18.0,0.0,0.0,1947.0,,132945,12779.6452095,surface,0.0,alb1,alb1,1.0,1.0,575450.082684,OBAG,2012.0,1.0,734.092333112,0.0,734.092333112,17891.5032933,18.0,7.89003494642e-08,7.0,1.0,True,0.0,10000.0,19.0,12674215.0927,0.0,9000.0,brt1,S,-122.299919442,37.8944343219,2025.0,00674ALB1brt1NANA
2237,2237,,1000.0,1000.0,1093749.69587,1550480.26555,622.983070374,2680572.17348,4996.57238861,3.0,0.0,0,,0.0,residential,4.43263424986e+12,0.0,0.0,Albany,Albany,674.0,1602359.93235,54.45,,,-16166.7527213,1.5,1.78571428571,3.0,0.0,0.0,1946.0,,133383,3331.04825907,surface,0.0,alb1,alb1,1.0,1.0,0.0,OBAG,2012.0,1.0,766.403150286,0.0,766.403150286,3497.60067202,3.0,3.70904799099e-07,4.0,1.0,True,0.0,10000.0,19.0,2696109.62821,0.0,3660.0,brt1,S,-122.29207346,37.8908971538,2025.0,00674ALB1brt1NANA
3554,3554,,1000.0,1000.0,2414644.57779,2859930.21539,1055.66760254,5290705.79581,10023.4312071,3.0,0.0,0,,0.0,residential,1.75298988514e+13,0.0,0.0,Albany,Albany,674.0,2960164.52746,63.0,,,-87509.66168,2.0,2.06611570248,7.0,0.0,0.0,1928.0,,131608,5011.71560356,surface,0.0,alb1,alb1,1.0,1.0,0.0,OBAG,2012.0,1.0,754.048287528,0.0,754.048287528,7016.40184498,7.0,1.86053119361e-07,7.0,1.0,True,0.0,12501.38024,19.0,5374809.10526,0.0,3984.0,brt1,S,-122.298860934,37.888903093,2025.0,00674ALB1brt1NANA
3953,3953,,1000.0,1000.0,3593448.23792,3608007.88385,1042.41531372,7788230.85667,14916.7631296,3.0,0.0,1,,0.0,residential,6.44513297619e+12,1.0,0.0,Albany,Albany,674.0,3757175.51515,63.0,,,-155686.019769,2.0,2.06611570248,10.0,0.0,0.0,1940.0,,132925,7458.3815648,surface,0.0,alb1,alb1,1.0,1.0,587232.976273,OBAG,2012.0,1.0,745.875226702,0.0,745.875226702,10441.7341907,10.0,1.36042876577e-07,7.0,1.0,True,0.0,15568.6019769,19.0,7350623.75307,0.0,5090.0,brt1,S,-122.299202837,37.892208769,2025.0,00674ALB1brt1NANA
4316,4316,,1000.0,1000.0,4868804.07848,4937963.10547,626.009521484,10283602.0833,20210.8928123,3.0,0.0,1,,0.0,residential,6.77467516405e+12,1.0,0.0,Albany,Albany,674.0,5096115.7472,63.0,,,-259661.25619,2.0,2.06611570248,14.0,0.0,0.0,1995.0,,132264,10105.4464061,surface,0.0,alb1,alb1,1.0,1.0,568236.084707,OBAG,2012.0,1.0,726.878335135,0.0,726.878335135,14147.6249686,14.0,1.00352036694e-07,7.0,1.0,True,0.0,18547.232585,19.0,9964919.82568,0.0,11600.0,bart2,S,-122.301767905,37.8975672065,2025.0,00674ALB1bart2NANA
4641,4641,,,,,,,,999.314477721,10.0,,0,,,retail,,,2.0,Albany,,,,,,,,,,2.0,0.0,999.314477721,,,133383,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.29207346,37.8908971538,2025.0,
