,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
328,328,True,,,,,,,14820.0,10.0,,0,,,retail,6.94082580148e+12,,33.0,American Canyon,,,,,,,,,,,0.0,14820.0,,,885537,,,,aca1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.251502196,38.164878427,2011.0,
329,329,True,,,,,,,3928.0,10.0,,0,,,retail,6.94082580148e+12,,8.0,American Canyon,,,,,,,,,,,0.0,3928.0,,,885537,,,,aca1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.251502196,38.164878427,2012.0,
845,845,True,,,,,,,150925.0,8.0,,0,,,industrial,8.93806683327e+11,,157.0,American Canyon,,,,,,,,,,,0.0,150925.0,,,884556,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.261467467,38.1896353583,2015.0,
1120,1120,True,,,,,,,136275.0,8.0,,0,,,industrial,8.46812699308e+12,,141.0,American Canyon,,,,,,,,,,,0.0,136275.0,,,884553,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.258631435,38.1897790644,2015.0,
6625,6625,,,1903.0,8117332.55262,1608304.09309,711.324234009,17368411.6925,37082.3780385,2.0,0.0,1,,0.0,residential,1.1289279393e+13,1.0,0.0,American Canyon,,,2267743.94693,21.78,,,6238132.69288,1.0,1.11941176471,17.0,0.0,0.0,1991.0,,883639,37082.3780385,surface,0.0,aca1,,,,806966.190116,,2012.0,,551.027916802,0.0,551.027916802,31520.0213327,17.0,0.600682401632,2.0,,False,0.0,,27.0,10385076.4995,0.0,3325.0,,M,-122.254640492,38.1712390835,2030.0,
6711,6711,,,1000.0,20633145.0638,0.0,150.0,45808455.8457,94258.3145903,3.0,0.0,8,,0.0,residential,1.16651680457e+13,8.0,0.0,American Canyon,,,471291.572951,50.624922861,,,22283760.6828,1.0,1.3672803668,80.0,0.0,0.0,1991.0,,883627,94258.3145903,surface,0.0,aca1,,,,2640889.82,,2012.0,,571.751163059,0.0,571.751163059,80119.5674017,80.0,1.05588038508,2.0,,False,0.0,,27.0,21104436.6368,0.0,0.0,,M,-122.254042069,38.1682044485,2030.0,
8382,8382,,,2500.0,47233492.8214,0.0,150.0,106887190.242,215776.57753,1.0,0.0,7,,0.0,residential,8.81440544752e+12,7.0,0.0,American Canyon,,,1078882.88765,21.78,,,51692276.2784,1.0,1.47058823529,73.0,0.0,0.0,2000.0,,885471,215776.57753,surface,0.0,aca1,,,,8397881.62801,,2012.0,,582.777041965,0.0,582.777041965,183410.090901,73.0,1.06995931208,2.0,,False,0.0,,27.0,48312375.709,0.0,0.0,,S,-122.252130961,38.17562494,2035.0,
8394,8394,,,1903.0,23992200.188,4599624.01875,752.241210938,56621106.3474,109603.472764,2.0,0.0,4,,0.0,residential,5.12071099484e+12,4.0,0.0,American Canyon,,,6660830.24562,21.78,,,22594463.3443,1.0,1.11941176471,49.0,0.0,0.0,2001.0,,883625,109603.472764,surface,0.0,aca1,,,,3597320.12729,,2012.0,,607.764194065,0.0,607.764194065,93162.9518494,49.0,0.737103739,2.0,,False,0.0,,27.0,30653030.4337,0.0,8992.0,,M,-122.2542581,38.1693940671,2035.0,
8412,8412,,,2500.0,197063361.597,722815.244193,1006.59431288,611653595.74,1000829.66784,1.0,1.0,34,,0.0,residential,7.20866271547e+12,34.0,0.0,American Canyon,,,27411606.3866,12.0,,,341506517.065,0.75,0.810241451953,339.0,0.0,0.0,1980.0,,885526,1334439.55712,surface,0.0,,,,,52368316.9082,,2012.0,,718.995937771,0.0,718.995937771,850705.217663,340.0,1.5213567915,2.0,,False,0.0,,27.0,224474967.984,1.0,1056.0,,S,-122.24458103,38.1636255228,2035.0,
8663,8663,,,2500.0,1019576.54444,0.0,150.0,2307254.1445,4657.72747574,2.0,0.0,0,,0.0,residential,1.58179832586e+13,0.0,0.0,American Canyon,,,23288.6373787,21.78,,,1302573.50936,1.0,1.47058823529,2.0,0.0,0.0,2000.0,,885464,4657.72747574,surface,0.0,aca1,,,,0.0,,2012.0,,582.777041965,0.0,582.777041965,3959.06835437,2.0,1.24903346287,2.0,,False,0.0,,27.0,1042865.18182,0.0,0.0,,S,-122.253504409,38.1766465609,2035.0,
