,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
95,95,True,,,,,,,4609.0,4.0,,0,,,office,1.94832408086e+12,,12.0,Antioch,,,,,,,,,,,0.0,4609.0,,,505407,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.7797728,37.9635452152,2011.0,
161,161,True,,,,,,,33872.0,10.0,,0,,,retail,3.42857547093e+12,,76.0,Antioch,,,,,,,,,,,0.0,33872.0,,,633941,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.828643517,38.0119574044,2011.0,
757,757,True,,,,,,,13000.0,10.0,,0,,,retail,1.65351779304e+13,,29.0,Antioch,,,,,,,,,,,0.0,13000.0,,,545260,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.804415669,37.977533331,2011.0,
758,758,True,,,,,,,13900.0,10.0,,0,,,retail,1.65351779304e+13,,31.0,Antioch,,,,,,,,,,,0.0,13900.0,,,545260,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.804415669,37.977533331,2012.0,
1327,1327,True,,,,,,,15789.0,10.0,,0,,,retail,1.3537137657e+13,,35.0,Antioch,,,,,,,,,,,0.0,15789.0,,,602565,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.847187663,37.9986274838,2015.0,
1328,1328,True,,,,,,,17000.0,10.0,,0,,,retail,1.3537137657e+13,,38.0,Antioch,,,,,,,,,,,0.0,17000.0,,,602565,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.847187663,37.9986274838,2015.0,
2702,2702,,1344.0,1344.0,1636701.52244,923423.25075,707.278837891,2644139.6774,7476.93706003,3.0,2.0,0,,0.0,residential,1.67007102950e+12,0.0,0.0,Antioch,Antioch,2252.0,1011561.24,40.0,,,-4247.60220556,1.5,1.76308539945,2.0,0.0,0.0,1928.0,,638313,4984.62470669,surface,0.0,ant2,ant2,1.0,1.0,0.0,OBAG,2012.0,1.0,505.199169922,0.0,505.199169922,5233.85594202,4.0,3.77606034486e-07,4.0,1.0,True,0.0,10000.0,24.0,2648262.76244,2.0,1920.0,,S,-121.81752523,38.0142606791,2025.0,02252ANT2NANANA
2705,2705,,1344.0,1344.0,1647881.55146,973051.768538,718.352652181,2703883.24114,7528.01074216,3.0,2.0,0,,0.0,residential,3.28437775968e+12,0.0,0.0,Antioch,Antioch,2252.0,1063181.20991,40.0,,,-7396.34174018,1.5,1.76308539945,2.0,0.0,0.0,1945.0,,638322,5018.67382811,surface,0.0,ant2,ant2,1.0,1.0,0.0,OBAG,2012.0,1.0,513.109037272,0.0,513.109037272,5269.60751951,4.0,3.68859037219e-07,4.0,1.0,True,0.0,10000.0,24.0,2711062.76137,2.0,1992.0,,S,-121.817873771,38.0142611288,2025.0,02252ANT2NANANA
2733,2733,,1344.0,1344.0,1691841.08864,1015191.02325,720.525084635,2784408.2768,7728.83092115,3.0,2.0,0,,0.0,residential,1.34012284768e+13,0.0,0.0,Antioch,Antioch,2252.0,1108004.63247,40.0,,,-15903.6551357,1.5,1.76308539945,2.0,0.0,0.0,1946.0,,635071,5152.55394743,surface,0.0,ant2,ant2,1.0,1.0,0.0,OBAG,2012.0,1.0,514.66077474,0.0,514.66077474,5410.1816448,4.0,3.57162536657e-07,4.0,1.0,True,0.0,10000.0,24.0,2799845.72111,2.0,2072.0,,S,-121.820936086,38.0128354775,2025.0,02252ANT2NANANA
2736,2736,,1344.0,1344.0,1494020.86527,811265.63261,692.8209611,2364296.41795,6825.12958095,3.0,2.0,0,,0.0,residential,1.16487168614e+13,0.0,0.0,Antioch,Antioch,2252.0,890075.513208,40.0,,,-20397.9193328,1.5,1.76308539945,2.0,0.0,0.0,1952.0,,636253,4550.0863873,surface,0.0,ant2,ant2,1.0,1.0,0.0,OBAG,2012.0,1.0,494.872115072,0.0,494.872115072,4777.59070666,4.0,4.1944613021e-07,4.0,1.0,True,0.0,10000.0,24.0,2384096.37848,2.0,1722.0,,S,-121.803854141,38.0135440297,2025.0,02252ANT2NANANA
