,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
805,805,True,,,,,,,63960.0,3.0,,0,,,residential,1.73498411439e+13,,0.0,Belmont,,,,,,,,,,,0.0,0.0,,,1150319,,,,bel1,,,,,,2012.0,,,0.0,,0.0,69.0,,3.0,,False,,,,,,,,M,-122.278165895,37.5197767365,2011.0,
3412,3412,,1945.37009674,1945.37009674,15297201.2257,23520663.0269,956.612930298,42789539.3123,69882.1435617,1.0,0.0,2,,0.0,residential,3.98474459932e+12,2.0,0.0,Belmont,Belmont,5108.0,24918305.8982,20.0,,,-285957.867814,1.0,1.27598720762,25.0,0.0,0.0,1950.0,,1150368,69882.1435617,surface,0.0,bel1,bel1,1.0,1.0,2854355.55659,OBAG,2012.0,1.0,874.728652954,0.0,874.728652954,48917.5004932,25.0,2.48660298357e-08,2.0,1.0,True,0.0,11438.3147126,6.0,40215507.1238,0.0,36158.0,cr3,M,-122.276962206,37.5202147737,2025.0,05108BEL1cr3NANA
3599,3599,,1945.37009674,1945.37009674,1479583.87686,2609872.50119,958.314056396,4199626.55565,6759.17714417,1.0,0.0,0,,0.0,residential,5.48919304436e+12,0.0,0.0,Belmont,Belmont,5108.0,2745056.04407,20.0,,,-25516.1339277,1.0,1.27598720762,2.0,0.0,0.0,1970.0,,1150646,6759.17714417,surface,0.0,bel1,bel1,1.0,1.0,0.0,OBAG,2012.0,1.0,887.603088379,0.0,887.603088379,4731.42400092,2.0,2.36706564042e-07,2.0,1.0,True,0.0,12758.0669639,6.0,4224639.92093,0.0,4005.0,cr3,M,-122.273314929,37.5178223031,2025.0,05108BEL1cr3NANA
3784,3784,,1000.0,1000.0,1006751.68221,1826884.19669,1006.21513367,2847377.07417,4179.12694982,3.0,0.0,0,,0.0,residential,1.64547953107e+13,0.0,0.0,Belmont,Belmont,5108.0,1868675.46618,65.34,,,-28613.8807171,2.0,2.14285714286,3.0,0.0,0.0,1970.0,,1150635,2089.56347491,surface,0.0,bel1,bel1,1.0,1.0,0.0,OBAG,2012.0,1.0,973.332847595,0.0,973.332847595,2925.38886487,3.0,3.47774416945e-07,7.0,1.0,True,0.0,14306.9403585,6.0,2875427.1484,0.0,2670.0,cr3,M,-122.272126379,37.5175249982,2025.0,05108BEL1cr3NANA
3891,3891,,1945.37009674,1945.37009674,1891378.81879,3191181.3088,1206.1750351,5210904.32421,8640.37834077,1.0,2.0,0,,0.0,residential,5.32577896377e+12,0.0,0.0,Belmont,Belmont,5108.0,3363988.87561,20.0,,,-45357.08394,1.0,1.27598720762,1.0,0.0,0.0,1958.0,,1148090,8640.37834077,surface,0.0,bel1,bel1,1.0,1.0,0.0,OBAG,2012.0,1.0,861.553596497,0.0,861.553596497,6048.26483854,3.0,1.90281643103e-07,2.0,1.0,True,0.0,15119.02798,6.0,5255367.6944,2.0,3890.74019347,b2,M,-122.289340213,37.5247405211,2025.0,05108BEL1b2NANA
5008,5008,,,,,,,,477.614508551,10.0,,0,,,retail,,,1.0,Belmont,,,,,,,,,,1.0,0.0,477.614508551,,,1150635,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.272126379,37.5175249982,2025.0,
6248,6248,,,1000.0,8371420.86195,4525173.67339,942.720947266,28739620.3535,38243.1286521,3.0,0.0,3,,0.0,residential,2.09582148389e+12,3.0,0.0,Belmont,,,5035082.05542,65.34,,,13773703.5512,1.5,1.76470588235,33.0,0.0,0.0,1965.0,,1148389,25495.4191014,surface,0.0,bel1,,,,1830810.25919,,2012.0,,884.114852905,0.0,884.114852905,32506.6593543,33.0,1.02738974034,4.0,,False,0.0,,6.0,13406502.9174,0.0,7059.0,,M,-122.285753278,37.5278376336,2030.0,
6320,6320,,,1000.0,2013150.40373,0.0,971.201400757,6892181.06407,9196.66698828,3.0,0.0,0,,0.0,residential,5.66136128322e+11,0.0,0.0,Belmont,,,183933.339766,52.272,,,4789468.77671,1.0,1.41176470588,8.0,0.0,0.0,1968.0,,1150311,9196.66698828,surface,0.0,bel1,,,,0.0,,2012.0,,881.672492981,0.0,881.672492981,7817.16694004,8.0,2.17992090237,2.0,,False,0.0,,6.0,2197083.7435,0.0,0.0,,M,-122.277855413,37.5189478587,2030.0,
6411,6411,,,1000.0,709875.56544,0.0,150.0,2437024.46187,3242.92172426,3.0,0.0,0,,0.0,residential,1.56726434025e+13,0.0,0.0,Belmont,,,16214.6086213,52.272,,,1745324.06699,1.0,1.41176470588,3.0,0.0,0.0,9999.0,,1150403,3242.92172426,surface,0.0,bel1,,,,0.0,,2012.0,,884.106323242,0.0,884.106323242,2756.48346562,3.0,2.40372908123,2.0,,False,0.0,,6.0,726090.174061,0.0,0.0,,M,-122.276061116,37.5199980939,2030.0,
6558,6558,,,1945.37009674,243757.68731,0.0,150.0,866925.643341,1237.97708131,1.0,0.0,0,,0.0,residential,6.7767937475e+12,0.0,0.0,Belmont,,,24759.5416262,7.0,,,598408.414405,0.25,0.367784548079,1.0,0.0,0.0,9999.0,,1147260,4951.90832523,surface,0.0,,,,,0.0,,2012.0,,823.854122162,0.0,823.854122162,1052.28051911,1.0,2.22856617721,1.0,,False,0.0,,6.0,268517.228936,0.0,0.0,,M,-122.301434014,37.5160428097,2030.0,
