,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
1733,1733,True,,,,,,,1500000.0,4.0,,0,,,office,1.33846418147e+13,,4225.0,Benicia,,,,,,,,,,,0.0,1500000.0,,,1771540,,,,ben2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.126063138,38.0852890493,2020.0,
3119,3119,,1000.0,1000.0,9144242.51358,8962201.10254,810.609970093,19249307.685,48899.692586,3.0,0.0,3,,0.0,residential,3.44706045565e+11,3.0,0.0,Benicia,Benicia,5290.0,9353398.64323,78.1937225921,,,-223325.380086,2.5,2.56440123941,34.0,0.0,0.0,1985.0,,1771919,19559.8770344,deck,0.2,ben1,ben1,1.0,1.0,972780.765871,OBAG,2012.0,1.0,702.944372559,0.0,702.944372559,34229.7848102,34.0,5.40609470971e-08,4.0,1.0,True,0.0,10000.0,25.0,18497641.1568,0.0,16259.0,,M,-122.160168611,38.0469234009,2025.0,05290BEN1NANANA
3379,3379,,1000.0,1000.0,4552923.37687,3858773.82018,892.243299154,8689444.65149,24347.1838335,3.0,4.0,1,,0.0,residential,1.53630660415e+13,1.0,0.0,Benicia,Benicia,5290.0,4053551.29085,78.1937225921,,,-190675.968146,2.5,2.56440123941,13.0,0.0,0.0,1949.0,,1787298,9738.87353341,deck,0.2,ben1,ben1,1.0,1.0,271758.071045,OBAG,2012.0,1.0,637.316642253,0.0,637.316642253,17043.0286835,17.0,1.16191592796e-07,4.0,1.0,True,0.0,11216.2334204,25.0,8606474.66772,4.0,6360.0,,M,-122.158857595,38.0523548107,2025.0,05290BEN1NANANA
3675,3675,,1000.0,1000.0,3299910.61661,2698196.34645,810.609970093,6246981.3132,17646.5808375,3.0,0.0,1,,0.0,residential,2.06816493688e+12,1.0,0.0,Benicia,Benicia,5290.0,2839368.99315,78.1937225921,,,-161524.010414,2.5,2.56440123941,12.0,0.0,0.0,1957.0,,1787339,7058.63233499,deck,0.2,ben1,ben1,1.0,1.0,267626.466228,OBAG,2012.0,1.0,632.15213623,0.0,632.15213623,12352.6065862,12.0,1.62885560451e-07,4.0,1.0,True,0.0,13460.3342011,25.0,6139279.60976,0.0,4895.0,,M,-122.156974208,38.0514000679,2025.0,05290BEN1NANANA
3882,3882,,1000.0,1000.0,1054023.30816,981162.3078,810.609970093,2035524.40594,5636.48827891,3.0,0.0,0,,0.0,residential,1.24308461868e+13,0.0,0.0,Benicia,Benicia,5290.0,1026254.21403,78.1937225921,,,-45200.6474105,2.5,2.56440123941,4.0,0.0,0.0,1942.0,,1787302,2254.59531157,deck,0.2,ben1,ben1,1.0,1.0,0.0,OBAG,2012.0,1.0,644.881144206,0.0,644.881144206,3945.54179524,4.0,4.80705093111e-07,4.0,1.0,True,0.0,15066.8824702,25.0,2080277.52219,0.0,1780.0,,M,-122.157430794,38.0518162043,2025.0,05290BEN1NANANA
5606,5606,,1000.0,1000.0,3343180.85518,3476125.51662,1006.08942383,7194735.6157,17877.9724876,3.0,3.0,1,,0.0,residential,9.02830299006e+12,1.0,0.0,Benicia,Benicia,5290.0,3619149.29652,78.1937225921,,,-97505.4469853,2.5,2.56440123941,10.0,0.0,0.0,1973.0,,1788050,7151.18899504,deck,0.2,ben1,ben1,1.0,1.0,328945.510528,OBAG,2012.0,1.0,718.635302734,0.0,718.635302734,12514.5807413,13.0,1.43630074732e-07,4.0,1.0,True,0.0,10000.0,25.0,6962330.1517,3.0,5081.00887264,,M,-122.157728643,38.048644757,2030.0,05290BEN1NANANA
5675,5675,,1000.0,1000.0,4962987.36282,4653171.30792,821.180725098,10029075.5561,26540.0393734,3.0,0.0,1,,0.0,residential,1.44665498698e+12,1.0,0.0,Benicia,Benicia,5290.0,4865491.62291,78.1937225921,,,-94208.7837026,2.5,2.56440123941,19.0,0.0,0.0,1913.0,,1783761,10616.0157494,deck,0.2,ben1,ben1,1.0,1.0,293872.593861,OBAG,2012.0,1.0,674.794156901,0.0,674.794156901,18578.0275614,19.0,1.01745143013e-07,4.0,1.0,True,0.0,10000.0,25.0,9828478.98573,0.0,8333.0,,M,-122.156923484,38.0530298763,2030.0,05290BEN1NANANA
6226,6226,,,1812.0,186046666.391,25662409.4099,902.627059733,465774137.372,849916.246648,2.0,37.0,39,,0.0,residential,1.04866088054e+13,39.0,0.0,Benicia,,,42660734.3428,21.0,,,200091761.892,1.0,1.02771025766,362.0,0.0,0.0,1979.0,,1780878,849916.246648,surface,0.0,,,,,35969488.5061,,2012.0,,644.733614095,0.0,644.733614095,722428.809651,399.0,0.874881010625,2.0,,False,0.0,,25.0,228707400.734,37.0,41810.0,,MH,-122.177730018,38.0692316482,2030.0,
6594,6594,,,1775.0,2019587.70408,0.0,150.0,5240347.58861,10256.9207927,1.0,0.0,0,,0.0,residential,1.06875681177e+13,0.0,0.0,Benicia,,,205138.415854,9.91172701666,,,3000543.36133,0.25,0.475161115286,5.0,0.0,0.0,9999.0,,1782894,41027.6831708,surface,0.0,,,,,0.0,,2012.0,,601.068774414,0.0,601.068774414,8718.38267379,5.0,1.34872483154,1.0,,False,0.0,,25.0,2224726.11994,0.0,0.0,,MH,-122.188465176,38.0779137034,2030.0,
6635,6635,,,1000.0,2898183.57086,1739425.0119,821.180725098,6880771.69771,12030.6499413,3.0,0.0,1,,0.0,residential,4.89395011656e+12,1.0,0.0,Benicia,,,1859731.51131,79.1868317832,,,1712912.02239,2.0,2.13868178532,10.0,0.0,0.0,1942.0,,1787354,6015.32497065,surface,0.0,ben1,,,,426904.118113,,2012.0,,672.866849772,0.0,672.866849772,10226.0524501,10.0,0.360013155513,6.0,,False,0.0,,25.0,4757915.08217,0.0,3115.0,,M,-122.157600784,38.0506105616,2030.0,
