,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
5,5,True,,,,,,,21853.0,10.0,,0,,,retail,71866071606.0,,49.0,Berkeley,,,,,,,,,,,0.0,21853.0,,,122686,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.302680931,37.8663831555,2011.0,
30,30,True,,,,,,,210200.0,12.0,,0,,,residential,4.2261049959e+11,,60.0,Berkeley,,,,,,,,,,,0.0,23000.0,,,110042,,,,ber4,,,,,,2012.0,,,0.0,,0.0,156.0,,1.0,,False,,,,,,,,S,-122.267634608,37.8622916433,2012.0,
134,134,True,,,,,,,115200.0,3.0,,0,,,residential,2.8638250321e+12,,0.0,Berkeley,,,,,,,,,,,0.0,0.0,,,111450,,,,ber2,,,,,,2012.0,,,0.0,,0.0,96.0,,1.0,,False,,,,,,,,S,-122.268986688,37.8662081421,2014.0,
156,156,True,,,,,,,7500.0,4.0,,0,,,office,3.38236677761e+12,,21.0,Berkeley,,,,,,,,,,,0.0,7500.0,,,119734,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,S,-122.300852932,37.8804477078,2012.0,
172,172,True,,,,,,,136916.0,12.0,,0,,,residential,3.73831220843e+12,,140.0,Berkeley,,,,,,,,,,,0.0,53726.0,,,112963,,,,,,,,,,2012.0,,,0.0,,0.0,94.0,,5.0,,False,,,,,,,,S,-122.301096522,37.8663913157,2014.0,
309,309,True,,,,,,,188000.0,3.0,,0,,,residential,6.46429993624e+12,,0.0,Berkeley,,,,,,,,,,,0.0,0.0,,,114372,,,,ber2,,,,,,2012.0,,,0.0,,0.0,146.0,,9.0,,False,,,,,,,,S,-122.26928673,37.8704171652,2012.0,
310,310,True,,,,,,,171600.0,3.0,,0,,,residential,6.46429993624e+12,,0.0,Berkeley,,,,,,,,,,,0.0,0.0,,,114372,,,,ber2,,,,,,2012.0,,,0.0,,0.0,143.0,,1.0,,False,,,,,,,,S,-122.26928673,37.8704171652,2012.0,
330,330,True,,,,,,,90040.0,12.0,,0,,,residential,6.96553211103e+12,,18.0,Berkeley,,,,,,,,,,,0.0,7240.0,,,114388,,,,ber2,,,,,,2012.0,,,0.0,,0.0,69.0,,1.0,,False,,,,,,,,S,-122.27155667,37.8710084188,2013.0,
351,351,True,,,,,,,52800.0,3.0,,0,,,residential,7.6591742906e+12,,0.0,Berkeley,,,,,,,,,,,0.0,0.0,,,111299,,,,ber5,,,,,,2012.0,,,0.0,,0.0,44.0,,1.0,,False,,,,,,,,S,-122.263226065,37.8677659435,2011.0,
386,386,True,,,,,,,151500.0,12.0,,0,,,residential,8.40055685911e+12,,22.0,Berkeley,,,,,,,,,,,0.0,8700.0,,,114384,,,,ber2,,,,,,2012.0,,,0.0,,0.0,119.0,,1.0,,False,,,,,,,,S,-122.271037932,37.8714582803,2014.0,
