,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
55,55,True,,,,,,,12673.0,10.0,,0,,,retail,1.1279152153e+12,,28.0,Brentwood,,,,,,,,,,,0.0,12673.0,,,458892,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.737768579,37.9454606737,2011.0,
56,56,True,,,,,,,7540.0,10.0,,0,,,retail,1.1279152153e+12,,16.0,Brentwood,,,,,,,,,,,0.0,7540.0,,,458892,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.737768579,37.9454606737,2013.0,
194,194,True,,,,,,,47642.0,3.0,,0,,,residential,4.16443060198e+12,,0.0,Brentwood,,,,,,,,,,,0.0,0.0,,,472784,,,,,,,,,,2012.0,,,0.0,,0.0,54.0,,1.0,,False,,,,,,,,M,-121.69527946,37.9520523774,2013.0,
730,730,True,,,,,,,16291.0,10.0,,0,,,retail,1.5973442407e+13,,36.0,Brentwood,,,,,,,,,,,0.0,16291.0,,,454338,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.696774711,37.9451557378,2013.0,
5965,5965,,,2310.0,21845699.9701,0.0,150.0,86111834.8332,110948.196902,1.0,0.0,0,,0.0,residential,7.39744885694e+12,0.0,0.0,Brentwood,,,739654.646016,14.7,,,63526480.2171,0.75,0.917112299465,41.0,0.0,0.0,9999.0,,449764,147930.929203,surface,0.0,,,,,0.0,,2012.0,,913.111197917,0.0,913.111197917,94305.967367,41.0,2.81272892531,2.0,,False,0.0,,24.0,22585354.6161,0.0,0.0,,M,-121.734893575,37.9423741999,2030.0,
5976,5976,,,2310.0,204558621.325,0.0,150.0,645345682.072,934484.336799,2.0,0.0,0,,0.0,residential,9.06054082802e+11,0.0,0.0,Brentwood,,,4672421.68399,17.42,,,436114639.062,1.0,1.08680926916,344.0,0.0,0.0,9999.0,,411482,934484.336799,surface,0.0,,,,,0.0,,2012.0,,812.45900472,0.0,812.45900472,794311.686279,344.0,2.0843687093,2.0,,False,0.0,,24.0,209231043.009,0.0,0.0,,M,-121.732227255,37.9201722882,2030.0,
6026,6026,,,2202.0,1090627.41625,0.0,150.0,3602187.37266,5832.23217246,3.0,0.0,0,,0.0,residential,5.01754589072e+12,0.0,0.0,Brentwood,,,11664.4643449,43.56,,,2524894.44698,2.5,2.59058823529,2.0,0.0,0.0,2007.0,,414191,2332.89286898,deck,0.2,,,,,0.0,,2012.0,,908.285921224,0.0,908.285921224,4957.39734659,2.0,2.29058608834,3.0,,False,0.0,,24.0,1102291.88059,0.0,0.0,,M,-121.686432335,37.9272286451,2030.0,
6042,6042,,,2310.0,211196875.033,46816337.5484,710.090713501,672628917.689,876699.356715,2.0,0.0,0,,0.0,residential,8.18201056817e+12,0.0,0.0,Brentwood,,,55462671.878,30.0,,,405969370.778,1.8,1.87165775401,323.0,0.0,0.0,2003.0,,508453,487055.198175,surface,0.0,,,,,0.0,,2012.0,,902.622013346,0.0,902.622013346,745194.453208,323.0,1.52242578779,5.0,,False,0.0,,24.0,266659546.911,0.0,96956.0,,M,-121.729205109,37.9639638203,2030.0,
6069,6069,,,2310.0,76526723.9148,19378688.0114,710.090713501,238218659.029,409233.817726,3.0,0.0,0,,0.0,residential,1.16763455973e+13,0.0,0.0,Brentwood,,,22284619.3475,43.56,,,139407315.767,2.5,2.71764705882,151.0,0.0,0.0,2004.0,,491106,163693.52709,deck,0.2,,,,,0.0,,2012.0,,856.042541504,0.0,856.042541504,347848.745067,151.0,1.41084324091,3.0,,False,0.0,,24.0,98811343.2623,0.0,40133.0,,M,-121.746121345,37.9582534504,2030.0,
6093,6093,,,1000.0,3640956.72104,580614.737899,1226.78908447,11601781.7205,19470.356797,3.0,2.0,0,,0.0,residential,1.6763681892e+13,0.0,0.0,Brentwood,,,736377.592275,111.673448374,,,7296691.88129,2.5,2.71447370866,15.0,0.0,0.0,1944.0,,426913,7788.14271879,deck,0.2,,,,,0.0,,2012.0,,876.27791748,0.0,876.27791748,16549.8032774,17.0,1.66692588663,3.0,,False,0.0,,24.0,4377334.31331,2.0,696.0,,M,-121.696471606,37.9330832103,2030.0,
6095,6095,,,2202.0,1181782.6515,0.0,150.0,3816933.89105,6001.94337987,1.0,0.0,0,,0.0,residential,2.99098827073e+11,0.0,0.0,Brentwood,,,40012.9558658,14.52,,,2595138.28369,0.75,0.863529411765,2.0,0.0,0.0,9999.0,,465100,8002.59117316,surface,0.0,,,,,0.0,,2012.0,,748.176078288,0.0,748.176078288,5101.65187289,2.0,2.12403635113,2.0,,False,0.0,,24.0,1221795.60736,0.0,0.0,,M,-121.684919092,37.9497753344,2030.0,
6222,6222,,,2202.0,748072.131298,0.0,150.0,2828905.25937,3799.24901624,1.0,0.0,0,,0.0,residential,1.11667340858e+13,0.0,0.0,Brentwood,,,75984.9803248,4.3,,,2004848.14775,0.25,0.255728407065,1.0,0.0,0.0,9999.0,,476544,15196.996065,surface,0.0,,,,,0.0,,2012.0,,875.995182292,0.0,875.995182292,3229.36166381,1.0,2.43289951567,1.0,,False,0.0,,24.0,824057.111623,0.0,0.0,,M,-121.713653462,37.9536724977,2030.0,
6223,6223,,,2310.0,4608118.93928,0.0,150.0,15042784.7531,21051.2514357,2.0,0.0,0,,0.0,residential,1.27756388354e+13,0.0,0.0,Brentwood,,,105256.257179,17.42,,,10329409.5567,1.0,1.08680926916,8.0,0.0,0.0,9999.0,,404030,21051.2514357,surface,0.0,,,,,0.0,,2012.0,,840.681319173,0.0,840.681319173,17893.5637203,8.0,2.19151014425,2.0,,False,0.0,,24.0,4713375.19645,0.0,0.0,,M,-121.722678924,37.9213623931,2030.0,
6272,6272,,,2500.0,98916676.0968,0.0,150.0,395847583.181,502370.117302,1.0,0.0,0,,0.0,residential,1.7230138102e+13,0.0,0.0,Brentwood,,,5023701.17302,10.89,,,290447669.882,0.5,0.735294117647,171.0,0.0,0.0,9999.0,,393251,1004740.2346,surface,0.0,,,,,0.0,,2012.0,,927.011824544,0.0,927.011824544,427014.599707,171.0,2.79436805514,1.0,,False,0.0,,24.0,103940377.27,0.0,0.0,,MH,-121.738754224,37.9133381681,2030.0,
6298,6298,,,2310.0,237930779.658,0.0,150.0,858937783.902,1086938.23508,2.0,0.0,0,,0.0,residential,1.71072155576e+13,0.0,0.0,Brentwood,,,3623127.45025,25.0,,,617383876.794,1.5,1.55971479501,400.0,0.0,0.0,9999.0,,489294,724625.49005,surface,0.0,,,,,0.0,,2012.0,,929.689477539,0.0,929.689477539,923897.499814,400.0,2.55588445736,4.0,,False,0.0,,24.0,241553907.108,0.0,0.0,,M,-121.743136738,37.9561094311,2030.0,
6348,6348,,,2202.0,996910.144047,0.0,150.0,3756910.11618,5063.02764879,1.0,0.0,0,,0.0,residential,1.19507649801e+11,0.0,0.0,Brentwood,,,33753.5176586,14.52,,,2726246.45448,0.75,0.863529411765,2.0,0.0,0.0,9999.0,,451571,6750.70353172,surface,0.0,,,,,0.0,,2012.0,,872.974544271,0.0,872.974544271,4303.57350147,2.0,2.64513687226,2.0,,False,0.0,,24.0,1030663.66171,0.0,0.0,,M,-121.689760088,37.9440243694,2030.0,
6350,6350,,,2310.0,500983.804342,0.0,150.0,1795193.2074,2544.35654821,1.0,0.0,0,,0.0,residential,1.19277509076e+13,0.0,0.0,Brentwood,,,50887.1309642,5.0,,,1243322.2721,0.25,0.311942959002,1.0,0.0,0.0,9999.0,,448903,10177.4261928,surface,0.0,,,,,0.0,,2012.0,,830.06920166,0.0,830.06920166,2162.70306598,1.0,2.25292218262,1.0,,False,0.0,,24.0,551870.935306,0.0,0.0,,M,-121.712236591,37.9425988428,2030.0,
