,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
311,311,True,,,,,,,18250.0,10.0,,0,,,retail,6.49665478642e+12,,41.0,Burlingame,,,,,,,,,,,0.0,18250.0,,,1113649,,,,bur1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.347179541,37.5766479266,2011.0,
395,395,True,,,,,,,440000.0,4.0,,0,,,office,8.56921868503e+12,,1239.0,Burlingame,,,,,,,,,,,0.0,440000.0,,,1105655,,,,bur1,,,,,,2012.0,,,0.0,,0.0,0.0,,8.0,,False,,,,,,,,M,-122.382452189,37.5928442554,2011.0,
531,531,True,,,,,,,8700.0,3.0,,0,,,residential,1.1411512526e+13,,0.0,Burlingame,,,,,,,,,,,0.0,0.0,,,1113853,,,,bur1,,,,,,2012.0,,,0.0,,0.0,6.0,,2.0,,False,,,,,,,,S,-122.34023835,37.5790560557,2014.0,
770,770,True,,,,,,,20899.0,10.0,,0,,,retail,1.66890004353e+13,,46.0,Burlingame,,,,,,,,,,,0.0,20899.0,,,1113645,,,,bur1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.348120798,37.5764003789,2011.0,
893,893,True,,,,,,,75036.0,3.0,,0,,,residential,2.0810386787e+12,,0.0,Burlingame,,,,,,,,,,,0.0,0.0,,,1105640,,,,bur1,,,,,,2012.0,,,0.0,,0.0,81.0,,4.0,,False,,,,,,,,M,-122.386085912,37.5923912073,2015.0,
1550,1550,,,,,,,,15007.2,10.0,,0,,,retail,,,33.0,Burlingame,,,,,,,,,,33.0,0.0,15007.2,,,1105640,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.386085912,37.5923912073,2015.0,
1909,1909,,900.0,1000.0,4908842.22831,6551713.57522,1156.64740753,12145025.9623,26250.4931995,3.0,7.0,2,,0.0,residential,1.13373182002e+13,2.0,0.0,Burlingame,Burlingame,9066.0,6701716.39351,121.68234708,,,-102087.716837,3.5,3.59156868595,11.0,0.0,0.0,1919.0,,1113872,7500.14091414,deck,0.2,bur1,bur1,1.0,1.0,632581.247803,OBAG,2012.0,1.0,826.176719666,0.0,826.176719666,18375.3452397,18.0,8.612850015e-08,5.0,1.0,True,0.0,10000.0,6.0,11610558.6218,7.0,8330.0,cr3,S,-122.342137325,37.5766544568,2025.0,09066BUR1cr3NANA
2167,2167,,1000.0,1000.0,1448809.01127,2251021.42474,1141.4915947,3777531.54109,6618.58844803,3.0,2.0,0,,0.0,residential,1.54874802495e+13,0.0,0.0,Burlingame,Burlingame,9066.0,2339269.27071,50.0,,,-10758.7303919,1.5,1.63977436705,3.0,0.0,0.0,1936.0,,1112786,4412.39229868,surface,0.0,bur1,bur1,1.0,1.0,0.0,OBAG,2012.0,1.0,815.351139069,0.0,815.351139069,4633.01191362,5.0,2.63986096791e-07,4.0,1.0,True,0.0,10000.0,6.0,3788078.28199,2.0,2900.0,brt2,M,-122.35378874,37.5828070882,2025.0,09066BUR1brt2NANA
2269,2269,,1000.0,1000.0,1945156.53027,2982390.94704,1127.25826492,5008437.12956,8886.05084638,3.0,2.0,0,,0.0,residential,1.09064538782e+13,0.0,0.0,Burlingame,Burlingame,9066.0,3100871.62499,50.0,,,-38346.6053203,1.5,1.63977436705,4.0,0.0,0.0,1947.0,,1112326,5924.03389759,surface,0.0,bur1,bur1,1.0,1.0,0.0,OBAG,2012.0,1.0,805.184474945,0.0,805.184474945,6220.23559247,6.0,1.98175667918e-07,4.0,1.0,True,0.0,10000.0,6.0,5046028.15526,2.0,3890.74019347,cr3,M,-122.360347266,37.5820929797,2025.0,09066BUR1cr3NANA
2297,2297,,1000.0,1000.0,1970133.11209,2929406.58978,1107.23169708,4982626.38003,9000.15126582,3.0,2.0,0,,0.0,residential,3.71093323187e+12,0.0,0.0,Burlingame,Burlingame,9066.0,3049408.60666,50.0,,,-37657.3370254,1.5,1.63977436705,4.0,0.0,0.0,1947.0,,1108808,6000.10084388,surface,0.0,bur1,bur1,1.0,1.0,0.0,OBAG,2012.0,1.0,790.87978363,0.0,790.87978363,6300.10588608,6.0,1.99221374387e-07,4.0,1.0,True,0.0,10000.0,6.0,5019541.71875,2.0,3890.74019347,cr3,M,-122.360860553,37.5833954508,2025.0,09066BUR1cr3NANA
2361,2361,,900.0,1000.0,3008394.23013,3953517.99962,1091.01089478,7363057.12762,16087.6696799,3.0,0.0,1,,0.0,residential,3.04801700927e+12,1.0,0.0,Burlingame,Burlingame,9066.0,4045447.54064,121.68234708,,,-705.394211902,3.5,3.59156868595,11.0,0.0,0.0,1953.0,,1113684,4596.47705139,deck,0.2,bur1,bur1,1.0,1.0,309893.293274,OBAG,2012.0,1.0,817.291538239,0.0,817.291538239,11261.3687759,11.0,1.41766718406e-07,5.0,1.0,True,0.0,10000.0,6.0,7053841.77078,0.0,5329.0,cr3,S,-122.344937149,37.5791576436,2025.0,09066BUR1cr3NANA
2381,2381,,1000.0,1000.0,1585930.77246,2373467.93412,1117.2836174,4047360.59937,7245.00124468,3.0,2.0,0,,0.0,residential,1.20054551852e+13,0.0,0.0,Burlingame,Burlingame,9066.0,2470067.95071,50.0,,,-8811.75009499,1.5,1.63977436705,3.0,0.0,0.0,1928.0,,1108554,4830.00082979,surface,0.0,bur1,bur1,1.0,1.0,0.0,OBAG,2012.0,1.0,798.059726715,0.0,798.059726715,5071.50087128,5.0,2.46548401085e-07,4.0,1.0,True,0.0,10000.0,6.0,4055998.72317,2.0,3124.0,cr3,M,-122.361062622,37.5853671389,2025.0,09066BUR1cr3NANA
2462,2462,,900.0,1000.0,5083130.89022,6716165.75687,736.793312073,12494619.6829,27182.5181295,3.0,0.0,2,,0.0,residential,3.74177023289e+12,2.0,0.0,Burlingame,Burlingame,9066.0,6859222.16803,121.68234708,,,-75534.0624138,3.5,3.59156868595,19.0,0.0,0.0,1953.0,,1113097,7766.43375129,deck,0.2,bur1,bur1,1.0,1.0,624860.490357,OBAG,2012.0,1.0,820.81508255,0.0,820.81508255,19027.7626907,19.0,8.37355917316e-08,5.0,1.0,True,0.0,10000.0,6.0,11942353.0583,0.0,13405.0,cr3,S,-122.349411787,37.5780907889,2025.0,09066BUR1cr3NANA
2897,2897,,1000.0,1000.0,2052223.95638,2747265.1814,1038.38746719,4867527.72083,9375.16654354,3.0,2.0,0,,0.0,residential,4.45125329702e+12,0.0,0.0,Burlingame,Burlingame,9066.0,2872267.40198,50.0,,,-59270.7787812,1.5,1.63977436705,5.0,0.0,0.0,1942.0,,1107681,6250.11102902,surface,0.0,bur1,bur1,1.0,1.0,0.0,OBAG,2012.0,1.0,741.70533371,0.0,741.70533371,6562.61658048,7.0,2.03066657494e-07,4.0,1.0,True,0.0,10000.0,5.0,4924491.35836,2.0,3890.74019347,cr3,S,-122.367300417,37.5876940246,2025.0,09066BUR1cr3NANA
