,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
13,13,True,,,,,,,2658.0,10.0,,0,,,retail,1.69960489827e+11,,5.0,Campbell,,,,,,,,,,,0.0,2658.0,,,2050288,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.950132379,37.2846818121,2014.0,
78,78,True,,,,,,,216895.0,12.0,,0,,,residential,1.60741949136e+12,,39.0,Campbell,,,,,,,,,,,0.0,15295.0,,,1415955,,,,,,,,,,2012.0,,,0.0,,0.0,168.0,,1.0,,False,,,,,,,,S,-121.932712192,37.2922252689,2012.0,
245,245,True,,,,,,,100000.0,3.0,,0,,,residential,5.16435778865e+12,,0.0,Campbell,,,,,,,,,,,0.0,0.0,,,1435383,,,,,,,,,,2012.0,,,0.0,,0.0,108.0,,3.0,,False,,,,,,,,S,-121.950583398,37.2858599779,2013.0,
246,246,True,,,,,,,8632.0,10.0,,0,,,retail,5.16435778865e+12,,19.0,Campbell,,,,,,,,,,,0.0,8632.0,,,1435383,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.950583398,37.2858599779,2013.0,
278,278,True,,,,,,,120000.0,3.0,,0,,,residential,6.00327699409e+12,,0.0,Campbell,,,,,,,,,,,0.0,0.0,,,1499974,,,,cam1,,,,,,2012.0,,,0.0,,0.0,100.0,,1.0,,False,,,,,,,,S,-121.941639931,37.284646102,2014.0,
360,360,True,,,,,,,2795.0,10.0,,0,,,retail,7.85855972766e+12,,6.0,Campbell,,,,,,,,,,,0.0,2795.0,,,2050789,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.950077584,37.2844406434,2014.0,
555,555,True,,,,,,,4971.0,10.0,,0,,,retail,1.20318511285e+13,,11.0,Campbell,,,,,,,,,,,0.0,4971.0,,,1499927,,,,cam1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.944567297,37.2866110486,2012.0,
767,767,True,,,,,,,194400.0,12.0,,0,,,residential,1.66680202667e+13,,46.0,Campbell,,,,,,,,,,,0.0,18000.0,,,1435386,,,,,,,,,,2012.0,,,0.0,,0.0,147.0,,1.0,,False,,,,,,,,S,-121.950131756,37.2851415203,2011.0,
768,768,True,,,,,,,12829.0,10.0,,0,,,retail,1.66680202667e+13,,28.0,Campbell,,,,,,,,,,,0.0,12829.0,,,1435386,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.950131756,37.2851415203,2013.0,
795,795,True,,,,,,,4000.0,10.0,,0,,,retail,1.72189051778e+13,,8.0,Campbell,,,,,,,,,,,0.0,4000.0,,,1438222,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.966475523,37.2931571115,2011.0,
796,796,True,,,,,,,1180.0,10.0,,0,,,retail,1.72189051778e+13,,2.0,Campbell,,,,,,,,,,,0.0,1180.0,,,1438222,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.966475523,37.2931571115,2011.0,
870,870,True,,,,,,,50000.0,3.0,,0,,,residential,1.60741949136e+12,,0.0,Campbell,,,,,,,,,,,0.0,0.0,,,1415955,,,,,,,,,,2012.0,,,0.0,,0.0,59.0,,5.0,,False,,,,,,,,S,-121.932712192,37.2922252689,2015.0,
871,871,True,,,,,,,80000.0,3.0,,0,,,residential,1.60741949136e+12,,0.0,Campbell,,,,,,,,,,,0.0,0.0,,,1415955,,,,,,,,,,2012.0,,,0.0,,0.0,86.0,,4.0,,False,,,,,,,,S,-121.932712192,37.2922252689,2015.0,
873,873,True,,,,,,,3548.0,3.0,,0,,,residential,1.64053711542e+12,,0.0,Campbell,,,,,,,,,,,0.0,0.0,,,1494173,,,,,,,,,,2012.0,,,0.0,,0.0,3.0,,2.0,,False,,,,,,,,M,-121.961341677,37.2754689846,2015.0,
875,875,True,,,,,,,5172.0,10.0,,0,,,retail,1.71933103416e+12,,11.0,Campbell,,,,,,,,,,,0.0,5172.0,,,1416181,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.930953141,37.2865900507,2016.0,
918,918,True,,,,,,,188400.0,3.0,,0,,,residential,2.42793457458e+12,,0.0,Campbell,,,,,,,,,,,0.0,0.0,,,1499991,,,,cam1,,,,,,2012.0,,,0.0,,0.0,157.0,,1.0,,False,,,,,,,,S,-121.944301373,37.2830972307,2015.0,
1080,1080,True,,,,,,,180125.0,4.0,,0,,,office,7.38291056361e+12,,507.0,Campbell,,,,,,,,,,,0.0,180125.0,,,1415940,,,,cam1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.935713616,37.2916219758,2015.0,
1138,1138,True,,,,,,,129715.0,3.0,,0,,,residential,9.15228872469e+12,,0.0,Campbell,,,,,,,,,,,0.0,0.0,,,1438078,,,,,,,,,,2012.0,,,0.0,,0.0,110.0,,4.0,,False,,,,,,,,M,-121.962095321,37.2949864137,2015.0,
1139,1139,True,,,,,,,129600.0,3.0,,0,,,residential,9.15228872469e+12,,0.0,Campbell,,,,,,,,,,,0.0,0.0,,,1438078,,,,,,,,,,2012.0,,,0.0,,0.0,108.0,,1.0,,False,,,,,,,,M,-121.962095321,37.2949864137,2015.0,
1559,1559,,,,,,,,25943.0,10.0,,0,,,retail,,,58.0,Campbell,,,,,,,,,,58.0,0.0,25943.0,,,1438078,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-121.962095321,37.2949864137,2015.0,
2780,2780,,1000.0,1000.0,21862463.431,12084378.8353,950.837097168,36481250.2436,99874.2048014,3.0,0.0,6,,0.0,residential,7.56047174219e+12,6.0,0.0,Campbell,Campbell,10345.0,13416034.8993,54.45,,,-632620.209574,1.5,1.78571428571,70.0,0.0,0.0,1990.0,,1410972,66582.8032009,surface,0.0,cam1,cam1,1.0,1.0,1810747.10169,OBAG,2012.0,1.0,521.817138672,0.0,521.817138672,69911.943361,70.0,2.83458777252e-08,4.0,1.0,True,0.0,10000.0,10.0,35278498.3304,0.0,18690.0,lrt3,S,-121.940617457,37.2875010751,2025.0,10345CAM1lrt3NANA
2881,2881,,1000.0,1000.0,5072354.32986,2888686.75415,954.622192383,8464088.60629,23172.0161254,3.0,0.0,1,,0.0,residential,1.69389850412e+13,1.0,0.0,Campbell,Campbell,10345.0,3197646.96916,54.45,,,-112066.098744,1.5,1.78571428571,16.0,0.0,0.0,1982.0,,1499792,15448.0107503,surface,0.0,cam1,cam1,1.0,1.0,301791.183616,OBAG,2012.0,1.0,521.817138672,0.0,521.817138672,16220.4112878,16.0,1.20918965287e-07,4.0,1.0,True,0.0,10000.0,10.0,8270001.29902,0.0,4450.0,lrt3,S,-121.949443385,37.2867623406,2025.0,10345CAM1lrt3NANA
2884,2884,,1000.0,1000.0,2739380.36382,1733212.05249,954.622192383,4614997.34526,12514.3004286,3.0,0.0,0,,0.0,residential,1.51633373706e+12,0.0,0.0,Campbell,Campbell,10345.0,1900069.39154,54.45,,,-25442.7816149,1.5,1.78571428571,9.0,0.0,0.0,1953.0,,1499812,8342.86695239,surface,0.0,cam1,cam1,1.0,1.0,0.0,OBAG,2012.0,1.0,526.825561523,0.0,526.825561523,8760.01030001,9.0,2.15542801998e-07,4.0,1.0,True,0.0,10000.0,10.0,4639449.75536,0.0,2670.0,lrt3,S,-121.94950201,37.2860249224,2025.0,10345CAM1lrt3NANA
2900,2900,,1000.0,1000.0,3984045.68934,2309265.78699,637.742553711,6735474.72216,18200.3000883,3.0,0.0,1,,0.0,residential,1.42987078294e+13,1.0,0.0,Campbell,Campbell,10345.0,2502717.55126,54.45,,,-62368.7617849,1.5,1.78571428571,13.0,0.0,0.0,1981.0,,1499789,12133.5333922,surface,0.0,cam1,cam1,1.0,1.0,308652.511741,OBAG,2012.0,1.0,528.678466797,0.0,528.678466797,12740.2100618,13.0,1.54160089232e-07,4.0,1.0,True,0.0,10000.0,10.0,6486763.2406,0.0,5325.0,lrt3,S,-121.948740676,37.2864499101,2025.0,10345CAM1lrt3NANA
