,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
2024,2024,,1655.20020314,1655.20020314,7758388.65737,809180.050641,523.985320435,9285705.26881,35442.6160684,2.0,2.0,1,,0.0,residential,5.37485503804e+12,1.0,0.0,Cloverdale,Cloverdale,14190.0,1118703.5596,45.0,,,-16626.8628906,1.5,2.4427393789,13.0,0.0,0.0,1970.0,,1867195,23628.4107123,surface,0.0,clo1,clo1,1.0,1.0,425411.256422,OBAG,2012.0,1.0,374.275228882,0.0,374.275228882,24809.8312479,15.0,1.12649500034e-07,4.0,1.0,True,0.0,10000.0,31.0,8877092.21697,2.0,2271.0,,VH,-123.018986961,38.7991303059,2025.0,14190CLO1NANANA
2026,2026,,1655.20020314,1655.20020314,11656686.2709,1143784.88159,676.0597229,14037530.2016,53251.1935629,2.0,0.0,2,,0.0,residential,1.43027938382e+13,2.0,0.0,Cloverdale,Cloverdale,14190.0,1743801.33433,45.0,,,-219168.488622,1.5,2.4427393789,23.0,0.0,0.0,1930.0,,1867193,35500.7957086,surface,0.0,clo1,clo1,1.0,1.0,858469.640829,OBAG,2012.0,1.0,376.58526001,0.0,376.58526001,37275.835494,23.0,7.46241502144e-08,4.0,1.0,True,0.0,10000.0,31.0,13400487.6053,0.0,2488.0,,VH,-123.018111055,38.7970658073,2025.0,14190CLO1NANANA
3048,3048,,1655.20020314,1655.20020314,2920092.17131,387609.249727,508.940716553,3394595.25369,13339.8454605,2.0,2.0,0,,0.0,residential,7.65618699643e+12,0.0,0.0,Cloverdale,Cloverdale,14190.0,500762.42485,45.0,,,-25991.4971738,1.5,2.4427393789,4.0,0.0,0.0,1954.0,,1866538,8893.23030703,surface,0.0,clo1,clo1,1.0,1.0,0.0,OBAG,2012.0,1.0,363.529083252,0.0,363.529083252,9337.89182238,6.0,2.92324614183e-07,4.0,1.0,True,0.0,10000.0,31.0,3420854.59616,2.0,1120.0,,VH,-123.014627266,38.8045046055,2025.0,14190CLO1NANANA
3050,3050,,1655.20020314,1655.20020314,3136065.75106,433477.10878,374.980197906,3656802.56157,14326.4767065,2.0,0.0,0,,0.0,residential,9.51953110879e+12,0.0,0.0,Cloverdale,Cloverdale,14190.0,523012.859959,45.0,,,-2252.83374403,1.5,2.4427393789,6.0,0.0,0.0,1979.0,,1866522,9550.98447102,surface,0.0,clo1,clo1,1.0,1.0,0.0,OBAG,2012.0,1.0,364.639804077,0.0,364.639804077,10028.5336946,6.0,2.73292843993e-07,4.0,1.0,True,0.0,10000.0,31.0,3659078.61102,0.0,1700.0,,VH,-123.01400968,38.8038490981,2025.0,14190CLO1NANANA
3052,3052,,1655.20020314,1655.20020314,6155409.10935,486125.427843,374.092273712,7195076.46074,28119.7309701,2.0,0.0,1,,0.0,residential,1.61757806022e+13,1.0,0.0,Cloverdale,Cloverdale,14190.0,661448.329423,45.0,,,-32387.8078822,1.5,2.4427393789,12.0,0.0,0.0,1955.0,,1866433,18746.4873134,surface,0.0,clo1,clo1,1.0,1.0,410940.589847,OBAG,2012.0,1.0,365.532681274,0.0,365.532681274,19683.811679,12.0,1.46695161074e-07,4.0,1.0,True,0.0,10000.0,31.0,6816857.43877,0.0,1911.0,,VH,-123.017446181,38.7985292027,2025.0,14190CLO1NANANA
3612,3612,,1655.20020314,1655.20020314,11637657.7456,1474613.22591,373.372737885,14014615.1558,53164.2656261,2.0,0.0,2,,0.0,residential,5.55880382093e+12,2.0,0.0,Cloverdale,Cloverdale,14190.0,1805448.01615,45.0,,,-284033.252193,1.5,2.4427393789,22.0,0.0,0.0,1966.0,,1867191,35442.8437508,surface,0.0,clo1,clo1,1.0,1.0,858469.640829,OBAG,2012.0,1.0,376.58526001,0.0,376.58526001,37214.9859383,22.0,7.43875721672e-08,4.0,1.0,True,0.0,12910.6023724,31.0,13443105.7617,0.0,5808.0,,VH,-123.018859852,38.798042252,2025.0,14190CLO1NANANA
4157,4157,,1000.0,1000.0,2570747.14648,469185.848206,374.988689423,2973570.2999,11743.933972,3.0,0.0,0,,0.0,residential,1.21119057761e+13,0.0,0.0,Cloverdale,Cloverdale,14190.0,542583.221686,70.6496076264,,,-138334.515571,1.5,2.31698831255,8.0,0.0,0.0,1957.0,,1866529,7829.28931469,surface,0.0,clo1,clo1,1.0,1.0,0.0,OBAG,2012.0,1.0,361.715042114,0.0,361.715042114,8220.75378043,8.0,3.21199449382e-07,4.0,1.0,True,0.0,17291.8144464,31.0,3113330.36817,0.0,1840.0,,VH,-123.015283002,38.8033342846,2025.0,14190CLO1NANANA
4239,4239,,1655.20020314,1655.20020314,6339919.09424,859725.558347,373.94329834,7587995.7472,28962.6272007,2.0,0.0,1,,0.0,residential,2.61466469897e+12,1.0,0.0,Cloverdale,Cloverdale,14190.0,1040231.89741,45.0,,,-215347.322567,1.5,2.4427393789,12.0,0.0,0.0,1954.0,,1866453,19308.4181338,surface,0.0,clo1,clo1,1.0,1.0,425411.256422,OBAG,2012.0,1.0,374.275228882,0.0,374.275228882,20273.8390405,12.0,1.3549858277e-07,4.0,1.0,True,0.0,17945.6102139,31.0,7380150.99165,0.0,3381.0,,VH,-123.017875739,38.7980914096,2025.0,14190CLO1NANANA
4329,4329,,1655.20020314,1655.20020314,3072715.27943,655626.65981,535.642695923,3759427.81196,14037.0729988,2.0,2.0,0,,0.0,residential,1.20174314389e+13,0.0,0.0,Cloverdale,Cloverdale,14190.0,780940.920208,45.0,,,-93267.2581217,1.5,2.4427393789,4.0,0.0,0.0,1952.0,,1866354,9358.04866584,surface,0.0,clo1,clo1,1.0,1.0,0.0,OBAG,2012.0,1.0,382.601925659,0.0,382.601925659,9825.95109913,6.0,2.59493828249e-07,4.0,1.0,True,0.0,18653.4516243,31.0,3853656.19964,2.0,1800.0,,VH,-123.016814054,38.7971970903,2025.0,14190CLO1NANANA
5212,5212,,1655.20020314,1655.20020314,2887970.32483,982389.005805,661.487964478,3965042.78049,11988.2537353,3.0,2.0,0,,0.0,residential,6.00882512135e+12,0.0,0.0,Cloverdale,Cloverdale,14190.0,1081515.07532,45.0,,,-4397.30493077,2.0,2.4427393789,3.0,0.0,0.0,1954.0,,1867004,5994.12686764,surface,0.0,clo1,clo1,1.0,1.0,0.0,OBAG,2012.0,1.0,472.491403198,0.0,472.491403198,8391.77761469,5.0,2.51921823409e-07,7.0,1.0,True,0.0,10000.0,31.0,3969485.40015,2.0,2184.0,,VH,-123.013940229,38.7936421602,2030.0,14190CLO1NANANA
5214,5214,,1655.20020314,1655.20020314,2969480.77953,973425.937682,655.452716064,4039755.58788,12326.6117872,3.0,2.0,0,,0.0,residential,4.31776350403e+12,0.0,0.0,Cloverdale,Cloverdale,14190.0,1074419.82738,45.0,,,-4102.73982904,2.0,2.4427393789,3.0,0.0,0.0,1955.0,,1867017,6163.30589358,surface,0.0,clo1,clo1,1.0,1.0,0.0,OBAG,2012.0,1.0,468.180511475,0.0,468.180511475,8628.62825101,5.0,2.47285998645e-07,7.0,1.0,True,0.0,10000.0,31.0,4043900.6069,2.0,2184.0,,VH,-123.015516545,38.7945689274,2030.0,14190CLO1NANANA
5235,5235,,1655.20020314,1655.20020314,2125829.66912,671174.23982,591.03050354,2869872.49836,9711.41922851,2.0,2.0,0,,0.0,residential,5.64693020021e+12,0.0,0.0,Cloverdale,Cloverdale,14190.0,766836.656432,45.0,,,-22561.3301579,1.5,2.4427393789,2.0,0.0,0.0,1967.0,,1866944,6474.27948568,surface,0.0,clo1,clo1,1.0,1.0,0.0,OBAG,2012.0,1.0,422.164645386,0.0,422.164645386,6797.99345996,4.0,3.45701815369e-07,4.0,1.0,True,0.0,10000.0,31.0,2892666.32555,2.0,1670.0,,VH,-123.013232942,38.8064330841,2030.0,14190CLO1NANANA
5278,5278,,1655.20020314,1655.20020314,31030500.5896,5724033.49192,679.175109863,39925367.3621,128810.712286,3.0,0.0,5,,0.0,residential,8.96503918816e+12,5.0,0.0,Cloverdale,Cloverdale,14190.0,6817596.36277,45.0,,,-468906.739139,2.0,2.4427393789,54.0,0.0,0.0,1962.0,,1867268,64405.3561429,surface,0.0,clo1,clo1,1.0,1.0,2551009.28532,OBAG,2012.0,1.0,442.791116333,0.0,442.791116333,90167.4986,54.0,2.64214076934e-08,7.0,1.0,True,0.0,10000.0,31.0,37848096.9524,0.0,12394.0,,VH,-123.0166785,38.7940142069,2030.0,14190CLO1NANANA
5293,5293,,1655.20020314,1655.20020314,2594979.12193,835214.639825,372.311859131,3488192.18567,11854.6328092,2.0,0.0,0,,0.0,residential,1.4676490696e+13,0.0,0.0,Cloverdale,Cloverdale,14190.0,908774.9795,45.0,,,-15403.1842138,1.5,2.4427393789,5.0,0.0,0.0,1930.0,,1866763,7903.08853944,surface,0.0,clo1,clo1,1.0,1.0,0.0,OBAG,2012.0,1.0,420.353103638,0.0,420.353103638,8298.24296641,5.0,2.85408156809e-07,4.0,1.0,True,0.0,10000.0,31.0,3503754.10143,0.0,3299.0,,VH,-123.018114554,38.8074460618,2030.0,14190CLO1NANANA
5298,5298,,1655.20020314,1655.20020314,1898846.99146,637993.601807,372.311859131,2562255.33866,8674.49516429,2.0,0.0,0,,0.0,residential,6.91833737066e+12,0.0,0.0,Cloverdale,Cloverdale,14190.0,691820.558834,45.0,,,-28122.4070792,1.5,2.4427393789,4.0,0.0,0.0,1958.0,,1866767,5782.99677619,surface,0.0,clo1,clo1,1.0,1.0,0.0,OBAG,2012.0,1.0,421.968621826,0.0,421.968621826,6072.146615,4.0,3.86000897678e-07,4.0,1.0,True,0.0,10000.0,31.0,2590667.5503,0.0,2520.0,,VH,-123.017458644,38.8077064035,2030.0,14190CLO1NANANA
5619,5619,,1655.20020314,1655.20020314,4261361.13485,1319369.99247,589.38335022,5736809.73539,19467.1591359,2.0,4.0,0,,0.0,residential,1.66137176108e+13,0.0,0.0,Cloverdale,Cloverdale,14190.0,1510596.98365,45.0,,,-34789.869599,1.5,2.4427393789,4.0,0.0,0.0,1974.0,,1866325,12978.1060906,surface,0.0,clo1,clo1,1.0,1.0,0.0,OBAG,2012.0,1.0,420.9881073,0.0,420.9881073,13627.0113951,8.0,1.73251430359e-07,4.0,1.0,True,0.0,10000.0,31.0,5771958.1185,4.0,3292.0,,VH,-123.018437378,38.7999344952,2030.0,14190CLO1NANANA
5632,5632,,1655.20020314,1655.20020314,11179637.6607,2498466.74758,589.38335022,15050462.0802,51071.894293,2.0,9.0,2,,0.0,residential,3.71861824693e+12,2.0,0.0,Cloverdale,Cloverdale,14190.0,3000148.81693,45.0,,,-76760.3970891,1.5,2.4427393789,13.0,0.0,0.0,1946.0,,1866327,34047.9295287,surface,0.0,clo1,clo1,1.0,1.0,948227.024167,OBAG,2012.0,1.0,420.9881073,0.0,420.9881073,35750.3260051,22.0,7.05229237108e-08,4.0,1.0,True,0.0,10000.0,31.0,14179786.4777,9.0,6234.0,,VH,-123.018994108,38.7994637327,2030.0,14190CLO1NANANA
5648,5648,,1000.0,1000.0,1927548.16359,627340.779585,371.700229645,2598891.18457,8805.61061484,3.0,0.0,0,,0.0,residential,1.71006590072e+13,0.0,0.0,Cloverdale,Cloverdale,14190.0,681891.571047,70.6496076264,,,-10440.9548539,1.5,2.31698831255,6.0,0.0,0.0,1966.0,,1866586,5870.40707656,surface,0.0,clo1,clo1,1.0,1.0,0.0,OBAG,2012.0,1.0,421.629101563,0.0,421.629101563,6163.92743039,6.0,3.83224025727e-07,4.0,1.0,True,0.0,10000.0,31.0,2609439.73463,0.0,2482.0,,VH,-123.017057156,38.8045861969,2030.0,14190CLO1NANANA
5651,5651,,1000.0,1000.0,2727913.29869,870591.472668,679.554977417,3678014.35947,12461.9154806,3.0,0.0,0,,0.0,residential,6.79134204516e+12,0.0,0.0,Cloverdale,Cloverdale,14190.0,1011734.08422,70.6496076264,,,-61004.3666025,1.5,2.31698831255,9.0,0.0,0.0,1974.0,,1866582,8307.9436537,surface,0.0,clo1,clo1,1.0,1.0,0.0,OBAG,2012.0,1.0,421.629101563,0.0,421.629101563,8723.34083639,9.0,2.67404890785e-07,4.0,1.0,True,0.0,10000.0,31.0,3739647.38291,0.0,1884.0,,VH,-123.017213513,38.8049239515,2030.0,14190CLO1NANANA
