,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
618,618,True,,,,,,,19042.0,8.0,,0,,,industrial,1.39082367736e+13,,19.0,Concord,,,,,,,,,,,0.0,19042.0,,,633510,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-122.033482964,38.0091149146,2013.0,
619,619,True,,,,,,,21020.0,8.0,,0,,,industrial,1.39082367736e+13,,21.0,Concord,,,,,,,,,,,0.0,21020.0,,,633510,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-122.033482964,38.0091149146,2013.0,
620,620,True,,,,,,,14189.0,8.0,,0,,,industrial,1.39082367736e+13,,14.0,Concord,,,,,,,,,,,0.0,14189.0,,,633510,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-122.033482964,38.0091149146,2013.0,
761,761,True,,,,,,,4600.0,10.0,,0,,,retail,1.65790561871e+13,,10.0,Concord,,,,,,,,,,,0.0,4600.0,,,492650,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.968432873,37.9564714507,2014.0,
786,786,True,,,,,,,10000.0,10.0,,0,,,retail,1.70223406707e+13,,22.0,Concord,,,,,,,,,,,0.0,10000.0,,,493337,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.039174016,37.9558346987,2011.0,
950,950,True,,,,,,,5325000.0,3.0,,0,,,residential,3.2187762111e+12,,0.0,Concord,,,,,,,,,,,0.0,0.0,,,636171,,,,con1_a,,,,,,2012.0,,,0.0,,0.0,3550.0,,1.0,,False,,,,,,,,MH,-122.010235059,38.0055365022,2018.0,
978,978,True,,,,,,,6000.0,10.0,,0,,,retail,4.40316047503e+12,,13.0,Concord,,,,,,,,,,,0.0,6000.0,,,554945,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.058013504,37.9788770532,2015.0,
1574,1574,True,,,,,,,2175000.0,3.0,,0,,,residential,2.57098321118e+11,,0.0,Concord,,,,,,,,,,,0.0,0.0,,,623227,,,,con1_a,,,,,,2012.0,,,0.0,,0.0,1450.0,,1.0,,False,,,,,,,,MH,-122.018590965,37.9991306122,2020.0,
1615,1615,True,,,,,,,30000.0,11.0,,0,,,retail,3.19181357615e+12,,67.0,Concord,,,,,,,,,,,0.0,30000.0,,,623019,,,,con1_a,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.999573125,38.0108292239,2020.0,
1616,1616,True,,,,,,,20000.0,4.0,,0,,,office,3.2187762111e+12,,56.0,Concord,,,,,,,,,,,0.0,20000.0,,,636171,,,,con1_a,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-122.010235059,38.0055365022,2022.0,
