,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
125,125,True,,,,,,,137000.0,3.0,,0,,,residential,2.73667905646e+12,,0.0,Contra Costa County,,,,,,,,,,,0.0,0.0,,,454844,,,,,,,,,,2012.0,,,0.0,,0.0,186.0,,3.0,,False,,,,,,,,MH,-121.913649905,37.7658823516,2011.0,
276,276,True,,,,,,,104679.0,3.0,,0,,,residential,5.99577911052e+12,,0.0,Contra Costa County,,,,,,,,,,,0.0,0.0,,,611560,,,,,,,,,,2012.0,,,0.0,,0.0,120.0,,1.0,,False,,,,,,,,MH,-121.877590401,37.7977554163,2012.0,
405,405,True,,,,,,,14070.0,10.0,,0,,,retail,8.85679257462e+12,,31.0,Contra Costa County,,,,,,,,,,,0.0,14070.0,,,659152,,,,ccc3_a,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.941858794,38.027057592,2011.0,
546,546,True,,,,,,,8068.0,4.0,,0,,,office,1.18855198658e+13,,22.0,Contra Costa County,,,,,,,,,,,0.0,8068.0,,,479381,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.920992733,37.7560280269,2012.0,
1128,1128,True,,,,,,,200000.0,3.0,,0,,,residential,8.98436197135e+12,,0.0,Contra Costa County,,,,,,,,,,,0.0,0.0,,,399133,,,,ccc1,,,,,,2012.0,,,0.0,,0.0,200.0,,6.0,,False,,,,,,,,M,-122.05505356,37.9283567337,2016.0,
1150,1150,True,,,,,,,290000.0,4.0,,0,,,office,9.54173586606e+12,,816.0,Contra Costa County,,,,,,,,,,,0.0,290000.0,,,427598,,,,ccc1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.056806828,37.9287333224,2015.0,
1181,1181,True,,,,,,,55257.0,8.0,,0,,,industrial,1.01504797699e+13,,57.0,Contra Costa County,,,,,,,,,,,0.0,55257.0,,,654798,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-122.029935727,38.021313434,2015.0,
2564,2564,,1404.0,1404.0,10015162.2778,2088602.8537,626.831588745,15270182.6262,41573.9405469,3.0,0.0,2,,0.0,residential,6.43672164314e+12,2.0,0.0,Contra Costa County,Contra Costa County,13.0,4398266.21742,40.0,,,-146305.367296,1.8,1.84179456907,21.0,0.0,0.0,1979.0,,520399,23096.6336372,surface,0.0,ccc2,ccc2,1.0,1.0,998770.600966,OBAG,2012.0,1.0,524.716837565,0.0,524.716837565,29101.7583828,21.0,6.93797454461e-08,5.0,1.0,True,0.0,10000.0,20.0,14413428.4952,0.0,4900.0,,S,-122.374760086,37.9607335874,2025.0,00013CCC2NANANA
2573,2573,,2010.0,2010.0,20401196.7319,2971655.43832,612.056236267,29264227.2897,109097.308727,3.0,0.0,3,,0.0,residential,3.30082992377e+12,3.0,0.0,Contra Costa County,Contra Costa County,13.0,7335547.78739,40.0,,,-73411.0868994,2.5,2.63675718221,38.0,0.0,0.0,1970.0,,540946,43638.9234907,deck,0.2,ccc2,ccc2,1.0,1.0,1598741.83358,OBAG,2012.0,1.0,478.999430339,0.0,478.999430339,76368.1161087,38.0,3.60532577753e-08,4.0,1.0,True,0.0,10000.0,20.0,27736744.5193,0.0,7140.0,,S,-122.374850649,37.96878784,2025.0,00013CCC2NANANA
2582,2582,,1000.0,1000.0,2197187.75259,1449646.00406,738.680651042,3707218.08942,10037.4040776,3.0,2.0,0,,0.0,residential,1.08787949371e+13,0.0,0.0,Contra Costa County,Contra Costa County,13.0,1573219.94037,50.0,,,-64459.7145786,1.5,1.63977436705,5.0,0.0,0.0,1927.0,,660656,6691.60271842,surface,0.0,ccc3_a,ccc3_a,1.0,1.0,0.0,OBAG,2012.0,1.0,527.629036458,0.0,527.629036458,7026.18285434,7.0,2.65223307778e-07,4.0,1.0,True,0.0,10000.0,24.0,3770407.69296,2.0,2886.0,b2,M,-121.940059899,38.0285530493,2025.0,00013CCC3_ab2NANA
