,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
777,777,True,,,,,,,1799.0,10.0,,0,,,retail,1.67811316641e+13,,4.0,Cotati,,,,,,,,,,,0.0,1799.0,,,2010276,,,,cot1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.710096826,38.3311866385,2011.0,
2112,2112,,1000.0,1000.0,1989802.11945,928362.490595,650.733535156,2957585.58121,9090.00511398,3.0,2.0,0,,0.0,residential,5.59462929484e+12,0.0,0.0,Cotati,Cotati,16560.0,1026948.67664,50.0,,,-59458.0826948,1.5,1.63977436705,4.0,0.0,0.0,2000.0,,2012294,6060.00340932,surface,0.0,cot1,cot1,1.0,1.0,0.0,OBAG,2012.0,1.0,464.809667969,0.0,464.809667969,6363.00357979,6.0,3.31482468256e-07,4.0,1.0,True,0.0,10000.0,29.0,3016750.79609,2.0,2098.0,,MH,-122.703011554,38.3245577915,2025.0,16560COT1NANANA
4034,4034,,1000.0,1000.0,25467319.5425,10396209.8649,741.119003296,37945791.2698,116342.254648,3.0,0.0,8,,0.0,residential,4.41535934211e+12,8.0,0.0,Cotati,Cotati,16560.0,11833267.4617,50.0,,,-1320992.16401,1.5,1.63977436705,81.0,0.0,0.0,1980.0,,2010523,77561.503099,surface,0.0,cot1,cot1,1.0,1.0,1953117.29928,OBAG,2012.0,1.0,465.937963867,0.0,465.937963867,81439.5782539,81.0,2.68092295675e-08,4.0,1.0,True,0.0,16308.5452347,29.0,37300587.0042,0.0,20629.0,,M,-122.708739091,38.3284113204,2025.0,16560COT1NANANA
4621,4621,,,,,,,,1818.0010228,10.0,,0,,,retail,,,4.0,Cotati,,,,,,,,,,4.0,0.0,1818.0010228,,,2012294,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.703011554,38.3245577915,2025.0,
5681,5681,,1000.0,1000.0,6111796.34941,3100487.35774,688.66899353,9613989.58569,27920.4949722,3.0,4.0,1,,0.0,residential,5.74852371972e+12,1.0,0.0,Cotati,Cotati,16560.0,3420953.67726,50.0,,,-186478.545534,1.5,1.63977436705,16.0,0.0,0.0,1986.0,,2010680,18613.6633148,surface,0.0,cot1,cot1,1.0,1.0,265871.782314,OBAG,2012.0,1.0,491.90642395,0.0,491.90642395,19544.3464805,20.0,1.04901523401e-07,4.0,1.0,True,0.0,10000.0,29.0,9532750.02667,4.0,6620.80081258,,M,-122.704606494,38.3271793024,2030.0,16560COT1NANANA
5694,5694,,1000.0,1000.0,3691397.64042,1459215.42457,657.446395874,5543389.84567,16863.3971696,3.0,3.0,1,,0.0,residential,1.50617378988e+13,1.0,0.0,Cotati,Cotati,16560.0,1643995.08609,50.0,,,-36106.3820212,1.5,1.63977436705,9.0,0.0,0.0,1993.0,,2010805,11242.2647797,surface,0.0,cot1,cot1,1.0,1.0,243569.926845,OBAG,2012.0,1.0,469.604568481,0.0,469.604568481,11804.3780187,12.0,1.87427627404e-07,4.0,1.0,True,0.0,10000.0,29.0,5335392.72651,3.0,3264.0,cr4,MH,-122.692607475,38.3309951375,2030.0,16560COT1cr4NANA
5883,5883,,1000.0,1000.0,8099719.61101,3932302.25372,771.039657593,12716336.495,37001.9169073,3.0,0.0,2,,0.0,residential,1.38265908741e+13,2.0,0.0,Cotati,Cotati,16560.0,4407801.34276,50.0,,,-324230.99864,1.5,1.63977436705,26.0,0.0,0.0,1944.0,,2010515,24667.9446049,surface,0.0,cot1,cot1,1.0,1.0,529836.331962,OBAG,2012.0,1.0,490.952807617,0.0,490.952807617,25901.3418351,26.0,7.99518948396e-08,4.0,1.0,True,0.0,12969.2399456,29.0,12507520.9538,0.0,7500.0,,M,-122.709430693,38.3294413924,2030.0,16560COT1NANANA
6011,6011,,,1400.0,2862711.6656,0.0,150.0,5819399.32882,14538.9114556,1.0,0.0,0,,0.0,residential,1.05687176061e+13,0.0,0.0,Cotati,,,290778.229111,10.0,,,2692568.52845,0.25,0.378112677578,9.0,0.0,0.0,9999.0,,2012206,58155.6458222,surface,0.0,,,,,0.0,,2012.0,,470.898538208,0.0,470.898538208,12358.0747372,9.0,0.853837690418,1.0,,False,0.0,,29.0,3153489.89471,0.0,0.0,,M,-122.692777569,38.3324483962,2030.0,
6285,6285,,,1660.4,8408532.46829,0.0,150.0,17714899.3751,42704.5833839,1.0,0.0,2,,0.0,residential,1.62582815452e+13,2.0,0.0,Cotati,,,854091.667678,10.0,,,7282402.30509,0.25,0.448441635607,22.0,0.0,0.0,9999.0,,2006754,170818.333536,surface,0.0,,,,,1169872.93401,,2012.0,,488.028601074,0.0,488.028601074,36298.8958763,22.0,0.786213733623,1.0,,False,0.0,,29.0,9262624.13597,0.0,0.0,,M,-122.709824817,38.3348264238,2030.0,
7258,7258,,1000.0,1000.0,1457658.26429,870593.972739,711.269585571,2368177.226,6659.0144554,3.0,2.0,0,,0.0,residential,9.72170201564e+12,0.0,0.0,Cotati,Cotati,16560.0,949533.213606,50.0,,,-39207.372437,1.5,1.63977436705,3.0,0.0,0.0,1971.0,,2010908,4439.34297027,surface,0.0,cot1,cot1,1.0,1.0,0.0,OBAG,2012.0,1.0,508.049703979,0.0,508.049703979,4661.31011878,5.0,4.15421876151e-07,4.0,1.0,True,0.0,10000.0,29.0,2407191.47789,2.0,1800.0,,MH,-122.704022401,38.3264195368,2035.0,16560COT1NANANA
