,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
308,308,True,,,,,,,21468.0,10.0,,0,,,retail,6.44136101448e+12,,48.0,Cupertino,,,,,,,,,,,0.0,21468.0,,,1453150,,,,vta1_b,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.033851017,37.3254280579,2014.0,
402,402,True,,,,,,,198000.0,3.0,,0,,,residential,8.78635522674e+12,,0.0,Cupertino,,,,,,,,,,,0.0,0.0,,,1445008,,,,,,,,,,2012.0,,,0.0,,0.0,204.0,,6.0,,False,,,,,,,,M,-122.012922146,37.3249628415,2014.0,
650,650,True,,,,,,,2820000.0,4.0,,0,,,office,1.4388951181e+13,,7943.0,Cupertino,,,,,,,,,,,0.0,2820000.0,,,1444414,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.009532793,37.3353205935,2014.0,
885,885,True,,,,,,,600000.0,4.0,,0,,,office,1.8702371735e+12,,1690.0,Cupertino,,,,,,,,,,,0.0,600000.0,,,1444405,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.006557721,37.3281701197,2015.0,
886,886,True,,,,,,,7045.0,10.0,,0,,,retail,1.89129978454e+12,,15.0,Cupertino,,,,,,,,,,,0.0,7045.0,,,1466981,,,,vta1_b,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.024072646,37.3224130686,2015.0,
1174,1174,True,,,,,,,115000.0,12.0,,0,,,residential,1.00477577028e+13,,18.0,Cupertino,,,,,,,,,,,0.0,7000.0,,,1466980,,,,vta1_b,,,,,,2012.0,,,0.0,,0.0,90.0,,1.0,,False,,,,,,,,S,-122.024680105,37.3222767652,2016.0,
1251,1251,True,,,,,,,130500.0,10.0,,0,,,retail,1.15641158128e+13,,293.0,Cupertino,,,,,,,,,,,0.0,130500.0,,,1445015,,,,vta1_b,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.009540417,37.3239226429,2016.0,
1289,1289,True,,,,,,,8461.0,10.0,,0,,,retail,1.22997869737e+13,,19.0,Cupertino,,,,,,,,,,,0.0,8461.0,,,1453087,,,,vta1_b,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.037563659,37.3233369489,2015.0,
1290,1290,True,,,,,,,7000.0,10.0,,0,,,retail,1.22997869737e+13,,15.0,Cupertino,,,,,,,,,,,0.0,7000.0,,,1453087,,,,vta1_b,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.037563659,37.3233369489,2015.0,
1291,1291,True,,,,,,,15650.0,10.0,,0,,,retail,1.22997869737e+13,,35.0,Cupertino,,,,,,,,,,,0.0,15650.0,,,1453087,,,,vta1_b,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.037563659,37.3233369489,2016.0,
1353,1353,True,,,,,,,244800.0,12.0,,0,,,residential,1.40970426999e+13,,0.0,Cupertino,,,,,,,,,,,0.0,0.0,,,1445021,,,,vta1_b,,,,,,2012.0,,,0.0,,0.0,204.0,,1.0,,False,,,,,,,,M,-122.011045087,37.3241609508,2016.0,
1359,1359,True,,,,,,,2800000.0,4.0,,0,,,office,1.4388951181e+13,,7887.0,Cupertino,,,,,,,,,,,0.0,2800000.0,,,1444414,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,M,-122.009532793,37.3353205935,2016.0,
1362,1362,True,,,,,,,130000.0,4.0,,0,,,office,1.4546033945e+13,,366.0,Cupertino,,,,,,,,,,,0.0,130000.0,,,1445016,,,,vta1_b,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,M,-122.007725523,37.3236950805,2015.0,
1363,1363,True,,,,,,,130000.0,4.0,,0,,,office,1.4546033945e+13,,366.0,Cupertino,,,,,,,,,,,0.0,130000.0,,,1445016,,,,vta1_b,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,M,-122.007725523,37.3236950805,2015.0,
1364,1364,True,,,,,,,534000.0,12.0,,0,,,residential,1.4546033945e+13,,1018.0,Cupertino,,,,,,,,,,,0.0,390000.0,,,1445016,,,,vta1_b,,,,,,2012.0,,,0.0,,0.0,120.0,,1.0,,False,,,,,,,,M,-122.007725523,37.3236950805,2016.0,
1986,1986,,1000.0,1000.0,15154659.6781,9115247.94438,1124.65612793,26092382.0291,69230.9715763,3.0,0.0,4,,0.0,residential,5.93981011948e+12,4.0,0.0,Cupertino,Cupertino,17610.0,10038327.5654,50.0,,,-90646.8359123,1.5,1.63977436705,48.0,0.0,0.0,1978.0,,1466979,46153.9810509,surface,0.0,vta1_b,vta1_b,1.0,1.0,986513.153465,OBAG,2012.0,1.0,538.412658691,0.0,538.412658691,48461.6801034,48.0,3.9693585772e-08,4.0,1.0,True,0.0,10000.0,10.0,25192987.2435,0.0,11919.0,lrt2,S,-122.025157222,37.3222755191,2025.0,17610VTA1_blrt2NANA
