,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
181,181,True,,,,,,,56397.0,3.0,,0,,,residential,3.91063507114e+12,,0.0,Daly City,,,,,,,,,,,0.0,0.0,,,1055215,,,,dal1,,,,,,2012.0,,,0.0,,0.0,36.0,,3.0,,False,,,,,,,,S,-122.464378603,37.6865109443,2013.0,
325,325,True,,,,,,,6600.0,10.0,,0,,,retail,6.92781265076e+12,,14.0,Daly City,,,,,,,,,,,0.0,6600.0,,,1225143,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.467377472,37.6685960004,2014.0,
326,326,True,,,,,,,61277.0,10.0,,0,,,retail,6.92781265076e+12,,137.0,Daly City,,,,,,,,,,,0.0,61277.0,,,1225143,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.467377472,37.6685960004,2014.0,
642,642,True,,,,,,,187400.0,3.0,,0,,,residential,1.43220914381e+13,,0.0,Daly City,,,,,,,,,,,0.0,0.0,,,1058991,,,,,,,,,,2012.0,,,0.0,,0.0,202.0,,5.0,,False,,,,,,,,S,-122.473156716,37.685517648,2011.0,
643,643,True,,,,,,,20012.0,10.0,,0,,,retail,1.43220914381e+13,,44.0,Daly City,,,,,,,,,,,0.0,20012.0,,,1058991,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.473156716,37.685517648,2013.0,
682,682,True,,,,,,,1104.0,10.0,,0,,,retail,1.50787635748e+13,,2.0,Daly City,,,,,,,,,,,0.0,1104.0,,,1053505,,,,dal1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.464712898,37.6927270698,2013.0,
1056,1056,True,,,,,,,6600.0,10.0,,0,,,retail,6.92781265076e+12,,14.0,Daly City,,,,,,,,,,,0.0,6600.0,,,1225143,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.467377472,37.6685960004,2015.0,
1583,1583,True,,,,,,,10000.0,12.0,,0,,,residential,1.27563607558e+12,,1.0,Daly City,,,,,,,,,,,0.0,500.0,,,1059315,,,,dal1,,,,,,2012.0,,,0.0,,0.0,8.0,,1.0,,False,,,,,,,,S,-122.470376512,37.6851942001,2020.0,
1654,1654,True,,,,,,,778345.0,12.0,,0,,,residential,6.46716098806e+12,,101.0,Daly City,,,,,,,,,,,0.0,38917.0,,,1059433,,,,dal1,,,,,,2012.0,,,0.0,,0.0,616.0,,1.0,,False,,,,,,,,S,-122.468407076,37.6830770104,2020.0,
1700,1700,True,,,,,,,362624.0,12.0,,0,,,residential,1.07076463346e+13,,47.0,Daly City,,,,,,,,,,,0.0,18131.0,,,1226995,,,,dal1,,,,,,2012.0,,,0.0,,0.0,287.0,,1.0,,False,,,,,,,,S,-122.46733646,37.6832607344,2020.0,
