,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
624,624,True,,,,,,,3000.0,4.0,,0,,,office,1.3989876924e+13,,8.0,Danville,,,,,,,,,,,0.0,3000.0,,,677385,,,,dan1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,MH,-122.002283881,37.8231036071,2012.0,
1238,1238,True,,,,,,,450.0,10.0,,0,,,retail,1.12445218696e+13,,1.0,Danville,,,,,,,,,,,0.0,450.0,,,676588,,,,dan1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.999812426,37.8213342751,2015.0,
1357,1357,True,,,,,,,8090.0,10.0,,0,,,retail,1.43698838453e+13,,18.0,Danville,,,,,,,,,,,0.0,8090.0,,,676552,,,,dan1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,MH,-121.999990584,37.8213122141,2015.0,
2624,2624,,1000.0,1000.0,3385311.2816,3616789.83981,917.668838501,7450515.24318,15465.1040731,3.0,0.0,1,,0.0,residential,1.06697899549e+13,1.0,0.0,Danville,Danville,17988.0,3822991.22745,50.0,,,-71590.7247382,1.5,1.63977436705,11.0,0.0,0.0,1955.0,,677826,10310.0693821,surface,0.0,dan1,dan1,1.0,1.0,313450.830287,OBAG,2012.0,1.0,688.232885742,0.0,688.232885742,10825.5728512,11.0,1.38728916932e-07,4.0,1.0,True,0.0,10000.0,23.0,7208302.50905,0.0,5796.0,,MH,-122.002849267,37.824046077,2025.0,17988DAN1NANANA
2655,2655,,1000.0,1000.0,2026354.06079,2401064.24927,917.13684082,4549530.01643,9256.98520234,3.0,0.0,0,,0.0,residential,1.03734175139e+13,0.0,0.0,Danville,Danville,17988.0,2524490.71863,50.0,,,-1321.27107567,1.5,1.63977436705,6.0,0.0,0.0,1952.0,,676596,6171.32346823,surface,0.0,dan1,dan1,1.0,1.0,0.0,OBAG,2012.0,1.0,702.099922689,0.0,702.099922689,6479.88964164,6.0,2.19739421683e-07,4.0,1.0,True,0.0,10000.0,23.0,4550844.77942,0.0,3850.0,,MH,-121.999003121,37.8213945903,2025.0,17988DAN1NANANA
2685,2685,,1000.0,1000.0,930474.737928,1098890.08073,917.668838501,2079786.80651,4250.68404718,3.0,0.0,0,,0.0,residential,2.72132340145e+12,0.0,0.0,Danville,Danville,17988.0,1155565.86802,50.0,,,-6284.755752,1.5,1.63977436705,3.0,0.0,0.0,1938.0,,676500,2833.78936479,surface,0.0,dan1,dan1,1.0,1.0,0.0,OBAG,2012.0,1.0,698.975500488,0.0,698.975500488,2975.47883303,3.0,4.79377053901e-07,4.0,1.0,True,0.0,10000.0,23.0,2086040.60595,0.0,1761.0,,MH,-122.000271172,37.8212065424,2025.0,17988DAN1NANANA
2693,2693,,1000.0,1000.0,8313639.26506,9530352.12083,990.33519694,18806052.0303,37979.1652127,3.0,17.0,2,,0.0,residential,1.42306071711e+12,2.0,0.0,Danville,Danville,17988.0,10036740.9903,50.0,,,-210565.848242,1.5,1.63977436705,10.0,0.0,0.0,1974.0,,675213,25319.4434751,surface,0.0,dan1,dan1,1.0,1.0,665200.456146,OBAG,2012.0,1.0,707.382283529,0.0,707.382283529,26585.4156489,27.0,5.44947835458e-08,4.0,1.0,True,0.0,10000.0,23.0,18350380.2554,17.0,14152.0,,MH,-121.995090002,37.8185091384,2025.0,17988DAN1NANANA
3860,3860,,1000.0,1000.0,960566.11616,1169349.47205,917.13684082,2143835.70424,4388.15037076,3.0,0.0,0,,0.0,residential,1.31311582831e+13,0.0,0.0,Danville,Danville,17988.0,1227858.14366,50.0,,,-44809.2689236,1.5,1.63977436705,3.0,0.0,0.0,1916.0,,676745,2925.43358051,surface,0.0,dan1,dan1,1.0,1.0,0.0,OBAG,2012.0,1.0,697.930147298,0.0,697.930147298,3071.70525953,3.0,4.56949787279e-07,4.0,1.0,True,0.0,14936.4229745,23.0,2188424.25982,0.0,1875.0,,MH,-122.00043352,37.821755272,2025.0,17988DAN1NANANA
4275,4275,,1000.0,1000.0,2479029.94651,2810430.42043,813.900337219,5313139.49342,11324.942652,3.0,0.0,0,,0.0,residential,1.45140391248e+13,0.0,0.0,Danville,Danville,17988.0,2961429.65579,50.0,,,-127950.343424,1.5,1.63977436705,8.0,0.0,0.0,1975.0,,672001,7549.96176798,surface,0.0,dan1,dan1,1.0,1.0,0.0,OBAG,2012.0,1.0,670.219665527,0.0,670.219665527,7927.45985637,8.0,1.83808000261e-07,4.0,1.0,True,0.0,18278.6204892,23.0,5440459.60231,0.0,5078.0,,MH,-121.994942138,37.8122642488,2025.0,17988DAN1NANANA
4287,4287,,1000.0,1000.0,1683118.26543,2090942.52233,813.900337219,3785114.70095,7688.98248255,3.0,0.0,0,,0.0,residential,1.67703025673e+13,0.0,0.0,Danville,Danville,17988.0,2193462.28876,50.0,,,-91918.6092141,1.5,1.63977436705,5.0,0.0,0.0,1941.0,,676045,5125.9883217,surface,0.0,dan1,dan1,1.0,1.0,0.0,OBAG,2012.0,1.0,703.253873698,0.0,703.253873698,5382.28773778,5.0,2.57959298413e-07,4.0,1.0,True,0.0,18383.7218428,23.0,3876580.55419,0.0,3778.0,,MH,-121.997957879,37.8201691235,2025.0,17988DAN1NANANA
