,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
233,233,True,,,,,,,42000.0,7.0,,0,,,industrial,5.00810072985e+12,,63.0,Dixon,,,,,,,,,,,0.0,42000.0,,,1797284,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.821102463,38.4600290776,2012.0,
575,575,True,,,,,,,40000.0,3.0,,0,,,residential,1.24049730886e+13,,0.0,Dixon,,,,,,,,,,,0.0,0.0,,,1802212,,,,,,,,,,2012.0,,,0.0,,0.0,60.0,,3.0,,False,,,,,,,,S,-121.82132549,38.4338154577,2013.0,
597,597,True,,,,,,,64000.0,3.0,,0,,,residential,1.32085141362e+13,,0.0,Dixon,,,,,,,,,,,0.0,0.0,,,1800676,,,,,,,,,,2012.0,,,0.0,,0.0,59.0,,2.0,,False,,,,,,,,S,-121.830080553,38.4366682004,2014.0,
2893,2893,,1606.0,1606.0,5646828.249,2727495.47014,789.414632161,9252156.17489,23440.5489788,3.0,3.0,1,,0.0,residential,7.34172238283e+11,1.0,0.0,Dixon,Dixon,19402.0,2984499.80833,37.5,,,-71125.0905107,1.8,1.97510822511,7.0,0.0,0.0,1984.0,,1800700,13022.5272105,surface,0.0,dix1,dix1,1.0,1.0,689868.197652,OBAG,2012.0,1.0,563.867594401,0.0,563.867594401,16408.3842852,10.0,1.15857026098e-07,5.0,1.0,True,0.0,10000.0,26.0,8631328.05733,3.0,5081.00887264,,S,-121.824119812,38.4443310297,2025.0,19402DIX1NANANA
2921,2921,,1606.0,1606.0,5707053.99579,2895050.51401,800.569241536,9482963.65466,23690.5520788,3.0,2.0,1,,0.0,residential,1.20498412343e+13,1.0,0.0,Dixon,Dixon,19402.0,3158278.87045,37.5,,,-87601.346553,1.8,1.97510822511,8.0,0.0,0.0,1936.0,,1801815,13161.4178216,surface,0.0,dix1,dix1,1.0,1.0,702664.128121,OBAG,2012.0,1.0,571.835172526,0.0,571.835172526,16583.3864552,10.0,1.12798923074e-07,5.0,1.0,True,0.0,10000.0,26.0,8865332.86623,2.0,5318.0,,S,-121.820313881,38.4463277127,2025.0,19402DIX1NANANA
3455,3455,,1000.0,1000.0,1453406.05028,1151590.82214,680.673599243,2634897.91762,6639.58908307,3.0,0.0,0,,0.0,residential,1.55293746828e+13,0.0,0.0,Dixon,Dixon,19402.0,1226914.03879,53.3348396822,,,-46793.9210351,1.5,1.74914205963,5.0,0.0,0.0,1950.0,,1797624,4426.39272205,surface,0.0,dix1,dix1,1.0,1.0,0.0,OBAG,2012.0,1.0,566.923620605,0.0,566.923620605,4647.71235815,5.0,3.73089767926e-07,4.0,1.0,True,0.0,11698.4802588,26.0,2680320.08907,0.0,2488.0,,S,-121.82284896,38.4461769432,2025.0,19402DIX1NANANA
3674,3674,,1000.0,1000.0,1182869.67712,925716.094971,680.673599243,2130692.70472,5403.69884475,3.0,0.0,0,,0.0,residential,1.69681240902e+13,0.0,0.0,Dixon,Dixon,19402.0,987018.680669,53.3348396822,,,-40379.3617886,1.5,1.74914205963,4.0,0.0,0.0,1950.0,,1801795,3602.4658965,surface,0.0,dix1,dix1,1.0,1.0,0.0,OBAG,2012.0,1.0,563.289481608,0.0,563.289481608,3782.58919133,4.0,4.60853203075e-07,4.0,1.0,True,0.0,13459.7872629,26.0,2169888.35779,0.0,2000.0,,S,-121.822143037,38.4458695107,2025.0,19402DIX1NANANA
4364,4364,,1000.0,1000.0,3819015.61675,2742277.83698,793.693068848,6923540.94297,17446.3938636,3.0,3.0,1,,0.0,residential,7.27367278196e+12,1.0,0.0,Dixon,Dixon,19402.0,2973062.53508,53.3348396822,,,-226394.352151,1.5,1.74914205963,9.0,0.0,0.0,1984.0,,1801799,11630.9292424,surface,0.0,dix1,dix1,1.0,1.0,351220.46165,OBAG,2012.0,1.0,566.923620605,0.0,566.923620605,12212.4757045,12.0,1.47230343592e-07,4.0,1.0,True,0.0,18866.1960126,26.0,6792078.15182,3.0,5081.00887264,,S,-121.821580518,38.4459369376,2025.0,19402DIX1NANANA
4937,4937,,,,,,,,1327.91781661,10.0,,0,,,retail,,,2.0,Dixon,,,,,,,,,,2.0,0.0,1327.91781661,,,1797624,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-121.82284896,38.4461769432,2025.0,
4983,4983,,,,,,,,1080.73976895,10.0,,0,,,retail,,,2.0,Dixon,,,,,,,,,,2.0,0.0,1080.73976895,,,1801795,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-121.822143037,38.4458695107,2025.0,
