,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
36,36,True,,,,,,,200000.0,3.0,,0,,,residential,5.75428335225e+11,,0.0,Dublin,,,,,,,,,,,0.0,0.0,,,366985,,,,dub1,,,,,,2012.0,,,0.0,,0.0,310.0,,5.0,,False,,,,,,,,M,-121.929169729,37.7016707369,2013.0,
126,126,True,,,,,,,140000.0,10.0,,0,,,retail,2.79900241636e+12,,314.0,Dublin,,,,,,,,,,,0.0,140000.0,,,387382,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.852691202,37.7039721755,2011.0,
127,127,True,,,,,,,7371.0,10.0,,0,,,retail,2.79900241636e+12,,16.0,Dublin,,,,,,,,,,,0.0,7371.0,,,387382,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.852691202,37.7039721755,2012.0,
128,128,True,,,,,,,10300.0,10.0,,0,,,retail,2.79900241636e+12,,23.0,Dublin,,,,,,,,,,,0.0,10300.0,,,387382,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.852691202,37.7039721755,2013.0,
129,129,True,,,,,,,14290.0,10.0,,0,,,retail,2.79900241636e+12,,32.0,Dublin,,,,,,,,,,,0.0,14290.0,,,387382,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.852691202,37.7039721755,2013.0,
130,130,True,,,,,,,6439.0,10.0,,0,,,retail,2.79900241636e+12,,14.0,Dublin,,,,,,,,,,,0.0,6439.0,,,387382,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.852691202,37.7039721755,2013.0,
131,131,True,,,,,,,129478.0,10.0,,0,,,retail,2.79900241636e+12,,290.0,Dublin,,,,,,,,,,,0.0,129478.0,,,387382,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.852691202,37.7039721755,2013.0,
168,168,True,,,,,,,99900.0,3.0,,0,,,residential,3.72374907929e+12,,0.0,Dublin,,,,,,,,,,,0.0,0.0,,,359215,,,,,,,,,,2012.0,,,0.0,,0.0,108.0,,1.0,,False,,,,,,,,M,-121.911288838,37.7150629788,2012.0,
400,400,True,,,,,,,24235.0,10.0,,0,,,retail,8.68904292463e+12,,54.0,Dublin,,,,,,,,,,,0.0,24235.0,,,363577,,,,dub1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.927930261,37.7067102514,2011.0,
811,811,True,,,,,,,341000.0,3.0,,0,,,residential,1.75750940386e+13,,0.0,Dublin,,,,,,,,,,,0.0,0.0,,,390476,,,,dub2,,,,,,2012.0,,,0.0,,0.0,251.0,,5.0,,False,,,,,,,,M,-121.898520514,37.7035211629,2014.0,
894,894,True,,,,,,,76500.0,10.0,,0,,,retail,2.1186898606e+12,,171.0,Dublin,,,,,,,,,,,0.0,76500.0,,,390459,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.890769238,37.7054580112,2015.0,
895,895,True,,,,,,,62000.0,10.0,,0,,,retail,2.1186898606e+12,,139.0,Dublin,,,,,,,,,,,0.0,62000.0,,,390459,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.890769238,37.7054580112,2015.0,
931,931,True,,,,,,,3642.0,10.0,,0,,,retail,2.79900241636e+12,,8.0,Dublin,,,,,,,,,,,0.0,3642.0,,,387382,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.852691202,37.7039721755,2015.0,
932,932,True,,,,,,,10610.0,10.0,,0,,,retail,2.79900241636e+12,,23.0,Dublin,,,,,,,,,,,0.0,10610.0,,,387382,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.852691202,37.7039721755,2015.0,
933,933,True,,,,,,,9200.0,10.0,,0,,,retail,2.79900241636e+12,,20.0,Dublin,,,,,,,,,,,0.0,9200.0,,,387382,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.852691202,37.7039721755,2015.0,
934,934,True,,,,,,,6185.0,10.0,,0,,,retail,2.79900241636e+12,,13.0,Dublin,,,,,,,,,,,0.0,6185.0,,,387382,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.852691202,37.7039721755,2015.0,
935,935,True,,,,,,,8491.0,10.0,,0,,,retail,2.79900241636e+12,,19.0,Dublin,,,,,,,,,,,0.0,8491.0,,,387382,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.852691202,37.7039721755,2015.0,
