,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
868,868,True,,,,,,,38000.0,4.0,,0,,,office,1.57226122798e+12,,107.0,East Palo Alto,,,,,,,,,,,0.0,38000.0,,,1194024,,,,epa1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.13250849,37.4730245743,2015.0,
919,919,True,,,,,,,209000.0,4.0,,0,,,office,2.42871241534e+12,,588.0,East Palo Alto,,,,,,,,,,,0.0,209000.0,,,1195274,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,S,-122.141264603,37.4629888093,2016.0,
1148,1148,True,,,,,,,61200.0,1.0,,0,,,residential,9.48070705037e+12,,0.0,East Palo Alto,,,,,,,,,,,0.0,0.0,,,1197619,,,,epa1,,,,,,2012.0,,,0.0,,0.0,51.0,,1.0,,False,,,,,,,,M,-122.131677619,37.4722109639,2015.0,
6109,6109,,,1945.37009674,380507.215191,0.0,150.0,1312428.88891,1932.48966578,1.0,0.0,0,,0.0,residential,4.58493864814e+12,0.0,0.0,East Palo Alto,,,38649.7933155,8.0,,,893271.880402,0.25,0.420325197805,1.0,0.0,0.0,9999.0,,1195743,7729.9586631,surface,0.0,,,,,0.0,,2012.0,,798.986930847,0.0,798.986930847,1642.61621591,1.0,2.13111522001,1.0,,False,0.0,,7.0,419157.008507,0.0,0.0,,M,-122.1355124,37.4640439307,2030.0,
6187,6187,,,1945.37009674,1017982.9855,0.0,150.0,3519366.00123,5170.05071355,1.0,0.0,0,,0.0,residential,1.37722682441e+13,0.0,0.0,East Palo Alto,,,103401.014271,8.0,,,2421961.82147,0.25,0.420325197805,2.0,0.0,0.0,9999.0,,1194968,20680.2028542,surface,0.0,,,,,0.0,,2012.0,,800.849124908,0.0,800.849124908,4394.54310652,2.0,2.15979702044,1.0,,False,0.0,,7.0,1121383.99977,0.0,0.0,,M,-122.138254274,37.4696742562,2030.0,
6197,6197,,,1000.0,41246011.4886,0.0,150.0,115785169.446,171216.320003,3.0,0.0,14,,0.0,residential,1.34733784863e+13,14.0,0.0,East Palo Alto,,,428040.800006,87.12,,,67954519.8197,2.0,2.35294117647,146.0,0.0,0.0,9999.0,,1194012,85608.1600013,surface,0.0,epa1,,,,8148663.43997,,2012.0,,795.589149475,0.0,795.589149475,145533.872002,146.0,1.63061944034,6.0,,False,0.0,,7.0,41674052.2886,0.0,0.0,,S,-122.128966585,37.4747825185,2030.0,
6390,6390,,,1945.37009674,4424962.39145,1769049.52806,940.88369751,12474736.6219,18368.4615668,3.0,0.0,0,,0.0,residential,1.49875978007e+13,0.0,0.0,East Palo Alto,,,1952734.14373,40.0,,,6219590.59248,2.0,2.10162598902,8.0,0.0,0.0,1983.0,,1194877,9184.23078342,surface,0.0,epa1,,,,0.0,,2012.0,,798.986930847,0.0,798.986930847,15613.1923318,8.0,0.975209553823,6.0,,False,0.0,,7.0,6377696.53518,0.0,2765.0,,M,-122.135228153,37.4715106104,2030.0,
6654,6654,,,1000.0,75674232.7225,0.0,150.0,212355126.825,314131.310596,3.0,0.0,26,,0.0,residential,7.333828461e+12,26.0,0.0,East Palo Alto,,,785328.276489,87.12,,,121977472.41,2.0,2.35294117647,267.0,0.0,0.0,9999.0,,1194015,157065.655298,surface,0.0,epa1,,,,15125791.162,,2012.0,,795.302959442,0.0,795.302959442,267011.614006,267.0,1.59532007268,6.0,,False,0.0,,7.0,76459560.999,0.0,0.0,,M,-122.127501695,37.4734059386,2030.0,
6675,6675,,,1945.37009674,8244000.80277,2434684.80396,1005.73562622,27545765.3372,34221.6720746,3.0,0.0,1,,0.0,residential,2.7336597863e+12,1.0,0.0,East Palo Alto,,,2776901.5247,43.56,,,15194128.2164,2.0,2.28867070205,15.0,0.0,0.0,1991.0,,1196690,17110.8360373,surface,0.0,,,,,1628658.87603,,2012.0,,946.966667175,0.0,946.966667175,29088.4212634,15.0,1.3786646288,6.0,,False,0.0,,7.0,11020902.3275,0.0,3560.0,,S,-122.136489105,37.4572579904,2030.0,
6680,6680,,,1000.0,213171079.332,151753191.321,922.175445557,603221139.061,884894.476265,3.0,0.0,75,,0.0,residential,1.35545345609e+13,75.0,0.0,East Palo Alto,,,160602136.083,87.12,,,185314694.973,2.0,2.35294117647,752.0,0.0,0.0,1927.0,,1195242,442447.238133,surface,0.0,,,,,44133228.6727,,2012.0,,801.984809875,0.0,801.984809875,752160.304826,752.0,0.495794474644,6.0,,False,0.0,,7.0,373773215.416,0.0,242000.0,,M,-122.13913435,37.4610071205,2030.0,
6749,6749,,,1000.0,105071780.702,0.0,150.0,295933675.197,436163.473236,3.0,0.0,37,,0.0,residential,7.94618579375e+12,37.0,0.0,East Palo Alto,,,1090408.68309,87.12,,,174948079.869,2.0,2.35294117647,371.0,0.0,0.0,9999.0,,1194022,218081.736618,surface,0.0,epa1,,,,21633337.2356,,2012.0,,798.226551056,0.0,798.226551056,370738.95225,371.0,1.64793210164,6.0,,False,0.0,,7.0,106162189.386,0.0,0.0,,S,-122.132688597,37.4739025069,2030.0,
7104,7104,,,,,,,,22828.842667,10.0,,14,,,retail,,,51.0,East Palo Alto,,,,,,,,,,51.0,0.0,22828.842667,,,1194012,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.128966585,37.4747825185,2030.0,
7154,7154,,,,,,,,41884.1747461,10.0,,26,,,retail,,,94.0,East Palo Alto,,,,,,,,,,94.0,0.0,41884.1747461,,,1194015,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.127501695,37.4734059386,2030.0,
7159,7159,,,,,,,,4562.88960994,10.0,,1,,,retail,,,10.0,East Palo Alto,,,,,,,,,,10.0,0.0,4562.88960994,,,1196690,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.136489105,37.4572579904,2030.0,
7165,7165,,,,,,,,58155.1297648,10.0,,37,,,retail,,,130.0,East Palo Alto,,,,,,,,,,130.0,0.0,58155.1297648,,,1194022,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.132688597,37.4739025069,2030.0,
8038,8038,,1000.0,1000.0,3767180.98545,3794814.00178,941.239471436,8185401.51118,15637.9451451,3.0,0.0,1,,0.0,residential,1.12483260162e+13,1.0,0.0,East Palo Alto,East Palo Alto,20956.0,3951193.45323,70.3768667517,,,-114891.380896,2.0,2.30804364265,11.0,0.0,0.0,1960.0,,1194781,7818.97257255,surface,0.0,epa1,epa1,1.0,1.0,577446.255642,OBAG,2012.0,1.0,747.760055542,0.0,747.760055542,10946.5616016,11.0,1.29560959752e-07,7.0,1.0,True,0.0,11489.1380896,7.0,7718374.43868,0.0,5929.0,b3,S,-122.140172292,37.4709031719,2035.0,20956EPA1b3NANA
8468,8468,,,1945.37009674,308979.729689,0.0,150.0,1001606.94633,1569.22158298,1.0,0.0,0,,0.0,residential,1.3182560343e+13,0.0,0.0,East Palo Alto,,,31384.4316596,8.0,,,667855.21283,0.25,0.420325197805,1.0,0.0,0.0,9999.0,,1194991,6276.88633192,surface,0.0,,,,,0.0,,2012.0,,750.920791626,0.0,750.920791626,1333.83834553,1.0,1.96217842144,1.0,,False,0.0,,7.0,340364.161348,0.0,0.0,,M,-122.138485695,37.4691870207,2035.0,
8674,8674,,,1945.37009674,557522.912067,0.0,150.0,1802231.29231,2831.50285458,1.0,0.0,0,,0.0,residential,6.41984399057e+12,0.0,0.0,East Palo Alto,,,18876.6856972,17.0,,,1238090.01149,0.75,0.893191045335,1.0,0.0,0.0,9999.0,,1195051,3775.33713944,surface,0.0,,,,,0.0,,2012.0,,748.815105438,0.0,748.815105438,2406.77742639,1.0,2.14797167849,2.0,,False,0.0,,7.0,576399.597764,0.0,0.0,,M,-122.132705614,37.4695807075,2035.0,
8737,8737,,,1945.37009674,80256953.3603,0.0,693.654670715,227518366.152,366637.521061,2.0,0.0,16,,0.0,residential,2.96468359416e+11,16.0,0.0,East Palo Alto,,,36663752.1061,21.78,,,91504770.5778,1.0,1.14433535102,160.0,0.0,0.0,1983.0,,1194917,366637.521061,surface,0.0,epa1,,,,19998877.9355,,2012.0,,730.063484192,0.0,730.063484192,311641.892902,160.0,0.78262246377,2.0,,False,0.0,,7.0,116920705.466,0.0,0.0,,M,-122.128518653,37.471401226,2035.0,
8918,8918,,,2500.0,1875179.75293,0.0,150.0,8199503.65533,9523.51321953,1.0,0.0,0,,0.0,residential,6.74882929383e+12,0.0,0.0,East Palo Alto,,,190470.264391,7.0,,,6133853.63802,0.25,0.472640846972,3.0,0.0,0.0,9999.0,,1196592,38094.0528781,surface,0.0,,,,,0.0,,2012.0,,1012.91137695,0.0,1012.91137695,8094.9862366,3.0,2.96945445095,1.0,,False,0.0,,8.0,2065650.01732,0.0,0.0,,M,-122.140110438,37.4561677936,2035.0,
9090,9090,,,1000.0,1087506.14802,0.0,150.0,2855246.13028,4514.34681618,3.0,0.0,0,,0.0,residential,1.7552062232e+13,0.0,0.0,East Palo Alto,,,11285.8670405,87.12,,,1791758.84294,2.0,2.35294117647,4.0,0.0,0.0,9999.0,,1197620,2257.17340809,surface,0.0,epa1,,,,0.0,,2012.0,,744.097259521,0.0,744.097259521,3837.19479376,4.0,1.63066241689,6.0,,False,0.0,,7.0,1098792.01506,0.0,0.0,,M,-122.131948287,37.4721107457,2035.0,
9139,9139,,,1945.37009674,216513547.137,0.0,150.0,577436396.342,898769.394508,3.0,0.0,39,,0.0,residential,7.2687299483e+12,39.0,0.0,East Palo Alto,,,2246923.48627,40.0,,,307972075.968,2.0,2.10162598902,393.0,0.0,0.0,9999.0,,1262045,449384.697254,surface,0.0,,,,,50703849.7509,,2012.0,,755.852325439,0.0,755.852325439,763953.985332,393.0,1.4078049617,6.0,,False,0.0,,7.0,218760470.623,0.0,0.0,,M,-122.131320101,37.4563329952,2035.0,
9296,9296,,,1945.37009674,625759.704495,0.0,150.0,2032941.29884,3178.05842811,1.0,0.0,0,,0.0,residential,4.67905511265e+12,0.0,0.0,East Palo Alto,,,63561.1685622,8.0,,,1357056.63004,0.25,0.420325197805,1.0,0.0,0.0,1983.0,,1194967,12712.2337124,surface,0.0,,,,,0.0,,2012.0,,752.565032959,0.0,752.565032959,2701.34966389,1.0,1.96868640293,1.0,,False,0.0,,7.0,689320.873057,0.0,0.0,,M,-122.137979289,37.469586185,2035.0,
10482,10482,,1000.0,1000.0,4866387.97404,5093685.63721,780.282726288,11172601.9997,26023.4651018,3.0,0.0,1,,0.0,residential,1.73265938044e+13,1.0,0.0,East Palo Alto,East Palo Alto,20956.0,6039993.45909,87.12,,,-184401.525911,2.75,2.85714285714,18.0,0.0,0.0,1981.0,,1194033,9463.07821885,deck,0.2,epa1,epa1,1.0,1.0,443444.181614,OBAG,2012.0,1.0,766.65712738,0.0,766.65712738,18216.4255713,18.0,9.16894394471e-08,4.0,1.0,True,0.0,10244.5292173,7.0,10906381.4331,0.0,9600.0,b3,S,-122.132084328,37.4731045955,2040.0,20956EPA1b3NANA
10658,10658,,,1859.2,6068506.43849,0.0,150.0,16492685.2797,25190.9773287,3.0,0.0,1,,0.0,residential,1.06399600922e+13,1.0,0.0,East Palo Alto,,,62977.4433218,40.0,,,9281029.18924,2.0,2.00853454329,12.0,0.0,0.0,1960.0,,1195299,12595.4886644,surface,0.0,,,,,1262153.17315,,2012.0,,770.242412567,0.0,770.242412567,21412.3307294,12.0,1.51366771374,6.0,,False,0.0,,7.0,6131483.88181,0.0,0.0,,S,-122.140064956,37.4628985868,2040.0,
10792,10792,,,1945.37009674,974878.098169,0.0,150.0,3231855.07423,4951.13305317,1.0,0.0,0,,0.0,residential,6.36369077077e+12,0.0,0.0,East Palo Alto,,,99022.6610634,8.0,,,2179533.85814,0.25,0.420325197805,2.0,0.0,0.0,1983.0,,1195675,19804.5322127,surface,0.0,,,,,0.0,,2012.0,,767.941883087,0.0,767.941883087,4208.46309519,2.0,2.02954867049,1.0,,False,0.0,,7.0,1073900.75923,0.0,0.0,,M,-122.137342412,37.4655593257,2040.0,
10905,10905,,,1000.0,53869627.7608,0.0,150.0,144313708.257,223618.214034,3.0,0.0,19,,0.0,residential,1.62129834002e+13,19.0,0.0,East Palo Alto,,,559045.535085,87.12,,,81063495.6901,2.0,2.35294117647,190.0,0.0,0.0,9999.0,,1193995,111809.107017,surface,0.0,epa1,,,,11197891.0185,,2012.0,,759.244205475,0.0,759.244205475,190075.481929,190.0,1.48935277642,6.0,,False,0.0,,7.0,54428673.2959,0.0,0.0,,S,-122.128818223,37.4743127278,2040.0,
11426,11426,,,1859.2,7277218.59733,0.0,150.0,19771095.1417,30208.4624214,3.0,0.0,1,,0.0,residential,1.01845851059e+13,1.0,0.0,East Palo Alto,,,75521.1560536,40.0,,,11493609.4502,2.0,2.00853454329,14.0,0.0,0.0,9999.0,,1194752,15104.2312107,surface,0.0,,,,,1261677.60707,,2012.0,,769.986621857,0.0,769.986621857,25677.1930582,14.0,1.56317370609,6.0,,False,0.0,,7.0,7352739.75338,0.0,0.0,,S,-122.141660338,37.4688261415,2040.0,
11618,11618,,,1945.37009674,7420871.49568,0.0,150.0,21690611.983,33900.7377601,2.0,0.0,1,,0.0,residential,1204503151.0,1.0,0.0,East Palo Alto,,,169503.6888,20.0,,,13192498.7898,1.0,1.05081299451,15.0,0.0,0.0,9999.0,,1193989,33900.7377601,surface,0.0,epa1,,,,1294472.10252,,2012.0,,752.737808228,0.0,752.737808228,28815.627096,15.0,1.73805621846,2.0,,False,0.0,,7.0,7590375.18448,0.0,0.0,,S,-122.130467884,37.4772461056,2040.0,
11842,11842,,,1945.37009674,8558517.68843,0.0,150.0,25355632.8346,39097.8423409,2.0,0.0,1,,0.0,residential,3.57876703293e+12,1.0,0.0,East Palo Alto,,,195489.211705,21.78,,,15594538.5957,1.0,1.14433535102,17.0,0.0,0.0,9999.0,,1194896,39097.8423409,surface,0.0,epa1,,,,1314361.3567,,2012.0,,762.961700439,0.0,762.961700439,33233.1659898,17.0,1.78141721541,2.0,,False,0.0,,7.0,8754006.90014,0.0,0.0,,M,-122.132501426,37.4705637931,2040.0,
