,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
335,335,True,,,,,,,76756.0,12.0,,0,,,residential,7.13148175304e+12,,3.0,El Cerrito,,,,,,,,,,,0.0,1156.0,,,407217,,,,elc1_a,,,,,,2012.0,,,0.0,,0.0,63.0,,1.0,,False,,,,,,,,S,-122.310705611,37.915313467,2014.0,
1099,1099,True,,,,,,,153600.0,3.0,,0,,,residential,7.7604683693e+12,,0.0,El Cerrito,,,,,,,,,,,0.0,0.0,,,729461,,,,elc1_b,,,,,,2012.0,,,0.0,,0.0,128.0,,1.0,,False,,,,,,,,S,-122.297148164,37.8994180811,2015.0,
1239,1239,True,,,,,,,48600.0,3.0,,0,,,residential,1.12633825988e+13,,0.0,El Cerrito,,,,,,,,,,,0.0,0.0,,,403777,,,,elc1_b,,,,,,2012.0,,,0.0,,0.0,30.0,,4.0,,False,,,,,,,,S,-122.308400564,37.9136220333,2015.0,
1562,1562,,,,,,,,9720.0,10.0,,0,,,retail,,,21.0,El Cerrito,,,,,,,,,,21.0,0.0,9720.0,,,403777,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.308400564,37.9136220333,2015.0,
1650,1650,True,,,,,,,644581.0,12.0,,0,,,residential,6.04114323828e+12,,84.0,El Cerrito,,,,,,,,,,,0.0,32229.0,,,427443,,,,elc1_a,,,,,,2012.0,,,0.0,,0.0,510.0,,1.0,,False,,,,,,,,S,-122.317255338,37.9247627095,2020.0,
1719,1719,True,,,,,,,208392.0,12.0,,0,,,residential,1.25306369626e+13,,27.0,El Cerrito,,,,,,,,,,,0.0,10420.0,,,734156,,,,elc1_b,,,,,,2012.0,,,0.0,,0.0,165.0,,1.0,,False,,,,,,,,S,-122.298713947,37.9028201742,2020.0,
1731,1731,True,,,,,,,201638.0,12.0,,0,,,residential,1.32097805857e+13,,26.0,El Cerrito,,,,,,,,,,,0.0,10082.0,,,735692,,,,,,,,,,2012.0,,,0.0,,0.0,160.0,,1.0,,False,,,,,,,,S,-122.299390672,37.9040114309,2020.0,
2886,2886,,1248.6,1248.6,2189390.57796,1830540.43952,988.96812439,4191386.59272,10001.7842758,2.0,0.0,0,,0.0,residential,1.51688856698e+13,0.0,0.0,El Cerrito,El Cerrito,21796.0,2030576.12504,34.848,,,-29737.6619026,1.0,1.42697142857,6.0,0.0,0.0,1969.0,,733670,10001.7842758,surface,0.0,elc1_b,elc1_b,1.0,1.0,0.0,OBAG,2012.0,1.0,598.662695312,0.0,598.662695312,7001.24899303,6.0,2.36968694395e-07,2.0,1.0,True,0.0,10000.0,20.0,4219966.703,0.0,2722.0,bart2,S,-122.303300629,37.9029873221,2025.0,21796ELC1_bbart2NANA
2888,2888,,1248.6,1248.6,1645418.61081,1396251.63672,626.009521484,3150002.36787,7516.75930019,2.0,0.0,0,,0.0,residential,1.36256787026e+13,0.0,0.0,El Cerrito,El Cerrito,21796.0,1513890.70903,34.848,,,-9683.90214874,1.0,1.42697142857,4.0,0.0,0.0,1987.0,,733239,7516.75930019,surface,0.0,elc1_b,elc1_b,1.0,1.0,0.0,OBAG,2012.0,1.0,598.662695312,0.0,598.662695312,5261.73151013,4.0,3.16524878941e-07,2.0,1.0,True,0.0,10000.0,20.0,3159309.31985,0.0,3280.0,bart2,S,-122.303193984,37.9027615589,2025.0,21796ELC1_bbart2NANA
2922,2922,,1391.0,1391.0,4220095.57153,1628160.17896,583.988586426,5942052.31888,17518.0389022,3.0,0.0,0,,0.0,residential,2.03639785831e+12,0.0,0.0,El Cerrito,El Cerrito,21796.0,1756039.36365,45.0,,,-35463.0304274,2.0,2.05283353011,9.0,0.0,0.0,1978.0,,413719,8759.01945109,surface,0.0,elc1_a,elc1_a,1.0,1.0,0.0,OBAG,2012.0,1.0,484.566007487,0.0,484.566007487,12262.6272315,9.0,1.67332232429e-07,7.0,1.0,True,0.0,10000.0,20.0,5976134.93518,0.0,4100.0,bart2,S,-122.314299334,37.9188809095,2025.0,21796ELC1_abart2NANA
