,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
29,29,True,,,,,,,100000.0,3.0,,0,,,residential,3.98831002098e+11,,0.0,Emeryville,,,,,,,,,,,0.0,0.0,,,98162,,,,eme1,,,,,,2012.0,,,0.0,,0.0,68.0,,5.0,,False,,,,,,,,S,-122.280386568,37.8277513302,2013.0,
70,70,True,,,,,,,61000.0,3.0,,0,,,residential,1.35520532135e+12,,0.0,Emeryville,,,,,,,,,,,0.0,0.0,,,98500,,,,,,,,,,2012.0,,,0.0,,0.0,79.0,,2.0,,False,,,,,,,,S,-122.276013627,37.8360542017,2013.0,
281,281,True,,,,,,,100900.0,4.0,,0,,,office,6.03208617212e+12,,284.0,Emeryville,,,,,,,,,,,0.0,100900.0,,,98747,,,,eme1,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,S,-122.289119247,37.8404282118,2012.0,
323,323,True,,,,,,,150000.0,4.0,,0,,,office,6.85887770182e+12,,422.0,Emeryville,,,,,,,,,,,0.0,150000.0,,,99186,,,,eme1,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,S,-122.283719793,37.8325916903,2011.0,
834,834,True,,,,,,,392132.0,3.0,,0,,,residential,7.47106463926e+11,,0.0,Emeryville,,,,,,,,,,,0.0,0.0,,,98716,,,,eme1,,,,,,2012.0,,,0.0,,0.0,411.0,,4.0,,False,,,,,,,,S,-122.288232076,37.8392693586,2015.0,
835,835,True,,,,,,,98033.0,3.0,,0,,,residential,7.47106463926e+11,,0.0,Emeryville,,,,,,,,,,,0.0,0.0,,,98716,,,,eme1,,,,,,2012.0,,,0.0,,0.0,75.0,,4.0,,False,,,,,,,,S,-122.288232076,37.8392693586,2015.0,
917,917,True,,,,,,,105000.0,3.0,,0,,,residential,2.39128790489e+12,,0.0,Emeryville,,,,,,,,,,,0.0,0.0,,,98239,,,,okd6,,,,,,2012.0,,,0.0,,0.0,113.0,,5.0,,False,,,,,,,,S,-122.278652635,37.8290488592,2016.0,
1036,1036,True,,,,,,,152000.0,3.0,,0,,,residential,6.3714621233e+12,,0.0,Emeryville,,,,,,,,,,,0.0,0.0,,,98969,,,,eme1,,,,,,2012.0,,,0.0,,0.0,190.0,,8.0,,False,,,,,,,,S,-122.295114868,37.8430936863,2015.0,
1421,1421,True,,,,,,,100000.0,3.0,,0,,,residential,1.59703532307e+13,,0.0,Emeryville,,,,,,,,,,,0.0,0.0,,,12908,,,,okd6,,,,,,2012.0,,,0.0,,0.0,108.0,,3.0,,False,,,,,,,,S,-122.278127555,37.8300785535,2016.0,
2254,2254,,900.0,1000.0,4692457.54769,5709071.20671,1174.88006592,10981880.5844,25093.35587,3.0,0.0,1,,0.0,residential,1.10447258799e+13,1.0,0.0,Emeryville,Emeryville,22594.0,5891568.34031,100.0,,,-14530.9562226,2.75,2.95159386068,18.0,0.0,0.0,1918.0,,98190,9124.85668,deck,0.2,eme1,eme1,1.0,1.0,411820.028716,OBAG,2012.0,1.0,781.501730783,0.0,781.501730783,17565.349109,18.0,9.44820062405e-08,4.0,1.0,True,0.0,10000.0,19.0,10584025.888,0.0,7146.0,brt1,S,-122.286155222,37.8308470794,2025.0,22594EME1brt1NANA
