,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
197,197,True,,,,,,,33000.0,11.0,,0,,,retail,4.25717145779e+12,,74.0,Fairfield,,,,,,,,,,,0.0,33000.0,,,1735322,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.052949356,38.2613228644,2011.0,
279,279,True,,,,,,,288000.0,7.0,,0,,,industrial,6.02310952903e+12,,435.0,Fairfield,,,,,,,,,,,0.0,288000.0,,,1849075,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.971707174,38.2777364176,2011.0,
468,468,True,,,,,,,318402.0,8.0,,0,,,industrial,1.03581235505e+13,,331.0,Fairfield,,,,,,,,,,,0.0,318402.0,,,1739930,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.091163798,38.2262216732,2013.0,
469,469,True,,,,,,,473136.0,8.0,,0,,,industrial,1.03581235505e+13,,492.0,Fairfield,,,,,,,,,,,0.0,473136.0,,,1739930,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.091163798,38.2262216732,2014.0,
484,484,True,,,,,,,34580.0,4.0,,0,,,office,1.07398623878e+13,,97.0,Fairfield,,,,,,,,,,,0.0,34580.0,,,1738927,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,MH,-122.133752251,38.2264134183,2014.0,
522,522,True,,,,,,,13556.0,10.0,,0,,,retail,1.12179991801e+13,,30.0,Fairfield,,,,,,,,,,,0.0,13556.0,,,1845963,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.033376085,38.2760512095,2013.0,
585,585,True,,,,,,,19000.0,4.0,,0,,,office,1.27719510161e+13,,53.0,Fairfield,,,,,,,,,,,0.0,19000.0,,,1729818,,,,fai1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.042915674,38.2506425188,2014.0,
600,600,True,,,,,,,30000.0,4.0,,0,,,office,1.3345914359e+13,,84.0,Fairfield,,,,,,,,,,,0.0,30000.0,,,1840423,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.050676097,38.27505768,2014.0,
611,611,True,,,,,,,8555.0,4.0,,0,,,office,1.3620937935e+13,,24.0,Fairfield,,,,,,,,,,,0.0,8555.0,,,1735286,,,,fai3,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.033411831,38.2623671942,2014.0,
1194,1194,True,,,,,,,177000.0,8.0,,0,,,industrial,1.03581235505e+13,,184.0,Fairfield,,,,,,,,,,,0.0,177000.0,,,1739930,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.091163798,38.2262216732,2015.0,
2532,2532,,1548.0,1548.0,37972218.946,13848336.0291,814.608001709,57228909.7672,157626.479643,3.0,0.0,7,,0.0,residential,1.1784623046e+13,7.0,0.0,Fairfield,Fairfield,23182.0,15424600.8255,45.0,,,-239152.639238,2.0,2.28453364817,71.0,0.0,0.0,1977.0,,1734701,78813.2398216,surface,0.0,fai3,fai3,1.0,1.0,4061933.51278,OBAG,2012.0,1.0,518.66656901,0.0,518.66656901,110338.53575,71.0,1.87277070859e-08,7.0,1.0,True,0.0,10000.0,26.0,53396819.7715,0.0,25000.0,b2,S,-122.035156387,38.2616915286,2025.0,23182FAI3b2NANA
2713,2713,,1000.0,1000.0,2781571.77596,1345768.97223,666.80324056,4236548.82152,12707.043289,3.0,2.0,0,,0.0,residential,7.88161175758e+12,0.0,0.0,Fairfield,Fairfield,23182.0,1486987.26628,58.0885889212,,,-33306.6986814,1.5,1.90504358262,7.0,0.0,0.0,1958.0,,1729727,8471.36219266,surface,0.0,fai1,fai1,1.0,1.0,0.0,OBAG,2012.0,1.0,476.288028971,0.0,476.288028971,8894.93030229,9.0,2.3427109479e-07,4.0,1.0,True,0.0,10000.0,26.0,4268559.04224,2.0,2968.0,b3,S,-122.049122414,38.2500071292,2025.0,23182FAI1b3NANA
2753,2753,,1000.0,1000.0,2905251.18667,1580133.42627,686.003218587,4552333.63376,13272.0474494,3.0,2.0,0,,0.0,residential,1.30233343747e+13,0.0,0.0,Fairfield,Fairfield,23182.0,1731877.88073,58.0885889212,,,-88229.8182922,1.5,1.90504358262,7.0,0.0,0.0,1937.0,,1729813,8848.03163293,surface,0.0,fai1,fai1,1.0,1.0,0.0,OBAG,2012.0,1.0,490.002298991,0.0,490.002298991,9290.43321458,9.0,2.156506721e-07,4.0,1.0,True,0.0,10000.0,26.0,4637129.0674,2.0,3387.33924843,b3,S,-122.042111761,38.2511269192,2025.0,23182FAI1b3NANA
2849,2849,,900.0,1000.0,4067544.74998,1979151.19983,817.560806274,6259116.52602,21751.5762031,3.0,0.0,1,,0.0,residential,7.13692060304e+12,1.0,0.0,Fairfield,Fairfield,23182.0,2137344.48131,100.0,,,-96894.9769307,2.75,2.95159386068,15.0,0.0,0.0,1971.0,,1730118,7909.66407385,deck,0.2,fai1,fai1,1.0,1.0,147350.591893,OBAG,2012.0,1.0,513.84753418,0.0,513.84753418,15226.1033422,15.0,1.61163231562e-07,4.0,1.0,True,0.0,10000.0,26.0,6204889.23128,0.0,3560.0,b3,S,-122.037043912,38.2488869489,2025.0,23182FAI1b3NANA
2851,2851,,900.0,1000.0,5983895.18833,2721332.89977,817.560806274,9207986.52885,31999.4395098,3.0,0.0,2,,0.0,residential,3.71260837021e+12,2.0,0.0,Fairfield,Fairfield,23182.0,2954056.0962,100.0,,,-25664.9593445,2.75,2.95159386068,22.0,0.0,0.0,1971.0,,1730116,11636.1598217,deck,0.2,fai1,fai1,1.0,1.0,294701.183785,OBAG,2012.0,1.0,513.84753418,0.0,513.84753418,22399.6076568,22.0,1.11882462565e-07,4.0,1.0,True,0.0,10000.0,26.0,8937951.28453,0.0,4895.0,b3,S,-122.037512211,38.2488835999,2025.0,23182FAI1b3NANA
