,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
458,458,True,,,,,,,189000.0,4.0,,0,,,office,1.00979876414e+13,,532.0,Foster City,,,,,,,,,,,0.0,189000.0,,,1233383,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,5.0,,False,,,,,,,,M,-122.279637435,37.5649564803,2013.0,
576,576,True,,,,,,,200000.0,3.0,,0,,,residential,1.24087241416e+13,,0.0,Foster City,,,,,,,,,,,0.0,0.0,,,1227172,,,,,,,,,,2012.0,,,0.0,,0.0,307.0,,5.0,,False,,,,,,,,M,-122.270522984,37.5648619727,2013.0,
961,961,True,,,,,,,13000.0,3.0,,0,,,residential,3.62771674563e+12,,0.0,Foster City,,,,,,,,,,,0.0,0.0,,,1230952,,,,,,,,,,2012.0,,,0.0,,0.0,14.0,,1.0,,False,,,,,,,,M,-122.268088034,37.5588871365,2016.0,
962,962,True,,,,,,,1200.0,10.0,,0,,,retail,3.62771674563e+12,,2.0,Foster City,,,,,,,,,,,0.0,1200.0,,,1230952,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.268088034,37.5588871365,2016.0,
963,963,True,,,,,,,20300.0,3.0,,0,,,residential,3.62771674563e+12,,0.0,Foster City,,,,,,,,,,,0.0,0.0,,,1230952,,,,,,,,,,2012.0,,,0.0,,0.0,21.0,,4.0,,False,,,,,,,,M,-122.268088034,37.5588871365,2018.0,
1319,1319,True,,,,,,,296000.0,3.0,,0,,,residential,1.32475561573e+13,,0.0,Foster City,,,,,,,,,,,0.0,0.0,,,1227181,,,,,,,,,,2012.0,,,0.0,,0.0,268.0,,4.0,,False,,,,,,,,M,-122.269211357,37.5627658607,2015.0,
5963,5963,,,1945.37009674,5420987.70333,0.0,150.0,20055826.7288,27531.6795497,1.0,0.0,0,,0.0,residential,1.13401533921e+13,0.0,0.0,Foster City,,,183544.530331,15.0,,,14595807.44,0.75,0.788109745884,12.0,0.0,0.0,9999.0,,1228195,36708.9060663,surface,0.0,,,,,0.0,,2012.0,,857.016014099,0.0,857.016014099,23401.9276172,12.0,2.60428646522,2.0,,False,0.0,,6.0,5604532.23367,0.0,0.0,,M,-122.267308927,37.5531992971,2030.0,
6483,6483,,,1945.37009674,37789793.8161,4442634.25478,1211.88752899,141215384.428,191923.787791,1.0,0.0,0,,0.0,residential,3.237049952e+12,0.0,0.0,Foster City,,,9560601.92921,15.0,,,93864988.6831,0.75,0.788109745884,84.0,0.0,0.0,1975.0,,1231978,255898.383721,surface,0.0,,,,,0.0,,2012.0,,865.63394928,0.0,865.63394928,163135.219622,84.0,1.98234855709,2.0,,False,0.0,,6.0,47350395.7453,0.0,5391.0,,M,-122.266813725,37.5495870117,2030.0,
6579,6579,,,1945.37009674,15550645.7625,0.0,150.0,57686495.9324,78977.3781743,1.0,0.0,0,,0.0,residential,1.22083082241e+13,0.0,0.0,Foster City,,,526515.854495,15.0,,,41609334.3154,0.75,0.788109745884,35.0,0.0,0.0,9999.0,,1232546,105303.170899,surface,0.0,,,,,0.0,,2012.0,,859.315254211,0.0,859.315254211,67130.7714482,35.0,2.5881020112,2.0,,False,0.0,,6.0,16077161.617,0.0,0.0,,M,-122.26157613,37.5480260495,2030.0,
8328,8328,,,1945.37009674,243786.501544,0.0,150.0,839350.314675,1238.12342074,1.0,0.0,0,,0.0,residential,9.28276500705e+12,0.0,0.0,Foster City,,,24762.4684149,8.0,,,570801.344716,0.25,0.420325197805,1.0,0.0,0.0,9999.0,,1233147,4952.49368298,surface,0.0,,,,,0.0,,2012.0,,797.554542542,0.0,797.554542542,1052.40490763,1.0,2.12550189562,1.0,,False,0.0,,6.0,268548.969959,0.0,0.0,,M,-122.260490407,37.5455138168,2035.0,
8978,8978,,,1945.37009674,549310698.991,63909320.8928,1178.33613892,1631328206.42,2280243.66538,3.0,41.0,0,,0.0,residential,1.12566388227e+13,0.0,0.0,Foster City,,,89245361.6193,35.0,,,1002699867.27,1.8,1.8389227404,955.0,0.0,0.0,1986.0,,1233871,1266802.03632,surface,0.0,,,,,0.0,,2012.0,,841.668670654,0.0,841.668670654,1938207.11558,996.0,1.57026129595,5.0,,False,0.0,,6.0,638556060.61,41.0,79760.1739662,,M,-122.264018275,37.5568031075,2035.0,
8991,8991,,,1945.37009674,380201.210632,0.0,150.0,1327762.67923,1930.93555425,2.0,0.0,0,,0.0,residential,1.50876912821e+13,0.0,0.0,Foster City,,,12872.903695,15.0,,,930015.122078,0.75,0.788109745884,1.0,0.0,0.0,9999.0,,1236740,2574.580739,surface,0.0,,,,,0.0,,2012.0,,808.972488403,0.0,808.972488403,1641.29522112,1.0,2.36600449681,2.0,,False,0.0,,6.0,393074.114328,0.0,0.0,,MH,-122.269423939,37.535379024,2035.0,
9082,9082,,,1945.37009674,22296499.0987,2778980.55533,1466.88302612,79257854.2893,113237.679526,1.0,0.0,0,,0.0,residential,1.52344622839e+13,0.0,0.0,Foster City,,,5798652.00936,15.0,,,51674330.2131,0.75,0.788109745884,49.0,0.0,0.0,1964.0,,1227715,150983.572702,surface,0.0,,,,,0.0,,2012.0,,823.440879822,0.0,823.440879822,96252.0275972,49.0,1.83926151578,2.0,,False,0.0,,6.0,28095151.1081,0.0,2786.0,,M,-122.263972801,37.5594716348,2035.0,
10803,10803,,,1945.37009674,2006855.71777,0.0,150.0,7636024.48769,10192.2585971,1.0,0.0,0,,0.0,residential,1.70606071251e+13,0.0,0.0,Foster City,,,67948.3906472,15.0,,,5616832.58307,0.75,0.788109745884,4.0,0.0,0.0,9999.0,,1230759,13589.6781294,surface,0.0,,,,,0.0,,2012.0,,881.409957886,0.0,881.409957886,8663.41980752,4.0,2.70716284024,2.0,,False,0.0,,6.0,2074804.10841,0.0,0.0,,M,-122.279679728,37.5483877392,2040.0,
10875,10875,,,1945.37009674,24151335.5508,0.0,1126.18040314,83867614.764,122657.874814,1.0,0.0,0,,0.0,residential,3.36023360539e+12,0.0,0.0,Foster City,,,3270876.66169,15.0,,,56445402.5515,0.75,0.788109745884,54.0,0.0,0.0,1975.0,,1232445,163543.833085,surface,0.0,,,,,0.0,,2012.0,,804.414573669,0.0,804.414573669,104259.193591,54.0,2.05838252998,2.0,,False,0.0,,6.0,27422212.2125,0.0,0.0,,M,-122.262960144,37.5476314744,2040.0,
